acid,NSC.491493,
PI200553,1,8
PI200832,1,8
PI201421,1,8
PI201422,1,8
PI201423,1,8
PI201428,5,8
PI201431,5,8
PI203398,1,8
PI203400,1,8
PI203402,1,8
PI203404,1,8
PI203405,1,8
PI204331,1,8
PI204333,1,8
PI204334,1,8
PI204335,1,8
PI204336,1,8
PI204337,1,8
PI204339,1,8
PI204340,1,8
PI205083,4,8
PI205384,1,8
PI205903,1,8
PI208431,4,8
PI208432,1,8
PI208433,5,8
PI208437,1,8
PI208438,1,8
PI208782,1,8
PI208783,4,8
PI208784,1,8
PI208785,1,8
PI208788,1,8
PI208789,1,8
PI209333,1,8
PI209832,1,8
PI209836,1,8
PI209908,1,8
PI210179,1,8
PI210352,5,8
PI210353,1,8
PI212604,5,8
PI212605,2,8
PI212606,5,8
PI212716,1,8
PI215690,1,8
PI215691,1,8
PI215693,1,8
PI219652,4,8
PI219655,4,8
PI219656,1,8
PI219698,1,8
PI219732,5,8
PI219780,1,8
PI219785,4,8
PI219789,1,8
PI221713,5,8
PI221714,5,8
PI221715,4,8
PI221717,5,8
PI221972,1,8
PI221973,2,8
PI222397,5,8
PI222546,1,8
PI224269,2,8
PI224270,1,8
PI224273,1,8
PI227158,1,8
PI227159,3,8
PI227160,1,8
PI227214,1,8
PI227219,1,8
PI227221,1,8
PI227222,1,8
PI227224,1,8
PI227555,4,8
PI227557,2,8
PI227567,4,8
PI228064,5,8
PI228065,1,8
PI229315,2,8
PI229320,1,8
PI229321,1,8
PI229335,1,8
PI229337,2,8
PI229339,5,8
PI229346,1,8
PI229347,1,8
PI229350,1,8
PI229358,1,8
PI230970,1,8
PI230971,1,8
PI230972,1,8
PI230973,5,8
PI230974,2,8
PI230975,1,8
PI230976,1,8
PI230977,1,8
PI230978,1,8
PI230979,1,8
PI230980,1,8
PI230981,1,8
PI235347,3,8
PI238109,1,8
PI238928,2,8
PI238929,1,8
PI238932,1,8
PI239484,1,8
PI240664,1,8
PI240669,1,8
PI241424,1,8
PI243526,1,8
PI248510,1,8
PI253662,1,8
PI253664,5,8
PI255734,1,8
PI256376,1,8
PI259542,1,8
PI274422,4,8
PI274454,1,8
PI274508,2,8
PI279081,1,8
PI281885,1,8
PI281894,1,8
PI281900,1,8
PI281904,1,8
PI281905,1,8
PI281907,1,8
PI281908,1,8
PI281910,1,8
PI281912,1,8
PI283327,5,8
PI284815,1,8
PI285092,5,8
PI285093,1,8
PI303652,5,8
PI303653,1,8
PI307597,1,8
PI307837,1,8
PI307840,1,8
PI307844,1,8
PI307845,1,8
PI307853,1,8
PI312222,2,8
PI315701,1,8
PI319525,5,8
PI319526,1,8
PI319527,1,8
PI319530,1,8
PI319531,1,8
PI319532,3,8
PI322689,4,8
PI322690,5,8
PI322691,1,8
PI322692,1,8
PI322693,1,8
PI322694,1,8
PI322695,1,8
PI323275,1,8
PI323550,1,8
PI323554,1,8
PI323557,1,8
PI323558,2,8
PI323560,1,8
PI323563,1,8
PI323565,1,8
PI323569,1,8
PI323572,1,8
PI323574,1,8
PI323576,1,8
PI323577,1,8
PI323580,5,8
PI324066,1,8
PI324067,5,8
PI324189,1,8
PI324190,1,8
PI324924,1,8
PI330633,5,8
PI330634,5,8
PI330635,1,8
PI339866,4,8
PI339867,4,8
PI339869,2,8
PI339978,2,8
PI339979,4,8
PI339980,1,8
PI339982,1,8
PI339986,1,8
PI339988,2,8
PI339989,1,8
PI339992,1,8
PI339998,4,8
PI339999,4,8
PI340000,1,8
PI340001,1,8
PI340003,2,8
PI340004,1,8
PI340006,4,8
PI340008,4,8
PI340009,4,8
PI340013,2,8
PI340014,4,8
PI340016,4,8
PI340019,2,8
PI340022,3,8
PI340023,1,8
PI340024,4,8
PI340025,4,8
PI340026,1,8
PI340028,5,8
PI340029,2,8
PI340030,5,8
PI340032,5,8
PI340043,2,8
PI340044,4,8
PI340045,5,8
PI340050,5,8
PI340051,2,8
PI341243,1,8
PI341245,1,8
PI341264,2,8
PI342002,2,8
PI342003,4,8
PI346298,5,8
PI346300,1,8
PI346301,1,8
PI346302,1,8
PI346305,1,8
PI346306,4,8
PI346309,4,8
PI355069,2,8
PI360834,1,8
PI360839,1,8
PI360851,1,8
PI365426,5,8
PI366036,5,8
PI368037,1,8
PI368038,1,8
PI368039,1,8
PI371607,1,8
PI371609,1,8
PI371610,1,8
PI371611,1,8
PI371612,1,8
PI374219,4,8
PI374220,5,8
PI374221,1,8
PI376069,1,8
PI376070,1,8
PI376844,1,8
PI377573,1,8
PI377575,1,8
PI377576,1,8
PI377577,1,8
PI377578,1,8
PI379618,2,8
PI379619,1,8
PI379620,1,8
PI379621,1,8
PI379622,1,8
PI381656,3,8
PI381659,3,8
PI381660,1,8
PI381662,2,8
PI381663,3,8
PI381664,5,8
PI381665,3,8
PI381666,4,8
PI381667,5,8
PI381668,3,8
PI381669,5,8
PI381670,3,8
PI381671,5,8
PI381672,1,8
PI381673,3,8
PI381674,5,8
PI381675,4,8
PI381676,3,8
PI381677,5,8
PI381678,3,8
PI381679,1,8
PI381680,1,8
PI381681,1,8
PI381682,1,8
PI381683,1,8
PI381684,2,8
PI381685,3,8
PI385943,1,8
PI391597,1,8
PI393542,1,8
PI393543,1,8
PI393544,4,8
PI393545,5,8
PI393546,4,8
PI393547,4,8
PI393548,4,8
PI393549,4,8
PI393550,4,8
PI398183,2,8
PI398184,3,8
PI398186,1,8
PI398187,1,8
PI398189,2,8
PI398192,5,8
PI398193,2,8
PI398194,5,8
PI398195,1,8
PI398196,4,8
PI398203,4,8
PI398207,4,8
PI398209,1,8
PI398210,2,8
PI398212,4,8
PI398213,3,8
PI398216,4,8
PI398217,1,8
PI398218,2,8
PI398219,1,8
PI398220,5,8
PI398238,2,8
PI398239,5,8
PI398240,2,8
PI398241,1,8
PI398246,4,8
PI398253,4,8
PI398254,1,8
PI398255,2,8
PI398259,5,8
PI398262,3,8
PI398263,1,8
PI398264,1,8
PI398266,2,8
PI398269,1,8
PI398277,2,8
PI398279,2,8
PI398280,2,8
PI398284,4,8
