acid,SCN5.83,SCN5code.83
PI89772,1,0.5
PI80834-2,1,1
PI56563,1,1
PI92595,1,0
PI96549,1,1
PI548456,1,1
PI437654,1,0
PI438489B,1,0
PI404198A,1,0
PI437690,1,1
PI437679,1,0
PI438491,1,0.5
PI71161,1,1
PI153229,1,0.5
PI346298,1,1
PI548376,1,1
PI424298,2,1.5
PI424608B,2,2
PI80837,2,1.5
PI417573,2,1.5
PI548489,2,2
PI303652,2,1.5
PI408185,2,1.5
PI437239,2,2
PI437846,2,2
PI437155,2,1.7
PI437192,2,1.5
PI399058,2,1.5
PI71506,4,3
PI88310,4,3
PI548657,4,3
PI437886B,4,3
PI423813,4,3
PI423816,4,3
PI417482,4,3
PI360845,4,3
PI273483C,4,3
PI360844,4,3
PI407781A,4,3
PI424479,4,3
PI398944,4,3
PI407806A,4,3
PI398940,4,3
PI424348C,4,3
PI407778A,4,3
PI378682C,4,3
PI417137,4,3
PI407959A,4,3
PI423827A,4,3
PI408074A,4,3
PI408140B,4,3
PI407778C,4,3
PI417380,4,3
PI423808B,4,3
PI398747,4,3
PI408019C,4,3
PI408032B,4,3
PI408187,4,3
PI408036,4,3
PI407788A,4,3
PI407795B,4,3
PI399001,4,3
PI408016A,4,3
PI407770,4,3
PI424522,4,3
PI424397,4,3
PI423811,4,3
PI416856,4,3
PI424254,4,3
PI407658A,4,3
PI407727,4,3
PI423842,4,3
PI407862,4,3
PI407952A,4,3
PI408105B,4,3
PI408258,4,3
PI424345,4,3
PI407778B,4,3
PI417079,4,3
PI417520,4,3
PI407786A,4,3
PI408048A,4,3
PI408306,4,3
PI424512,4,3
PI416967,4,3
PI408173,4,3
PI407981A,4,3
PI424608A,4,3
PI424596,4,3
PI408209C,4,3
PI407981B,4,3
PI408131B,4,3
PI424352,4,3
PI424297,4,3
PI424366,4,3
PI398941,4,3
PI424316,4,3
PI423808A,4,3
PI424349B,4,3
PI424349C,4,3
PI408194,4,3
PI408216B,4,3
PI408269A,4,3
PI408318A,4,3
PI424292,4,3
PI417082,4,3
PI416866,4,3
PI417355A,4,3
PI416958,4,3
PI408010-1,4,3
PI407991,4,3
PI408075,4,3
PI407966B,4,3
PI408103,4,3
PI408222B,4,3
PI408302,4,3
PI424293,4,3
PI424545,4,3
PI408089,4,3
PI424513,4,3
PI80834-1,4,3
PI71444,4,3
PI232990,4,3
PI86069,4,3
PI135590,4,3
PI84671,4,3
PI79797,4,3
PI88492,4,3
PI80828-1,4,3
PI79693,4,3
PI80671,4,3
PI84664,4,3
PI79747,4,3
PI189930,4,3
PI189931,4,3
PI79846,4,3
PI88308,4,3
PI92733,4,3
PI93217,4,3
PI227333,4,3
PI181533,4,3
PI80488-1,4,3
PI79870-6,4,3
PI80822,4,3
PI80831,4,3
PI80498-1,4,3
PI80825,4,3
PI80828-2,4,3
PI81030-1,4,3
PI80844-3,4,3
PI84985,4,3
PI79712,4,3
PI73587,4,3
PI79756,4,3
PI79773,4,3
PI79825-1,4,3
PI153264,4,3
PI68465-1,4,3
PI103414,4,3
PI153226,4,3
PI189929,4,3
PI72342,4,3
PI79737,4,3
PI80536,4,3
PI88355,4,3
PI88442,4,3
PI88495,4,3
PI88508,4,3
PI88787,4,3
PI92596,4,3
PI92683,4,3
PI92698,4,3
PI92717,4,3
PI96188,4,3
PI86050,4,3
PI181534,4,3
PI181537,4,3
PI181541,4,3
PI181548,4,3
PI227684,4,3
PI79613,4,3
PI79746,4,3
PI80494,4,3
PI84665,4,3
PI84965,4,3
PI88479,4,3
PI85469,4,3
PI90305,4,3
PI88466-1,4,3
PI79627,4,3
PI79835,4,3
PI84682,4,3
PI84908-2,4,3
PI88353,4,3
PI88445,4,3
PI88491,4,3
PI88499,4,3
PI88502,4,3
PI84742,4,3
PI80488,4,3
PI80841,4,3
PI86028,4,3
PI81031-1,4,3
PI79696,4,3
PI84973,4,3
PI85878,4,3
PI86004,4,3
PI86026,4,3
PI86046,4,3
PI86060,4,3
PI86062,4,3
PI89162,4,3
PI548444,4,3
PI548494,4,3
PI437151,4,3
PI124871,4,3
PI424386B,4,3
PI437110A,4,3
PI398937,4,3
PI437867B,4,3
PI423826A,4,3
PI398960,4,3
PI423771,4,3
PI437109B,4,3
PI437885,4,3
PI424484A,4,3
PI438506,4,3
PI548362,4,3
PI442012B,4,3
PI442012A,4,3
PI181542,4,3
PI424403,4,3
PI417468,4,3
PI91343,4,3
PI437109C,4,3
PI437311B,4,3
PI103080,4,3
PI181557,4,3
PI423829,4,3
PI424402B,4,3
PI398997,4,3
PI181553,4,3
PI398939,4,3
PI417094,4,3
PI104708,4,3
PI153292,4,3
PI189926,4,3
PI404166,4,3
PI438497,4,3
PI438498,4,3
PI339868B,4,3
PI437725,4,3
PI404198B,4,3
PI437655,4,3
PI416762,4,3
PI417091,4,3
PI407729,4,3
PI89783,4,3
PI157405,4,3
PI407731,4,3
PI437103,4,3
PI437112B,4,3
PI103415,4,3
PI153231,4,3
PI93563,4,3
PI398877,4,3
PI404152,4,3
PI423729,4,3
PI423819,4,3
PI424299C,4,3
PI424326,4,3
PI407732,4,3
PI424296A,4,3
PI424318,4,3
PI437143,4,3
PI437145B,4,3
PI437422,4,3
PI437428B,4,3
PI437685C,4,3
PI437728,4,3
PI437794,4,3
PI438132,4,3
PI438164B,4,3
PI438485,4,3
PI438490A,4,3
PI416943,4,3
PI417304,4,3
PI424323,4,3
PI416884,4,3
PI424335B,4,3
PI79732-3,4,3
PI157404,4,3
PI189920,4,3
PI189928,4,3
PI189935,4,3
PI92577,4,3
PI92594,4,3
PI92686,4,3
PI97627,4,3
PI92691,4,3
PI181551,4,3
PI167240,4,3
PI181540,4,3
PI91151,4,3
PI92689,4,3
PI94159-3,4,3
PI424422,4,3
PI423769B,4,3
PI424321,4,3
PI424484B,4,3
PI424343,4,3
PI424349A,4,3
PI424419,4,3
PI291296,4,3
PI291306A,4,3
PI291306B,4,3
PI407724,4,3
PI408135A,4,3
PI408039,4,3
PI408069,4,3
PI408084B,4,3
PI408100B,4,3
PI408137B,4,3
PI408217C,4,3
PI408233B,4,3
PI423809,4,3
PI423835,4,3
PI423841,4,3
PI424309A,4,3
PI424328,4,3
PI424357B,4,3
PI424399,4,3
PI398229,4,3
PI398318,4,3
PI398319,4,3
PI398322,4,3
PI398871,4,3
PI398914,4,3
PI399005,4,3
PI408073,4,3
PI408212A,4,3
PI408216A,4,3
PI408217A,4,3
PI423756A,4,3
PI424295,4,3
PI424347A,4,3
PI424348A,4,3
PI424357A,4,3
PI424364A,4,3
PI424405B,4,3
PI424411,4,3
PI407939B,4,3
PI430623,4,3
PI436684,4,3
PI437099,4,3
PI437111,4,3
PI437317,4,3
PI437622B,4,3
PI437664,4,3
PI437840B,4,3
PI437851B,4,3
PI437893,4,3
PI437940,4,3
PI437964A,4,3
PI438109C,4,3
PI438144,4,3
PI438192,4,3
PI438219,4,3
PI438258,4,3
PI438507A,4,3
PI438507C,4,3
PI416870,4,3
PI416905,4,3
PI416996,4,3
PI417067,4,3
PI417343,4,3
PI407966A,4,3
PI408070A,4,3
PI416755,4,3
PI416855,4,3
PI417495,4,3
PI96927,4,3
PI274207,4,3
PI274211,4,3
PI548697,4,3
PI424245,4,3
PI200457,4,3
PI339864B,4,3
PI79862,4,3
PI97081,4,3
PI407718,4,3
PI84674,4,3
PI153236,4,3
PI189922,4,3
PI189918,4,3
PI78243,4,3
PI131531,4,3
PI181538,4,3
PI181532,4,3
PI189916,4,3
PI189925,4,3
PI181570,4,3
PI153227,4,3
PI189946,4,3
PI132201,4,3
PI189924,4,3
PI132206,4,3
PI184044,4,3
PI132215,4,3
PI189915,4,3
PI189941,4,3
PI79610,4,3
PI184045,4,3
PI86133,4,3
PI253653D,4,3
PI184043,4,3
PI189917,4,3
PI184046,4,3
PI153215,4,3
PI94159,4,3
PI222549,4,3
PI208437,4,3
PI323275,4,3
PI88490,4,3
PI407766,4,3
PI417128,4,3
FC30265,4,3
PI417132,4,3
PI371607,4,3
PI148260,4,3
PI379619,4,3
FC30267,4,3
PI393542,4,3
PI204335,4,3
PI398409,4,3
PI210353,4,3
PI346300,4,3
PI201421,4,3
FC33123,4,3
PI200494,4,3
PI62204,4,3
PI229358,4,3
PI548480,4,3
PI171444,4,3
PI229335,4,3
PI339992,4,3
PI90406,4,3
PI175192,4,3
PI315701,4,3
PI330635,4,3
PI398660,4,3
PI423911,4,3
PI181544,4,3
PI219789,4,3
PI91725,4,3
PI157422,4,3
PI340004,4,3
PI181698,4,3
FC31649,4,3
FC31707,4,3
PI159927,4,3
PI222546,4,3
PI181565,4,3
PI200530,4,3
PI200531,4,3
PI200532,4,3
PI200539,4,3
PI200547,4,3
PI200549,4,3
PI208789,4,3
PI90495,4,3
PI96354,4,3
PI208429,4,3
FC31744,4,3
PI174866,4,3
PI175178,4,3
PI197182,4,3
PI204331,4,3
PI548482,4,3
PI87002,4,3
PI200509,4,3
PI96257,4,3
PI171443,4,3
PI181560,4,3
PI200462,4,3
PI200477,4,3
PI200490,4,3
PI200500,4,3
PI200529,4,3
PI200544,4,3
PI203404,4,3
PI208785,4,3
PI255734,4,3
PI71570,4,3
PI85490,4,3
PI86490,4,3
PI88461,4,3
PI205899,4,3
PI240671,4,3
PI274507,4,3
PI279088,4,3
PI281885,4,3
PI174852,4,3
PI240670,4,3
PI307844,4,3
PI322691,4,3
PI323550,4,3
PI323572,4,3
PI323574,4,3
PI340026,4,3
PI381681,4,3
PI381682,4,3
PI398336,4,3
PI398352,4,3
PI398476,4,3
PI398481,4,3
PI398517,4,3
PI398557,4,3
PI398742,4,3
PI238108,4,3
PI417124,4,3
PI385943,4,3
PI398635,4,3
PI416867,4,3
PI417085,4,3
PI417222,4,3
PI274454,4,3
FC31572,4,3
PI398665,4,3
PI379618,4,3
FC31927,4,3
FC32176,4,3
PI398333,4,3
PI175194,4,3
PI398183,4,3
PI398651,4,3
PI71667,4,3
PI157406,4,3
FC31919,4,3
PI181697,4,3
PI340019,4,3
PI340043,4,3
PI398287,4,3
PI398309,4,3
PI398337,4,3
PI398277,4,3
PI398668,4,3
PI86045S,4,3
PI398351,4,3
PI200484,4,3
PI381678,4,3
PI381685,4,3
PI398184,4,3
PI398339,4,3
PI398393,4,3
PI398447,4,3
PI398448,4,3
PI398454,4,3
PI398622,4,3
PI398673,4,3
PI417116,4,3
PI196177,4,3
PI398560,4,3
PI60273,4,3
PI398284,4,3
PI398480,4,3
PI374219,4,3
PI196166,4,3
PI340021B,4,3
PI393544,4,3
PI393549,4,3
PI398718,4,3
PI417113,4,3
PI60269,4,3
PI219785,4,3
PI340009,4,3
PI221715,4,3
PI208431,4,3
PI322689,4,3
PI393548,4,3
PI398736,4,3
PI398769,4,3
PI548660,4,3
PI381664,4,3
PI171441,4,3
PI208433,4,3
PI201431,4,3
PI200445,4,3
PI323580,4,3
PI324067,4,3
PI330633,4,3
PI374220,4,3
PI398646,4,3
PI398473,4,3
PI438444,4,3
PI374189,4,3
PI192867,4,3
PI437222,4,3
PI408307B,4,3
PI417117,4,3
PI437268,4,3
PI307869,4,3
PI417126,4,3
PI423972,4,3
PI206258,4,3
PI417317,4,3
PI408068C,4,3
PI417235,4,3
PI437471,4,3
PI437211B,4,3
PI437285,4,3
PI442023,4,3
PI417190,4,3
PI437241,4,3
PI181571,4,3
PI458278A,4,3
PI437249,4,3
PI437269,4,3
PI210178,4,3
PI323276,4,3
PI408081,4,3
PI408186C,4,3
PI423801,4,3
PI423806,4,3
PI424585,4,3
PI416851,4,3
PI417329,4,3
PI437869,4,3
PI438160C,4,3
PI438207B,4,3
PI417557,4,3
PI437196,4,3
PI437303,4,3
PI209833,4,3
PI323552,4,3
PI408077,4,3
PI416771,4,3
PI408084A,4,3
PI408086,4,3
PI423962,4,3
PI437236,4,3
PI436612,4,3
PI437198,4,3
PI437235,4,3
PI437615B,4,3
PI438470,4,3
PI408285C,4,3
PI437421,4,3
PI437105B,4,3
PI417556,4,3
PI437258,4,3
PI437260A,4,3
PI438433,4,3
PI407775,4,3
PI189937,4,3
PI437469B,4,3
PI437147,4,3
PI437199,4,3
PI437223A,4,3
PI438208,4,3
PI208203,4,3
PI424418,4,3
PI153221,4,3
PI437107,4,3
PI437109A,4,3
PI437259,4,3
PI417582,4,3
PI407763,4,3
PI548349,4,3
PI416904C,4,3
PI437226,4,3
PI437286,4,3
PI399045,4,3
PI416887,4,3
PI438151,4,3
PI437187,4,3
PI437190,4,3
PI437200B,4,3
PI437429A,4,3
PI438105A,4,3
PI438423,4,3
PI437200A,4,3
PI437213,4,3
PI437282,4,3
PI437307,4,3
PI437995B,4,3
PI438007,4,3
PI437278,4,3
PI438138B,4,3
PI180530,4,3
PI180532,4,3
PI438121,4,3
PI438128B,4,3
PI438143,4,3
PI437330B,4,3
PI437095,4,3
PI437105C,4,3
PI437344C,4,3
PI438239B,4,3
PI437195,4,3
PI437223B,4,3
PI438201,4,3
PI437343,4,3
PI437992,4,3
PI437136,4,3
PI437176,4,3
PI437185,4,3
PI437186,4,3
PI437191,4,3
PI437194,4,3
PI437207,4,3
PI437211A,4,3
PI437212,4,3
PI437219,4,3
PI437220,4,3
PI437227,4,3
PI437234,4,3
PI437237,4,3
PI437238,4,3
PI437242,4,3
PI437246A,4,3
PI437247,4,3
PI437248,4,3
PI437250,4,3
PI437251B,4,3
PI437261A,4,3
PI437261D,4,3
