acid,PYU,
PI086111,5,8
PI086112,5,8
PI086113,5,8
PI086114,5,8
PI086115,5,8
PI086116,5,8
PI086122,5,8
PI086123,5,8
PI086128,5,8
PI086133,5,8
PI086136,5,8
PI086137,5,8
PI086138,5,8
PI086142,5,8
PI086144,5,8
PI086145,5,8
PI086146,5,8
PI086150,5,8
PI086153,5,8
PI086154,5,8
PI086301,5,8
PI086410,5,8
PI086411,5,8
PI086416,5,8
PI086425,5,8
PI086443,5,8
PI086445,5,8
PI086449,5,8
PI086452,5,8
PI086454,5,8
PI086456,5,8
PI086457,5,8
PI086463,5,8
PI086469,5,8
PI086482,5,8
PI086491,5,8
PI086502,5,8
PI086504,5,8
PI086510,5,8
PI086737,5,8
PI086740,5,8
PI086741,5,8
PI086876,5,8
PI086878,5,8
PI086908,5,8
PI086978,5,8
PI087005,5,8
PI087011,5,8
PI087013,5,8
PI087026,5,8
PI087029,5,8
PI087047,5,8
PI087059,5,8
PI087065,5,8
PI087074,5,8
PI087165,5,8
PI087167,5,8
PI087457,5,8
PI087524,5,8
PI087525,5,8
PI087530,5,8
PI087531,5,8
PI087540,5,8
PI087561,5,8
PI087571,5,8
PI087574,5,8
PI087575,5,8
PI087588,5,8
PI087606,5,8
PI087615,5,8
PI087617,5,8
PI087618,5,8
PI087619,5,8
PI087620,5,8
PI087622,5,8
PI087623,5,8
PI087628,5,8
PI087629,5,8
PI087630,5,8
PI087631,5,8
PI087632,5,8
PI087634,5,8
PI088282,5,8
PI088287,5,8
PI088288,5,8
PI088289,5,8
PI088290,5,8
PI088291,5,8
PI088292,5,8
PI088293,5,8
PI088294,5,8
PI088295,5,8
PI088296,5,8
PI088297,5,8
PI088298,5,8
PI088300,1,8
PI088301,5,8
PI088303,5,8
PI088304,5,8
PI088305,5,8
PI088306,5,8
PI088307,5,8
PI088308,5,8
PI088309,5,8
PI088310,5,8
PI088311,5,8
PI088312,1,8
PI088313,5,8
PI088349,1,8
PI088350,5,8
PI088351,5,8
PI088352,5,8
PI088353,5,8
PI088354,5,8
PI088355,5,8
PI088356,5,8
PI088357,5,8
PI088358,5,8
PI088359,5,8
PI088442,5,8
PI088443,5,8
PI088444,5,8
PI088445,5,8
PI088447,5,8
PI088448,5,8
PI088452,5,8
PI088455,5,8
PI088458,5,8
PI088459,5,8
PI088466,5,8
PI088468,5,8
PI088479,5,8
PI088484,5,8
PI088486,5,8
PI088491,5,8
PI088492,5,8
PI088495,5,8
PI088497,5,8
PI088499,5,8
PI088502,5,8
PI088508,5,8
PI088777,5,8
PI088780,5,8
PI088782,5,8
PI088783,5,8
PI088787,5,8
PI088788,5,8
PI088789,5,8
PI088790,5,8
PI088793,5,8
PI088797,5,8
PI088798,5,8
PI088799,5,8
PI088803,5,8
PI088804,5,8
PI088806,5,8
PI088809,5,8
PI088810,5,8
PI088811,5,8
PI088813,5,8
PI088814,5,8
PI088815,5,8
PI088816,5,8
PI088818,5,8
PI088823,5,8
PI088825,5,8
PI088826,5,8
PI088886,5,8
PI088965,5,8
PI088997,5,8
PI089000,5,8
PI089002,5,8
PI089004,5,8
PI089006,5,8
PI089007,5,8
PI089008,5,8
PI089010,5,8
PI089012,5,8
PI089013,5,8
PI089014,5,8
PI089053,5,8
PI089055,5,8
PI089057,5,8
PI089058,5,8
PI089059,5,8
PI089060,5,8
PI089063,5,8
PI089064,5,8
PI089065,5,8
PI089066,5,8
PI089067,5,8
PI089070,5,8
PI089072,5,8
PI089073,5,8
PI089074,5,8
PI089075,5,8
PI089117,5,8
PI089128,1,8
PI089130,5,8
PI089133,5,8
PI089134,5,8
PI089138,5,8
PI089143,5,8
PI089146,5,8
PI089150,5,8
PI089153,5,8
PI089154,5,8
PI089156,5,8
PI089162,5,8
PI089167,5,8
PI089168,5,8
PI089170,5,8
PI089171,5,8
PI089471,5,8
PI089769,5,8
PI089772,5,8
PI089773,5,8
PI089784,1,8
PI090138,5,8
PI090180,5,8
PI090208,5,8
PI090220,5,8
PI090221,5,8
PI090233,5,8
PI090241,1,8
PI090245,5,8
PI090249,5,8
PI090256,5,8
PI090258,5,8
PI090305,5,8
PI090354,5,8
PI090369,1,8
PI090392,5,8
PI090401,5,8
PI090402,5,8
PI090407,5,8
PI090463,5,8
PI090486,5,8
PI090490,5,8
PI090560,5,8
PI090563,5,8
PI090566,5,8
PI090567,5,8
PI090570,5,8
PI090573,1,8
PI090574,5,8
PI090575,5,8
PI090578,5,8
PI090579,5,8
PI090723,5,8
PI090760,5,8
PI090763,5,8
PI091073,1,8
PI091082,5,8
PI091083,1,8
PI091089,1,8
PI091091,5,8
PI091102,5,8
PI091103,5,8
PI091104,5,8
PI091107,5,8
PI091109,5,8
PI091110,5,8
PI091113,1,8
PI091114,5,8
PI091115,5,8
PI091116,5,8
PI091117,5,8
PI091119,5,8
PI091120,5,8
PI091123,5,8
PI091124,5,8
PI091126,5,8
PI091129,5,8
PI091138,5,8
PI091141,5,8
PI091144,5,8
PI091150,5,8
PI091156,5,8
PI091161,5,8
PI091164,5,8
PI091167,5,8
PI091171,5,8
PI091180,5,8
PI091557,5,8
PI091733,5,8
PI092109,5,8
PI092460,5,8
PI092464,5,8
PI092465,5,8
PI092468,5,8
PI092469,5,8
PI092470,5,8
PI092561,5,8
PI092563,5,8
PI092565,5,8
PI092569,5,8
PI092570,5,8
PI092572,5,8
PI092573,5,8
PI092576,5,8
PI092580,5,8
PI092582,5,8
PI092589,5,8
PI092592,5,8
PI092595,5,8
PI092596,5,8
PI092598,5,8
PI092603,5,8
PI092607,5,8
PI092611,5,8
PI092627,5,8
PI092629,5,8
PI092639,5,8
PI092649,5,8
PI092660,5,8
PI092661,5,8
PI092671,5,8
PI092677,5,8
PI092681,5,8
PI092683,5,8
PI092684,5,8
PI092687,5,8
PI092694,5,8
PI092696,5,8
PI092698,5,8
PI092705,5,8
PI092706,5,8
PI092717,5,8
PI092719,5,8
PI092733,5,8
PI092734,5,8
PI092748,5,8
PI093217,5,8
PI093559,5,8
PI093560,5,8
PI093565,5,8
PI096152,5,8
PI096171,5,8
PI096188,5,8
PI096193,5,8
PI096195,5,8
PI096201,5,8
PI096549,5,8
PI097605,5,8
PI103414,5,8
PI131531,5,8
PI132201,5,8
PI132206,5,8
PI132215,5,8
PI135589,5,8
PI135590,5,8
PI142491,5,8
PI153214,5,8
PI153215,5,8
PI153226,5,8
PI153227,5,8
PI153229,5,8
PI153236,5,8
PI153238,5,8
PI153244,5,8
PI153247,5,8
PI153250,5,8
PI153253,5,8
PI153255,5,8
PI153263,5,8
PI153264,5,8
PI153266,5,8
PI153267,5,8
PI153271,5,8
PI153274,5,8
PI153276,5,8
PI153279,5,8
PI153280,5,8
PI153282,5,8
PI153283,5,8
PI153285,5,8
PI153287,5,8
PI153288,5,8
PI153289,5,8
PI153290,5,8
PI153291,5,8
PI153294,5,8
PI153308,5,8
PI153310,5,8
PI153311,5,8
PI153313,5,8
PI153315,5,8
PI153316,5,8
PI154195,5,8
PI171421,5,8
PI181532,5,8
PI181533,5,8
PI181534,5,8
PI181536,5,8
PI181537,5,8
PI181538,5,8
PI181541,5,8
PI181548,5,8
PI181570,5,8
PI184042,5,8
PI184043,5,8
PI184044,5,8
PI184045,5,8
PI184046,5,8
PI189863,5,8
PI189864,5,8
PI189881,5,8
PI189888,5,8
PI189890,5,8
PI189892,5,8
PI189896,5,8
PI189907,5,8
PI189911,5,8
PI189915,5,8
PI189916,5,8
PI189917,5,8
PI189918,5,8
PI189919,5,8
PI189921,5,8
PI189922,5,8
PI189924,5,8
PI189925,5,8
PI189929,5,8
PI189930,5,8
PI189931,5,8
PI189941,5,8
PI189945,5,8
PI189946,5,8
PI189947,5,8
PI189958,5,8
PI189962,5,8
PI189966,5,8
PI189967,5,8
PI189968,5,8
PI196150,5,8
PI196151,5,8
PI196154,5,8
PI196158,5,8
PI196159,5,8
PI196160,5,8
PI196161,5,8
PI196163,5,8
PI196325,5,8
PI200479,5,8
PI200482,5,8
PI200508,5,8
PI200552,5,8
PI200592,5,8
PI200593,5,8
PI200594,5,8
PI200596,5,8
PI204653,5,8
PI205085,5,8
PI205092,5,8
PI227213,5,8
PI227321,5,8
PI227322,5,8
PI227324,5,8
PI227325,5,8
PI227329,5,8
PI227331,5,8
PI227333,5,8
PI227334,5,8
PI227558,5,8
PI227684,5,8
PI229322,1,8
PI229328,5,8
PI229331,5,8
PI229354,5,8
PI232987,5,8
PI232988,5,8
PI232989,5,8
PI232990,5,8
PI232991,5,8
PI232993,5,8
PI238922,5,8
PI238930,1,8
PI248396,5,8
PI248397,5,8
PI248398,1,8
PI248400,5,8
PI248406,5,8
PI248407,5,8
PI248409,5,8
PI248410,5,8
PI250844,5,8
PI251585,5,8
PI251586,5,8
PI261472,1,8
PI261474,1,8
FC003654N,5,9
FC004002B,5,9
FC004002N,5,9
FC004007A,5,9
FC004007B,5,9
PI068609A,5,9
PI068609B,5,9
PI081029N,5,9
PI082312N,1,9
PI083881A,5,9
PI084669N,5,9
PI084683A,5,9
PI084987A,5,9
PI086109B,5,9
PI086138R,5,9
PI088293A,5,9
PI088820N,5,9
PI089061N,5,9
PI090479P,5,9
PI090495N,5,9
PI091108N,5,9
PI248509A,5,9
PI253650A,5,9
PI253650B,5,9
PI253652C,5,9
PI253652D,5,9
PI253653C,5,9
PI253653D,5,9
PI253658A,5,9
PI253658B,5,9
PI253658C,5,9
PI266085A,5,9
PI266085C,5,9
PI266806A,5,9
PI266806B,5,9
PI266807A,5,9
PI266807B,5,9
PI266807C,5,9
FC003654-1,5,10
FC019976-1,5,10
FC019976-2,5,10
FC019979-1,5,10
FC019979-2,5,10
FC019979-3,5,10
FC019979-4,5,10
FC019979-5,5,10
FC019979-6,5,10
FC019979-7,5,10
FC031572-3,5,10
PI054606-1,5,10
PI054606-2,5,10
PI054608-1,5,10
PI054608-2,5,10
PI054608-3,5,10
PI054608-4,5,10
PI054608-5,5,10
PI054610-1,5,10
PI054610-4,5,10
PI054615-1,5,10
PI054615-2,5,10
PI054620-2,5,10
PI055089-1,5,10
PI060269-2,5,10
PI060296-1,5,10
PI060296-2,5,10
PI062202-2,5,10
PI068457-1,5,10
PI068461-1,5,10
PI068465-1,5,10
PI068474-2,5,10
PI068475-1,5,10
PI068479-1,5,10
PI068484-1,5,10
PI068484-4,5,10
PI068521-1,5,10
PI068530-2,5,10
PI068533-1,5,10
PI068533-2,1,10
PI068551-2,5,10
PI068551-3,5,10
PI068604-2,5,10
PI068670-1,5,10
PI068670-2,5,10
PI068679-2,5,10
