acid,SCN2,
PI054591,5,8
PI070457,4,8
PI079609,5,8
PI079693,5,8
PI081761,5,8
PI084751,4,8
PI087606,4,8
PI088788,5,8
PI089008,5,8
PI089014,5,8
PI089772,2,8
PI090763,1,8
PI091138,5,8
PI092720,5,8
PI200495,5,8
PI209332,5,8
PI261466,5,8
PI261467,5,8
PI303652,5,8
PI398680,5,8
PI398682,5,8
PI399061,5,8
PI404166,2,8
PI407729,5,8
PI407944,5,8
PI416762,5,8
PI417091,5,8
PI417094,4,8
PI417150,5,8
PI423952,4,8
PI424595,5,8
PI437090,5,8
PI437379,5,8
PI437488,5,8
PI437654,2,8
PI437655,5,8
PI437679,2,8
PI437690,2,8
PI437725,4,8
PI437770,5,8
PI437908,5,8
PI438183,5,8
PI438205,5,8
PI438342,4,8
PI438437,4,8
PI438497,2,8
PI438498,2,8
PI458199,2,8
PI458520,4,8
PI461509,2,8
PI464912,5,8
PI464917,4,8
PI467310,4,8
PI467312,2,8
PI467327,1,8
PI467332,4,8
PI468903,1,8
PI468904,2,8
PI468906,4,8
PI468907,4,8
PI468908,4,8
PI468909,5,8
PI468910,4,8
PI468911,5,8
PI468912,4,8
PI468913,4,8
PI468915,2,8
PI468919,4,8
PI475810,4,8
PI483459,5,8
PI490769,2,8
PI494182,2,8
PI506862,2,8
PI507268,4,8
PI507354,2,8
PI507422,4,8
PI507423,5,8
PI507443,5,8
PI507470,5,8
PI507471,1,8
PI507475,5,8
PI507476,4,8
PI509095,5,8
PI509100,4,8
PI518664,5,8
PI518772,5,8
PI522186,2,8
PI522187,2,8
PI522189,4,8
PI522190,2,8
PI522191,5,8
PI525492,5,8
PI532434,2,8
PI532472,4,8
PI538406,5,8
PI538408,5,8
PI548316,5,8
PI548317,5,8
PI548349,5,8
PI548400,5,8
PI548402,4,8
PI548415,5,8
PI548658,5,8
PI548982,5,8
PI567165,4,8
PI567285,5,8
PI567328,5,8
PI567364,5,8
PI567365,5,8
PI567400,5,8
PI567421,5,8
PI567492,5,8
PI567577,5,8
PI567581,5,8
PI567636,5,8
PI567675,4,8
PI567677,4,8
PI567678,2,8
PI567681,5,8
PI567685,4,8
PI567686,4,8
PI567687,4,8
PI567689,4,8
PI567690,2,8
PI567691,4,8
PI567692,5,8
PI567693,4,8
PI567694,4,8
PI567695,4,8
PI567697,2,8
PI567699,4,8
PI567700,2,8
PI567701,5,8
PI567703,4,8
PI567704,5,8
PI567705,4,8
PI103419B,5,9
PI123577B,4,9
PI157487B,5,9
PI159923B,4,9
PI339865A,4,9
PI339868B,4,9
PI404198A,2,9
PI404198B,5,9
PI407386D,5,9
PI424137B,5,9
PI438489B,2,9
PI438496B,5,9
PI438503A,5,9
PI458175B,5,9
PI458519A,2,9
PI464915B,2,9
PI495017C,2,9
PI506590E,4,9
PI506838A,5,9
PI506838B,5,9
PI507686B,5,9
PI507686C,4,9
PI507704A,4,9
PI507704B,5,9
PI512322A,4,9
PI512322D,2,9
PI522188A,2,9
PI522188B,4,9
PI522192A,5,9
PI522192B,4,9
PI532444A,2,9
PI532444B,2,9
PI538401A,4,9
PI538401B,5,9
PI567336A,2,9
PI567336B,2,9
PI567363B,5,9
PI567373A,5,9
PI567373B,4,9
PI567415A,4,9
PI567418A,5,9
PI567488A,2,9
PI567488B,2,9
PI567488C,2,9
PI567491A,2,9
PI567507B,5,9
PI567510A,5,9
PI567512B,5,9
PI567516C,2,9
PI567535A,5,9
PI567562A,5,9
PI567568A,5,9
PI567583C,5,9
PI567650C,4,9
PI567660B,4,9
PI567676A,2,9
PI567676B,4,9
PI567679A,4,9
PI567679B,4,9
PI567679C,4,9
PI567683A,4,9
PI567684A,4,9
PI567684B,4,9
PI567688A,2,9
PI567688B,4,9
PI567696A,4,9
PI567696B,2,9
PI567696C,4,9
PI567698A,5,9
PI567698B,5,9
PI567702A,5,9
PI567702B,5,9
PI567706A,2,9
PI087631-1,5,10
PI407946-2,5,10
PI408192-2,5,10
