acid,PYU.11002,
PI091107,5,8
PI091109,5,8
PI091110,5,8
PI091114,5,8
PI091115,5,8
PI091116,5,8
PI091117,5,8
PI091119,5,8
PI091120,5,8
PI091123,5,8
PI091124,5,8
PI091126,5,8
PI091129,5,8
PI091138,5,8
PI091141,5,8
PI091144,5,8
PI091150,5,8
PI091156,5,8
PI091161,5,8
PI091164,5,8
PI091167,5,8
PI091171,5,8
PI091180,5,8
PI091557,5,8
PI091733,5,8
PI092109,5,8
PI092460,5,8
PI092464,5,8
PI092465,5,8
PI092468,5,8
PI092469,5,8
PI092470,5,8
PI092561,5,8
PI092563,5,8
PI092565,5,8
PI092569,5,8
PI092570,5,8
PI092572,5,8
PI092573,5,8
PI092576,5,8
PI092580,5,8
PI092582,5,8
PI092589,5,8
PI092592,5,8
PI092595,5,8
PI092596,5,8
PI092598,5,8
PI092603,5,8
PI092607,5,8
PI092611,5,8
PI092627,5,8
PI092629,5,8
PI092639,5,8
PI092649,5,8
PI092660,5,8
PI092661,5,8
PI092671,5,8
PI092677,5,8
PI092681,5,8
PI092683,5,8
PI092684,5,8
PI092687,5,8
PI092694,5,8
PI092696,5,8
PI092698,5,8
PI092705,5,8
PI092706,5,8
PI092717,5,8
PI092719,5,8
PI092733,5,8
PI092734,5,8
PI092748,5,8
PI093217,5,8
PI093559,5,8
PI093560,5,8
PI093565,5,8
PI096152,5,8
PI096171,5,8
PI096188,5,8
PI096193,5,8
PI096195,5,8
PI096201,5,8
PI096549,5,8
PI097605,5,8
PI103414,5,8
PI131531,5,8
PI132201,5,8
PI132206,5,8
PI132215,5,8
PI135589,5,8
PI135590,5,8
PI142491,5,8
PI153214,5,8
PI153215,5,8
PI153226,5,8
PI153227,5,8
PI153229,5,8
PI153236,5,8
PI153238,5,8
PI153244,5,8
PI153247,5,8
PI153250,5,8
PI153253,5,8
PI153255,5,8
PI153263,5,8
PI153264,5,8
PI153266,5,8
PI153267,5,8
PI153271,5,8
PI153274,5,8
PI153276,5,8
PI153279,5,8
PI153280,5,8
PI153282,5,8
PI153283,5,8
PI153285,5,8
PI153287,5,8
PI153288,5,8
PI153289,5,8
PI153290,5,8
PI153291,5,8
PI153294,5,8
PI153308,5,8
PI153310,5,8
PI153311,5,8
PI153313,5,8
PI153315,5,8
PI153316,5,8
PI154195,5,8
PI171421,5,8
PI181532,5,8
PI181533,5,8
PI181534,5,8
PI181536,5,8
PI181537,5,8
PI181538,5,8
