acid,SCN4.83,SCN4code.83
PI68465,1,0
PI62202,1,0
PI84896,1,0
PI70213,1,0
PI84807,1,0
PI79620,1,0
PI437654,1,0
PI70519,1,1
PI82308,1,1
PI84664,1,1
PI56563,1,1
PI79712,1,1
PI68622,1,1
PI70251,1,1
PI92576,1,1
FC31685,1,1
PI54620-2,1,1
PI437844A,1,1
PI70229,1,1
PI437793,1,1
PI437904,1,1
PI70027,1,1
FC21340,1,1
PI153297,1,1
PI153303,1,1
PI84979,2,2
PI68806,2,2
PI72328,2,2
PI72337,2,2
PI70456,2,2
PI85009-1,2,2
PI68475-1,2,2
PI81041,2,2
PI84673,2,2
PI60279,2,2
PI70089,2,2
PI60970,2,2
PI70247,2,2
PI70462,2,2
PI60272,2,2
PI70253,2,2
PI68694,2,2
PI68815,2,2
PI70078,2,2
PI70503,2,2
PI79602,2,2
PI85012,2,2
PI68701,2,2
PI79692,2,2
PI84660,2,2
PI84908-1,2,2
PI84646-2,2,2
PI84657,2,2
PI84957-1,2,2
PI458276,2,2
PI438256B,2,2
PI437908,2,2
PI437913,2,2
PI458119,2,2
PI437711B,2,2
PI437836,2,2
PI70087,2,2
PI63271,2,2
PI438444,2,2
PI445836,2,2
PI437701,2,2
PI437951,2,2
PI438360A,2,2
PI200472,4,2
PI243518,4,3
PI417229,4,3
PI424237A,4,3
PI424247B,4,3
PI407998C,4,3
PI417367,4,3
PI424397,4,3
PI407845B,4,3
PI424504B,4,3
PI416965,4,3
PI416987,4,3
PI424254,4,3
PI424367,4,3
PI423948B,4,3
PI424344,4,3
PI417020,4,3
PI417417,4,3
PI423881,4,3
PI416904B,4,3
PI408203B,4,3
PI407981B,4,3
PI424338,4,3
PI407914C,4,3
PI407918B,4,3
PI408227,4,3
PI407979,4,3
PI424574,4,3
PI407991,4,3
PI407988A,4,3
PI424257B,4,3
PI424518,4,3
PI424548,4,3
PI417140,4,3
PI83881,4,3
PI84639,4,3
PI82295,4,3
PI81034-1,4,3
PI81034-2,4,3
PI68443,4,3
PI81029N,4,3
PI68708,4,3
PI64747,4,3
PI54610-1,4,3
PI54591,4,3
PI63468,4,3
PI61944,4,3
PI79747,4,3
PI68598,4,3
PI68696,4,3
PI70091,4,3
PI70507,4,3
PI84609,4,3
PI30594,4,3
PI70188,4,3
PI54606-2,4,3
PI79583,4,3
PI79874-1,4,3
FC19979-6,4,3
FC19979-7,4,3
PI79587,4,3
PI73587,4,3
PI79756,4,3
PI79773,4,3
PI79825-1,4,3
PI82263-2,4,3
FC31408,4,3
PI54608-1,4,3
PI54619,4,3
PI68421,4,3
PI68436,4,3
PI68448,4,3
PI68712,4,3
PI68729,4,3
PI69992,4,3
PI70084,4,3
PI70228,4,3
PI70459,4,3
PI70461,4,3
PI70495,4,3
PI71850,4,3
PI73780,4,3
PI79593,4,3
PI79761,4,3
PI81767,4,3
PI72341,4,3
PI80485,4,3
PI84928,4,3
FC4002N,4,3
PI82527,4,3
PI85624,4,3
PI70208,4,3
PI81764,4,3
FC4007B,4,3
PI60296-2,4,3
FC31684,4,3
FC31715,4,3
FC31946,4,3
PI54615-2,4,3
PI68479-1,4,3
PI68621,4,3
PI68761-3,4,3
PI69515,4,3
PI79743,4,3
PI79760,4,3
PI84610,4,3
PI84628,4,3
PI85355,4,3
FC19979-2,4,3
PI81037-5,4,3
PI82302,4,3
PI63945,4,3
PI81027,4,3
FC19976-1,4,3
PI54614,4,3
PI80845-1,4,3
PI80845-2,4,3
PI80847-2,4,3
PI81037-1,4,3
PI81037-2,4,3
PI81037-3,4,3
PI82246,4,3
PI82326,4,3
PI85009-2,4,3
PI85019,4,3
PI83925,4,3
PI83945-4,4,3
FC3654-1,4,3
PI205092,4,3
PI437151,4,3
PI417452,4,3
PI229333,4,3
PI424484A,4,3
PI423768,4,3
PI437371,4,3
PI437576,4,3
PI417174,4,3
PI424226,4,3
PI157435,4,3
PI417345A,4,3
PI437338,4,3
PI157405,4,3
PI407731,4,3
PI437103,4,3
PI437112B,4,3
PI227212,4,3
PI248514,4,3
PI407810,4,3
PI424253,4,3
PI437129B,4,3
PI437388,4,3
PI424335B,4,3
PI69501,4,3
PI70501,4,3
PI70515,4,3
PI84633,4,3
PI157402,4,3
PI157410,4,3
PI157396,4,3
PI157419,4,3
PI157434,4,3
PI248509B,4,3
PI157401,4,3
PI200519,4,3
PI209331,4,3
PI238926,4,3
PI243517,4,3
PI253659,4,3
PI81780,4,3
PI82264,4,3
PI83923,4,3
PI243519,4,3
PI423814B,4,3
PI424460,4,3
PI407746,4,3
PI408215A,4,3
PI417345B,4,3
PI423746,4,3
PI423846,4,3
PI424270A,4,3
PI423753A,4,3
PI423794,4,3
PI424252,4,3
PI424336,4,3
PI437367,4,3
PI437396,4,3
PI437407,4,3
PI437420A,4,3
PI437437B,4,3
PI437458A,4,3
PI437493,4,3
PI437550A,4,3
PI437657,4,3
PI437788B,4,3
PI437961,4,3
PI438011,4,3
PI417077,4,3
PI379561,4,3
PI416891,4,3
PI416972,4,3
PI416994,4,3
PI417044,4,3
PI423938,4,3
PI417006,4,3
PI423890C,4,3
PI416878,4,3
PI81765,4,3
PI84668,4,3
PI79648,4,3
PI82183,4,3
PI153310,4,3
PI69507,4,3
PI70485,4,3
PI81037-4,4,3
PI83945-3,4,3
PI253658C,4,3
PI189918,4,3
PI78243,4,3
PI81772,4,3
PI248509A,4,3
PI70473-1,4,3
PI79694,4,3
PI153266,4,3
PI248410,4,3
PI68586,4,3
PI437868,4,3
PI437236,4,3
PI437421,4,3
PI424204,4,3
PI437352,4,3
PI437366,4,3
PI437135A,4,3
PI437172,4,3
PI437205A,4,3
PI437215,4,3
PI437224,4,3
PI437996A,4,3
PI437999,4,3
PI378665,4,3
PI438004B,4,3
PI417139,4,3
PI437962,4,3
PI437094,4,3
PI180529,4,3
PI437287,4,3
PI437995A,4,3
FC30691,4,3
PI196502,4,3
PI437540,4,3
PI153281,4,3
PI153319,4,3
PI189960,4,3
PI154200,4,3
PI361112A,4,3
FC30684,4,3
PI189882,4,3
PI417509,4,3
PI424199,4,3
PI424209,4,3
PI227327,4,3
PI54855,4,3
PI437168A,4,3
PI290140,4,3
PI290141,4,3
PI290142,4,3
PI347540B,4,3
PI417532,4,3
PI423714,4,3
PI423719,4,3
PI424193,4,3
PI424194,4,3
PI437306A,4,3
PI437507,4,3
PI437600,4,3
PI437660,4,3
PI437735,4,3
PI438040,4,3
PI438420,4,3
PI398774,5,4
PI398790,5,4
PI417268,5,4
PI408309,5,4
PI398843,5,4
PI423977,5,4
PI424221B,5,4
PI423748B,5,4
PI399066,5,4
PI54615-1,5,4
PI59849,5,4
PI88310,5,4
PI85625,5,4
PI88777,5,4
PI71850-1,5,4
PI85519,5,4
PI88823,5,4
FC19979-1,5,4
FC19979-4,5,4
PI393535,5,4
PI458132,5,4
PI417195,5,4
PI437886B,5,4
PI458144,5,4
PI398720,5,4
PI423813,5,4
PI423816,5,4
PI417482,5,4
PI458095,5,4
PI82278,5,4
PI243530,5,4
PI171450,5,4
PI407655B,5,4
PI408109A,5,4
PI408235,5,4
PI424216,5,4
PI408273,5,4
PI423721,5,4
PI424281A,5,4
PI437563,5,4
PI416748,5,4
PI423936,5,4
PI423940,5,4
PI423739,5,4
PI423740,5,4
PI458021,5,4
PI273483D,5,4
PI378682B,5,4
PI360845,5,4
PI340035,5,4
PI340046,5,4
PI273483C,5,4
PI340037,5,4
PI339981,5,4
PI361103,5,4
PI304218,5,4
PI274212,5,4
PI339864A,5,4
PI339868D,5,4
PI360841,5,4
PI342004,5,4
PI291309D,5,4
PI273483F,5,4
PI291327,5,4
PI360846,5,4
PI339995,5,4
PI340049,5,4
PI291310B,5,4
PI360836,5,4
PI273483B,5,4
PI274209,5,4
PI281850,5,4
PI274455,5,4
PI360842,5,4
PI342005,5,4
PI297536,5,4
PI361116,5,4
PI342436,5,4
PI360959,5,4
PI360848,5,4
PI360838,5,4
PI407861C,5,4
PI408017,5,4
PI424450,5,4
PI424342B,5,4
PI408210,5,4
PI408319A,5,4
PI393537,5,4
PI407781A,5,4
PI398295,5,4
PI424234B,5,4
PI398440,5,4
PI398694,5,4
PI424479,5,4
PI424487B,5,4
PI398946,5,4
PI424238,5,4
PI424499C,5,4
PI424549B,5,4
PI424430,5,4
PI424499A,5,4
PI408225A,5,4
PI398697,5,4
PI404159,5,4
PI398680,5,4
PI398944,5,4
PI407806A,5,4
PI398565,5,4
PI398959,5,4
PI398298,5,4
PI407934,5,4
PI407772B,5,4
PI407781B,5,4
PI408169A,5,4
PI424135,5,4
PI424529,5,4
PI424559,5,4
PI424615,5,4
PI398664,5,4
PI398940,5,4
PI424348C,5,4
PI407778A,5,4
PI378682C,5,4
PI417137,5,4
PI399008,5,4
PI399080,5,4
PI423837A,5,4
PI424354,5,4
PI424406A,5,4
PI424409,5,4
PI424414,5,4
PI424477,5,4
PI398371,5,4
PI398674,5,4
PI398880,5,4
PI399015,5,4
PI399017,5,4
PI399079,5,4
PI424320,5,4
PI399004,5,4
PI423858,5,4
PI424355,5,4
PI424413,5,4
PI398764,5,4
PI398775,5,4
PI398791,5,4
PI398996,5,4
PI399036,5,4
PI399073,5,4
PI423741,5,4
PI424247A,5,4
PI424249C,5,4
PI398306,5,4
PI408015,5,4
PI408020C,5,4
PI408029,5,4
PI408124C,5,4
PI408125A,5,4
PI408132,5,4
PI408196B,5,4
PI408224B,5,4
PI408260B,5,4
PI408319B,5,4
PI408319C,5,4
PI423850,5,4
PI407812,5,4
PI407823,5,4
PI407847,5,4
PI407960B,5,4
PI408124A,5,4
PI408137A,5,4
PI408211B,5,4
PI408287,5,4
PI399022,5,4
PI407985,5,4
PI424169A,5,4
PI424509,5,4
PI424531,5,4
PI424555B,5,4
PI424159A,5,4
PI424533,5,4
PI424549A,5,4
PI398540,5,4
PI424525,5,4
PI423885,5,4
PI274456,5,4
PI423910,5,4
PI398773,5,4
PI393538,5,4
PI393540,5,4
PI416840,5,4
PI423871,5,4
PI398643,5,4
PI398693,5,4
PI398223,5,4
PI398666,5,4
PI407900,5,4
PI408062,5,4
PI408288,5,4
PI408111,5,4
PI407974B,5,4
PI408097,5,4
PI424358,5,4
PI417412,5,4
PI398495,5,4
PI398299,5,4
PI424569B,5,4
PI408074B,5,4
PI408004-1,5,4
PI274421,5,4
