acid,PRR1.11003,
FC002108,5,8
FC002109,5,8
FC003548,5,8
FC029333,1,8
FC031557,5,8
FC031571,5,8
FC031630,1,8
FC031678,5,8
FC031684,5,8
FC031685,5,8
FC031697,5,8
FC031702,5,8
FC031715,5,8
FC031946,5,8
FC033243,5,8
FC004002B,1,9
FC004002N,1,9
FC004007B,5,9
PI054591,5,8
PI054592,5,8
PI054600,1,8
PI054609,5,8
PI054613,5,8
PI054614,5,8
PI054615,5,8
PI054617,5,8
PI054620,5,8
PI055887,5,8
PI057334,5,8
PI058955,1,8
PI059849,1,8
PI060272,5,8
PI060970,5,8
PI061940,5,8
PI061944,5,8
PI061947,5,8
PI062202,1,8
PI062483,5,8
PI063468,5,8
PI063945,5,8
PI064698,5,8
PI064747,1,8
PI065379,1,8
PI068011,5,8
PI068398,5,8
PI068423,5,8
PI068449,5,8
PI068470,5,8
PI068479,5,8
PI068483,5,8
PI068494,5,8
PI068523,5,8
PI068528,5,8
PI068535,1,8
PI068560,5,8
PI068599,5,8
PI068621,5,8
PI068644,5,8
PI068648,5,8
PI068679,5,8
PI068692,5,8
PI068701,5,8
PI068710,5,8
PI068731,5,8
PI068756,5,8
PI068759,5,8
PI068768,5,8
PI068806,5,8
PI069993,5,8
PI069995,5,8
PI070001,5,8
PI070013,5,8
PI070014,5,8
PI070019,5,8
PI070023,5,8
PI070076,5,8
PI070080,5,8
PI070188,1,8
PI070189,5,8
PI070192,5,8
PI070199,5,8
PI070201,5,8
PI070202,5,8
PI070208,1,8
PI070212,5,8
PI070213,5,8
PI070229,5,8
PI070243,5,8
PI070247,5,8
PI070253,5,8
PI070462,5,8
PI070467,5,8
PI070469,5,8
PI070470,5,8
PI070471,5,8
PI070473,5,8
PI070490,5,8
PI070500,5,8
PI070501,5,8
PI070515,5,8
PI070519,5,8
PI070528,5,8
PI070541,5,8
PI070559,5,8
PI070566,5,8
PI071444,5,8
PI071461,5,8
PI071463,5,8
PI071506,5,8
PI072227,5,8
PI072232,5,8
PI079583,5,8
PI079587,5,8
PI079616,5,8
PI079620,5,8
PI079627,5,8
PI079628,5,8
PI079645,5,8
PI079692,5,8
PI079693,5,8
PI079696,5,8
PI079710,5,8
PI079743,5,8
PI079760,5,8
PI079835,5,8
PI079872,5,8
PI079874,5,8
PI080461,5,8
PI080470,5,8
PI080473,1,8
PI080479,5,8
PI080480,5,8
PI080481,5,8
PI080488,1,8
PI080822,5,8
PI080825,1,8
PI080831,5,8
PI080837,5,8
PI080841,1,8
PI081023,5,8
PI081027,1,8
PI081030,5,8
PI081038,5,8
PI081041,1,8
PI081667,5,8
PI081761,5,8
PI081764,1,8
PI081766,1,8
PI081777,1,8
PI081780,5,8
PI081785,1,8
PI082210,1,8
PI082218,1,8
PI082232,1,8
PI082235,1,8
PI082246,5,8
PI082259,5,8
PI082278,1,8
PI082291,1,8
PI082295,1,8
PI082296,5,8
PI082302,1,8
PI082307,5,8
PI082308,5,8
PI082315,1,8
PI082325,1,8
PI082326,5,8
PI082527,1,8
PI082534,1,8
PI082544,1,8
PI083853,1,8
PI083858,1,8
PI083868,5,8
PI083892,1,8
PI083893,5,8
PI083915,5,8
PI083923,5,8
PI083940,5,8
PI083944,5,8
PI084509,1,8
PI084578,5,8
PI084579,5,8
PI084581,5,8
PI084610,1,8
PI084611,5,8
PI084619,1,8
PI084628,5,8
PI084631,5,8
PI084632,5,8
PI084633,5,8
PI084644,5,8
PI084646,1,8
PI084656,5,8
PI084660,5,8
PI084662,5,8
PI084666,5,8
PI084679,5,8
PI084680,5,8
PI084682,5,8
PI084713,5,8
PI084751,5,8
PI084757,5,8
PI084807,5,8
PI084914,5,8
PI084939,1,8
PI084944,5,8
PI084959,1,8
PI084960,1,8
PI084970,5,8
PI084973,5,8
PI084976,5,8
PI084985,5,8
PI084987,5,8
PI085019,5,8
PI085272,5,8
PI085356,5,8
PI085407,5,8
PI085424,5,8
PI085437,1,8
PI085441,5,8
PI085456,5,8
PI085469,1,8
PI085505,1,8
PI085519,1,8
PI085550,5,8
PI085590,5,8
PI085624,1,8
PI085626,1,8
PI085658,5,8
PI085663,5,8
PI085665,5,8
PI085666,5,8
PI085668,5,8
PI085878,5,8
PI086004,5,8
PI086006,1,8
PI086007,5,8
PI086024,5,8
PI086026,5,8
PI086027,5,8
PI086028,1,8
PI086029,5,8
PI086032,5,8
PI086046,1,8
PI086053,5,8
PI086062,5,8
PI086063,1,8
PI086071,1,8
PI086073,5,8
PI086075,5,8
PI086081,5,8
PI086098,5,8
PI086103,1,8
PI086111,1,8
PI086114,1,8
PI086116,1,8
PI086123,5,8
PI086136,1,8
PI086137,5,8
