acid,Prr3.492990
PI587812A,5
PI587817,5
PI587819,5
PI587820A,5
PI587820B,5
PI587827,5
PI587828,5
PI587830B,5
PI587831,5
PI587833,5
PI587834,5
PI587840,5
PI587843,5
PI587844C,5
PI587846A,5
PI587846B,5
PI587848,5
PI587853,5
PI587854A,5
PI587854B,5
PI587857,5
PI587859,5
PI587860,5
PI587862A,5
PI587862B,5
PI587862C,5
PI587863A,5
PI587863B,5
PI587864A,5
PI587864B,5
PI587865,5
PI587866,5
PI587867,5
PI587868,5
PI587870,5
PI587871,5
PI587876,5
PI587879,5
PI587880A,5
PI587883A,5
PI587883B,5
PI587884,5
PI587886,5
PI587888,5
PI587892A,5
PI587892B,5
PI587892C,5
PI587895,5
PI587896,5
PI587897,5
PI587899,5
PI587901,5
PI587904,5
PI587905,5
PI587913B,5
PI587915A,5
PI587966B,5
PI587968A,5
PI587968B,5
PI587968C,5
PI587969,5
PI587970A,5
PI587970B,5
PI587972,5
PI587973B,5
PI587974,5
PI587976A,5
PI587976B,5
PI587976C,5
PI587976D,5
PI587977,5
PI587978A,5
PI587979A,5
PI587980A,5
PI587980B,5
PI587980C,5
PI587982A,5
PI587982B,5
PI587983A,5
PI587983B,5
PI587984A,5
PI587984B,5
PI587985B,5
PI587986A,5
PI587986B,5
PI587987B,5
PI587988B,5
PI587989B,5
PI587990,5
PI587991,5
PI587992D,5
PI587992E,5
PI587992G,5
PI587993,5
PI587995,5
PI587997A,5
PI587997B,5
PI587998A,5
PI587998B,5
PI587998C,5
PI587998D,5
PI587998E,5
PI587998G,5
PI587999B,5
PI587999C,5
PI588001,5
PI588003,5
PI588004,5
PI588005A,5
PI588005B,5
PI588007A,5
PI588007B,5
PI588008A,5
PI588008B,5
PI588008C,5
PI588008D,5
PI588010A,5
PI588011A,5
PI588011B,5
PI588013,5
PI588015A,5
PI588015B,5
PI588015D,5
PI588017A,5
PI588018,5
PI588020,5
PI588024A,5
PI588025,5
PI588026A,5
PI588026C,5
PI588028,5
PI588029,5
PI588030,5
PI588031,5
PI588032A,5
PI588032B,5
PI588033D,5
PI588039,5
PI588050B,5
PI588051,5
PI588053A,5
PI588053B,5
PI587569,5
PI587577I,5
PI587588B,5
PI587603D,5
PI587619,5
PI587641C,5
PI587647A,5
PI587666,5
PI587667,5
PI587712A,5
PI587734,5
PI587767B,5
PI587800,5
PI587829,5
PI587998F,5
PI587999D,5
PI587554,5
PI587558C,5
PI587560B,5
PI587587A,5
PI587596B,5
PI587597A,5
PI587632B,5
PI587642A,5
PI587674A,5
PI587809B,5
PI587988A,5
PI587553A,5
PI587556B,5
PI587638,5
PI587642B,5
PI587652,5
PI588011C,5
PI588019B,5
PI587605,5
PI587915C,5
