acid,SCN14,SCN14code,
PI506769,5,5,8
PI506770,5,5,8
PI506771,5,5,8
PI506772,5,5,8
PI506773,5,5,8
PI506774,5,5,8
PI506775,5,5,8
PI506776,5,5,8
PI506777,5,5,8
PI506778,5,5,8
PI506779,5,4.8,8
PI506781,5,5,8
PI506782,5,5,8
PI506784,5,5,8
PI506785,5,5,8
PI506786,5,5,8
PI506787,5,5,8
PI506788,5,4.7,8
PI506789,5,5,8
PI506790,5,5,8
PI506792,5,4.5,8
PI506794,5,4.3,8
PI506795,5,5,8
PI506796,5,4.3,8
PI506797,5,5,8
PI506798,5,5,8
PI506799,5,5,8
PI506802,5,5,8
PI506803,5,5,8
PI506804,5,5,8
PI506805,5,4.7,8
PI506806,5,4.5,8
PI506807,5,5,8
PI506808,5,5,8
PI506809,5,5,8
PI506810,5,5,8
PI506812,5,4.8,8
PI506813,5,5,8
PI506814,5,5,8
PI506815,5,5,8
PI506816,5,5,8
PI506817,5,5,8
PI506818,5,5,8
PI506819,5,5,8
PI506820,5,4.6,8
PI506821,5,5,8
PI506822,5,5,8
PI506823,5,5,8
PI506824,5,5,8
PI506825,5,5,8
PI506826,5,5,8
PI506827,5,5,8
PI506828,5,5,8
PI506829,5,5,8
PI506830,5,5,8
PI506831,5,5,8
PI506832,5,5,8
PI506833,5,5,8
PI506834,5,5,8
PI506835,5,5,8
PI506836,5,5,8
PI506837,5,5,8
PI506839,5,5,8
PI506841,5,5,8
PI506842,5,5,8
PI506843,5,5,8
PI506844,5,5,8
PI506845,5,5,8
PI506847,5,4,8
PI506848,5,5,8
PI506849,5,5,8
PI506850,5,5,8
PI506851,5,5,8
PI506852,5,5,8
PI506853,5,5,8
PI506854,5,5,8
PI506855,5,5,8
PI506856,5,5,8
PI506857,5,5,8
PI506858,5,5,8
PI506859,5,5,8
PI506860,5,5,8
PI506862,4,,8
PI506863,5,5,8
PI506865,5,5,8
PI506866,5,5,8
PI506867,5,5,8
PI506868,5,5,8
PI506869,5,5,8
PI506870,5,5,8
PI506871,5,5,8
PI506872,5,5,8
PI506873,5,5,8
PI506874,5,5,8
PI506875,5,5,8
PI506876,5,5,8
PI506877,5,5,8
PI506878,5,5,8
PI506879,5,5,8
PI506880,5,5,8
PI506881,5,5,8
PI506883,5,5,8
PI506885,5,5,8
PI506886,5,5,8
PI506887,5,5,8
PI506888,5,4.7,8
PI506889,5,4.3,8
PI506890,5,4.3,8
PI506891,5,4.8,8
PI506892,5,5,8
PI506893,5,5,8
PI506894,5,5,8
PI506895,5,5,8
PI506896,5,5,8
PI506897,5,5,8
PI506900,5,5,8
PI506901,5,5,8
PI506902,5,5,8
PI506903,5,5,8
PI506904,5,5,8
PI506905,5,5,8
PI506906,5,5,8
PI506907,5,5,8
PI506908,5,5,8
PI506910,5,5,8
PI506911,5,5,8
PI506912,5,5,8
PI506913,5,5,8
PI506914,5,5,8
PI506915,5,5,8
PI506916,5,5,8
PI506917,5,5,8
PI506918,5,4.9,8
PI506919,5,5,8
PI506920,5,5,8
PI506921,5,4.8,8
PI506922,5,5,8
PI506923,5,4.8,8
PI506924,5,4.8,8
PI506925,5,5,8
PI506926,5,4.8,8
PI506927,5,5,8
PI506928,5,5,8
PI506929,5,4.5,8
PI506930,5,4.2,8
PI506931,5,4.8,8
PI506932,5,4.8,8
PI506933,5,4.5,8
PI506935,5,5,8
PI506936,5,4.8,8
PI506937,5,4.6,8
PI506938,5,4.5,8
PI506939,5,4.8,8
PI506940,5,5,8
PI506941,5,4,8
PI506942,5,4.4,8
PI506943,5,4.5,8
PI506944,5,4,8
PI506945,5,4.4,8
PI506946,5,5,8
PI506947,5,4.8,8
PI506949,5,5,8
PI506950,5,5,8
PI506951,5,5,8
PI506952,5,5,8
PI506953,5,5,8
PI506954,5,5,8
PI506955,5,5,8
PI506956,5,5,8
PI506957,5,5,8
PI506958,5,5,8
PI506959,5,5,8
PI506960,5,5,8
PI506961,5,5,8
PI506962,5,5,8
PI506963,5,4,8
PI506964,5,5,8
PI506965,5,5,8
PI506966,5,5,8
PI506967,5,5,8
PI506968,5,5,8
PI506969,5,5,8
PI506970,5,5,8
PI506972,5,5,8
PI506973,5,5,8
PI506974,5,5,8
PI506975,5,5,8
PI506976,5,5,8
PI506977,5,5,8
PI506978,5,5,8
PI506979,5,5,8
PI506980,5,5,8
PI506981,5,5,8
PI506982,5,5,8
PI506983,5,5,8
PI506984,5,5,8
PI506985,5,5,8
PI506986,5,5,8
PI506987,5,5,8
PI506988,5,5,8
PI506989,5,5,8
PI506991,5,5,8
PI506992,5,5,8
PI506993,5,5,8
PI506994,5,5,8
PI506995,5,5,8
PI506996,5,5,8
PI506997,5,5,8
PI506998,5,5,8
PI506999,5,5,8
PI507000,5,5,8
PI507001,5,5,8
PI507002,5,5,8
PI507003,5,5,8
PI507004,5,5,8
PI507005,5,5,8
PI507006,5,5,8
PI507007,5,5,8
PI507008,5,5,8
PI507009,5,5,8
PI507010,5,5,8
PI507011,5,5,8
PI507012,5,5,8
PI507013,5,5,8
PI507015,5,5,8
PI507016,5,5,8
PI507018,5,5,8
PI507019,5,5,8
PI507020,5,5,8
PI507021,5,5,8
PI507022,5,5,8
PI507023,5,5,8
PI507024,5,5,8
PI507025,5,5,8
PI507026,5,5,8
PI507027,5,5,8
PI507028,5,5,8
PI507029,5,5,8
PI507030,5,5,8
PI507031,5,5,8
PI507033,5,5,8
PI507034,5,5,8
PI507035,5,5,8
PI507036,5,5,8
PI507037,5,5,8
PI507038,5,5,8
PI507039,5,5,8
PI507040,5,5,8
PI507041,5,4.9,8
PI507042,5,5,8
PI507043,5,5,8
PI507044,5,5,8
PI507046,5,5,8
PI507047,5,5,8
PI507048,5,4.2,8
PI507049,5,4.3,8
PI507050,5,4,8
PI507051,5,4.4,8
PI507052,4,3.5,8
PI507053,5,5,8
PI507054,5,5,8
PI507055,4,3.7,8
PI507056,5,5,8
PI507057,5,4,8
PI507058,5,5,8
PI507059,5,5,8
PI507060,5,5,8
PI507061,5,5,8
PI507063,5,5,8
PI507064,5,5,8
PI507065,5,5,8
PI507066,5,5,8
PI507067,5,5,8
PI507068,5,5,8
PI507069,5,4.8,8
PI507070,5,5,8
PI507072,5,5,8
PI507073,5,5,8
PI507074,5,4.7,8
PI507075,5,5,8
PI507076,5,5,8
PI507077,5,5,8
PI507078,5,5,8
PI507079,5,5,8
PI507080,5,5,8
PI507081,5,5,8
PI507084,5,5,8
PI507085,5,5,8
PI507086,5,5,8
PI507087,5,5,8
PI507088,5,5,8
PI507090,5,5,8
PI507091,5,5,8
PI507092,5,5,8
PI507093,5,5,8
PI507094,5,5,8
PI507096,5,5,8
PI507097,5,5,8
PI507098,5,5,8
PI507099,5,5,8
PI507100,5,5,8
PI507102,5,5,8
PI507103,5,5,8
PI507104,5,5,8
PI507105,5,5,8
PI507106,5,5,8
PI507107,5,4.9,8
PI507108,5,5,8
PI507109,5,5,8
PI507110,5,5,8
PI507111,5,5,8
PI507112,5,5,8
PI507113,5,4,8
PI507114,5,4.7,8
PI507115,5,4.7,8
PI507116,5,5,8
PI507118,5,5,8
PI507119,5,4.7,8
PI507120,5,5,8
PI507121,5,5,8
PI507122,5,5,8
PI507123,5,5,8
PI507124,5,5,8
PI507125,5,5,8
PI507126,5,5,8
PI507127,5,5,8
PI507128,5,4.8,8
PI507130,5,5,8
PI507131,5,4.6,8
PI507133,5,4.9,8
PI507134,5,4.8,8
PI507135,5,5,8
PI507136,5,4.8,8
PI507137,5,5,8
PI507138,5,5,8
PI507139,5,4.6,8
PI507140,5,5,8
PI507141,5,5,8
PI507142,5,5,8
PI507143,5,5,8
PI507144,5,4.7,8
PI507145,5,4.7,8
PI507146,5,4.8,8
PI507147,5,5,8
PI507148,5,5,8
PI507149,5,5,8
PI507150,5,5,8
PI507151,5,5,8
PI507152,5,5,8
PI507153,5,4.8,8
PI507154,5,5,8
PI507155,5,5,8
PI507156,5,5,8
PI507157,5,4,8
PI507158,5,5,8
PI507159,4,3.8,8
PI507160,5,4.8,8
PI507161,5,5,8
PI507162,5,4.9,8
PI507163,5,5,8
PI507164,5,4,8
PI507165,5,5,8
PI507166,5,4.8,8
PI507168,5,4.6,8
PI507169,5,4.8,8
PI507170,5,5,8
PI507171,5,4,8
PI507172,5,4.3,8
PI507173,5,5,8
PI507174,5,5,8
PI507175,5,5,8
PI507176,5,5,8
PI507177,5,5,8
PI507178,5,4.8,8
PI507179,5,5,8
PI507180,5,5,8
PI507181,5,5,8
PI507182,5,5,8
PI507183,5,4.5,8
PI507185,5,4.6,8
PI507186,4,3,8
PI507187,5,4.5,8
PI507188,5,5,8
PI507190,5,5,8
PI507191,5,5,8
PI507192,5,5,8
PI507193,5,5,8
PI507194,5,5,8
PI507195,5,5,8
PI507196,5,5,8
PI507198,5,5,8
PI507199,5,5,8
PI507200,5,5,8
PI507201,5,5,8
PI507202,5,5,8
PI507203,5,5,8
PI507204,5,5,8
PI507205,5,5,8
PI507206,5,4.6,8
PI507207,5,4.8,8
PI507208,5,4.9,8
PI507209,5,5,8
PI507210,5,4.7,8
PI507211,5,5,8
PI507212,5,5,8
PI507213,5,4.8,8
PI507214,5,5,8
PI507215,5,5,8
PI507217,5,5,8
PI507218,4,3.3,8
PI507219,5,4.8,8
PI507220,5,5,8
PI507221,5,4.9,8
PI507222,5,5,8
PI507223,5,5,8
PI507224,5,5,8
PI507225,5,5,8
PI507227,5,4.6,8
PI507228,5,4.8,8
PI507229,5,5,8
PI507230,5,5,8
PI507231,5,4.3,8
PI507232,5,5,8
PI507233,5,4.8,8
PI507234,5,4.7,8
PI507235,5,5,8
PI507236,5,5,8
PI507237,5,4.8,8
PI507238,5,5,8
PI507239,5,4.8,8
PI507240,5,5,8
PI507241,5,5,8
PI507242,4,3.7,8
PI507243,5,4,8
PI507244,5,5,8
PI507245,5,5,8
PI507246,2,2.5,8
PI507247,5,5,8
PI507248,5,4.9,8
PI507249,5,5,8
PI507250,5,5,8
PI507251,5,5,8
PI507252,5,5,8
PI507253,5,4.5,8
PI507254,5,5,8
PI507255,5,5,8
PI507256,4,3.8,8
PI507257,5,4.4,8
PI507258,5,5,8
PI507259,5,5,8
PI507260,5,5,8
PI507261,5,5,8
PI507262,5,5,8
PI507263,5,5,8
PI507264,5,5,8
PI507265,5,5,8
PI507266,5,5,8
PI507267,5,4.8,8
PI507269,5,5,8
PI507270,5,5,8
PI507271,5,5,8
PI507272,5,5,8
PI507273,5,5,8
PI507275,5,5,8
PI507276,5,5,8
PI507277,5,5,8
PI507278,5,5,8
PI507279,5,5,8
PI507280,5,4.7,8
PI507281,5,5,8
PI507282,5,5,8
PI507283,5,4.8,8
PI507284,5,4.3,8
PI507285,5,4.7,8
PI507287,5,5,8
PI507288,5,5,8
PI507290,5,5,8
PI507291,5,5,8
PI507292,5,5,8
PI507295,5,5,8
PI507296,5,5,8
PI507297,5,4.9,8
PI507298,5,4,8
PI507299,5,5,8
PI507300,5,5,8
PI507301,5,5,8
PI507302,5,5,8
PI507303,5,5,8
PI507304,5,4.8,8
PI507305,5,4.5,8
PI507306,5,4.5,8
PI507307,5,4.3,8
PI507308,4,3.6,8
PI507309,5,5,8
PI507310,5,5,8
PI507311,5,5,8
PI507312,5,4.8,8
PI507313,5,5,8
PI507314,5,5,8
PI507315,5,5,8
PI507316,5,5,8
PI507317,5,5,8
PI507318,5,5,8
PI507319,5,5,8
PI507321,5,5,8
PI507322,5,5,8
PI507323,5,5,8
PI507324,5,4.2,8
PI507325,5,5,8
PI507326,5,4.8,8
PI507327,5,5,8
PI507329,5,5,8
PI507330,5,5,8
PI507331,5,4,8
PI507332,5,5,8
PI507334,5,5,8
PI507335,5,5,8
PI507336,4,3.5,8
PI507337,5,5,8
PI507338,5,5,8
PI507339,5,5,8
PI507340,5,4.6,8
PI507341,5,5,8
PI507342,5,5,8
PI507343,5,5,8
PI507344,5,5,8
PI507345,5,4.8,8
PI507346,5,5,8
PI507347,5,5,8
PI507348,5,4.5,8
PI507349,5,5,8
PI507350,5,5,8
PI507351,5,5,8
PI507352,5,4.8,8
PI507353,5,5,8
PI507354,4,,8
PI507355,5,5,8
PI507356,5,5,8
PI507357,5,5,8
PI507358,5,5,8
PI507359,5,5,8
PI507360,5,5,8
PI507361,5,4.2,8
PI507362,5,5,8
PI507363,5,5,8
PI507364,5,4.6,8
PI507365,5,5,8
PI507366,5,5,8
PI507367,5,4.8,8
PI507368,5,4.8,8
PI507369,5,4.9,8
PI507370,5,5,8
PI507371,5,4.7,8
PI507372,5,5,8
PI507373,5,5,8
PI507374,5,5,8
PI507375,5,5,8
PI507376,5,4.9,8
PI507377,5,5,8
PI507378,5,4,8
PI507379,5,5,8
PI507380,5,5,8
PI507381,5,4.8,8
PI507382,5,5,8
PI507383,5,4.8,8
PI507384,5,5,8
PI507385,5,5,8
PI507386,5,5,8
PI507387,5,5,8
PI507388,4,3.5,8
PI507390,5,5,8
PI507391,5,5,8
PI507392,5,4.8,8
PI507394,5,5,8
PI507395,5,5,8
PI507396,5,5,8
PI507397,5,5,8
PI507398,5,5,8
PI507399,5,5,8
PI507400,5,5,8
PI507401,5,5,8
PI507402,5,5,8
PI507403,5,5,8
PI507404,5,5,8
PI507405,5,5,8
PI507407,5,5,8
PI507408,5,5,8
PI507409,5,5,8
PI507410,5,5,8
PI507411,5,5,8
PI507412,5,5,8
PI507413,5,5,8
PI507414,5,5,8
PI507415,5,5,8
PI507416,5,5,8
PI507417,5,5,8
PI507418,5,5,8
PI507419,5,5,8
PI507420,5,5,8
PI507421,5,5,8
PI507422,5,,8
PI507423,5,,8
PI507424,5,5,8
PI507425,5,5,8
PI507426,5,5,8
PI507428,5,5,8
PI507429,5,5,8
PI507430,5,5,8
PI507431,5,5,8
PI507432,5,5,8
PI507433,5,5,8
PI507434,5,5,8
PI507435,5,5,8
PI507436,5,5,8
PI507437,5,5,8
PI507438,5,5,8
PI507439,5,5,8
PI507440,5,5,8
PI507443,4,,8
PI507444,5,5,8
PI507445,5,5,8
PI507446,5,5,8
PI507447,5,5,8
PI507448,5,5,8
PI507449,5,5,8
PI507450,5,4.5,8
PI507451,5,5,8
PI507452,5,5,8
PI507454,5,5,8
PI507455,5,5,8
PI507456,5,5,8
PI507457,5,5,8
PI507458,4,3.8,8
PI507459,5,5,8
PI507460,5,5,8
PI507461,5,5,8
PI507462,5,5,8
PI507463,5,5,8
PI507464,5,5,8
PI507465,5,5,8
PI507466,5,5,8
PI507467,5,5,8
PI507468,5,5,8
PI507470,5,,8
PI507471,2,,8
PI507472,5,5,8
PI507473,5,5,8
PI507474,5,5,8
PI507475,5,,8
PI507476,4,,8
PI507477,5,4.8,8
PI507478,5,5,8
PI507479,5,5,8
PI507480,5,5,8
PI507481,5,5,8
PI507482,5,5,8
PI507483,5,5,8
PI507484,5,5,8
PI507485,5,5,8
PI507486,5,5,8
PI507487,5,4.8,8
PI507488,5,5,8
PI507489,5,5,8
PI507490,5,5,8
PI507491,5,5,8
PI507492,5,5,8
PI507493,5,5,8
PI507494,5,5,8
PI507495,5,5,8
PI507496,5,4.7,8
PI507497,5,4.3,8
PI507498,5,4,8
PI507499,5,5,8
PI507500,5,5,8
PI507501,5,4.6,8
PI507502,5,5,8
PI507503,5,4.8,8
PI507504,5,5,8
PI507505,5,5,8
PI507506,5,5,8
PI507508,5,5,8
PI507511,5,5,8
PI507512,5,5,8
PI507514,5,4.6,8
PI507515,5,4.7,8
PI507516,5,5,8
PI507517,5,5,8
PI507518,5,5,8
PI507519,5,5,8
PI507520,5,5,8
PI507521,5,5,8
PI507522,5,5,8
PI507523,5,5,8
PI507524,5,5,8
PI507526,5,5,8
PI507527,5,5,8
PI507528,5,5,8
PI507530,5,5,8
PI507531,5,5,8
PI507532,5,5,8
PI507533,5,5,8
PI507534,5,5,8
PI507535,5,5,8
PI507536,5,4.5,8
PI507537,5,5,8
PI507538,5,5,8
PI507539,5,5,8
PI507540,5,5,8
PI507541,5,5,8
PI507542,5,5,8
PI507543,5,5,8
PI507544,5,5,8
PI507545,5,5,8
PI507546,5,5,8
PI507547,5,5,8
PI507548,5,5,8
PI507549,5,5,8
PI507550,5,5,8
PI507551,5,5,8
PI507552,5,5,8
PI507553,5,5,8
PI507554,5,5,8
PI507555,5,5,8
PI507556,5,5,8
PI507557,5,5,8
PI507559,5,5,8
PI507560,5,5,8
PI507561,5,5,8
PI507562,5,5,8
PI507563,5,5,8
PI507564,5,5,8
PI507565,5,5,8
PI507566,5,5,8
PI507567,5,5,8
PI507568,5,5,8
PI507569,5,5,8
PI507570,5,5,8
PI507571,5,5,8
PI507572,5,4.3,8
PI507573,5,5,8
PI507574,5,4.8,8
PI507575,5,5,8
PI507576,5,5,8
PI507577,5,5,8
PI507578,5,5,8
PI507579,5,5,8
PI507670,5,4.8,8
PI507671,5,5,8
PI507672,5,5,8
PI507673,5,5,8
PI507674,5,5,8
PI507675,5,5,8
PI507676,5,5,8
PI507677,5,5,8
PI507678,5,5,8
PI507680,5,5,8
PI507682,5,5,8
PI507683,5,5,8
PI507684,5,5,8
PI507688,5,5,8
PI507689,5,5,8
PI507690,5,5,8
PI507691,5,5,8
PI507693,5,5,8
PI507694,5,5,8
PI507695,5,5,8
PI507697,5,5,8
PI507698,5,5,8
PI507699,5,4.8,8
PI507700,5,5,8
PI507701,5,5,8
PI507702,5,5,8
PI507703,5,4.8,8
PI507705,5,5,8
PI507706,5,5,8
PI507707,5,5,8
PI507708,5,4.5,8
PI507709,5,4.6,8
PI507710,5,4.7,8
PI507712,5,4.4,8
PI507714,5,4.6,8
PI507716,5,4.7,8
PI507717,5,5,8
PI508266,5,,8
PI508267,5,,8
PI508293,5,4.7,8
PI508294,5,4.7,8
PI508295,5,4.8,8
PI508297,5,5,8
PI508298,5,5,8
PI509075,5,5,8
PI509076,5,5,8
PI509077,5,5,8
PI509078,5,5,8
PI509079,5,5,8
PI509080,4,2.6,8
PI509081,5,5,8
PI509082,5,5,8
PI509083,5,5,8
PI509084,5,4.7,8
PI509085,5,5,8
PI509086,5,4.5,8
PI509087,5,5,8
PI509088,5,5,8
PI509089,5,5,8
PI509090,5,4.5,8
PI509092,5,4.6,8
PI509093,5,4.8,8
PI509094,5,5,8
PI509095,5,,8
PI509096,5,5,8
PI509097,5,5,8
PI509098,5,5,8
PI509099,5,5,8
PI509100,5,,8
PI509101,5,5,8
PI509102,5,5,8
PI509103,5,5,8
PI509104,5,5,8
PI509105,5,5,8
PI509106,5,5,8
PI509107,5,5,8
PI509108,5,5,8
PI509109,5,4.6,8
PI509111,5,5,8
PI509112,5,4.7,8
PI509113,5,4,8
PI511813,5,,8
PI511866,5,4.9,8
PI511867,5,5,8
PI511868,5,5,8
PI511869,5,4.9,8
PI512323,5,4.6,8
PI512324,5,4.8,8
PI514671,5,5,8
PI514672,5,5,8
PI518283,5,5,8
PI518284,5,4.9,8
PI518285,5,4.8,8
PI518286,5,4.9,8
PI518287,5,5,8
PI518288,5,4.9,8
PI518290,5,4.8,8
PI518295,5,5,8
PI518296,5,4.7,8
PI518297,5,4.3,8
PI518702,5,4.7,8
PI518703,5,4.8,8
PI518704,5,5,8
PI518705,5,5,8
PI518707,5,5,8
PI518708,5,5,8
PI518709,5,5,8
PI518710,5,5,8
PI518711,5,4.8,8
PI518712,5,5,8
PI518715,5,4.6,8
PI518716,5,4.7,8
PI518719,5,4.8,8
PI518720,5,4.7,8
PI518721,5,5,8
PI518722,5,5,8
PI518723,5,4.8,8
PI518726,5,4.8,8
PI518727,5,5,8
PI518728,5,4.6,8
PI518729,5,5,8
PI518750,5,5,8
PI518751,5,4.8,8
PI518752,5,4.8,8
PI518753,5,4.8,8
PI518754,5,5,8
PI518756,5,4.3,8
PI518757,5,4.6,8
PI518758,5,5,8
PI518759,5,4.7,8
PI518771,5,4.5,8
PI518772,5,,8
PI518825,5,4,8
PI518829,5,4.6,8
PI518830,5,4.3,8
PI518831,5,4.8,8
PI518833,4,3.9,8
PI520732,5,5,8
PI520733,5,4.8,8
PI522236,5,,8
PI524993,5,5,8
PI524994,5,4.5,8
PI532434,2,,8
PI532437,5,5,8
PI532438,5,4.8,8
PI532439,5,5,8
PI532442,5,4.7,8
PI532443,5,4.6,8
PI532445,5,5,8
PI532446,5,4.5,8
PI532447,5,4.6,8
PI532448,5,5,8
PI532454,5,5,8
PI532456,5,4.2,8
PI532457,5,5,8
PI532459,4,3.8,8
PI532464,5,5,8
PI532465,5,5,8
PI532467,5,5,8
PI532468,5,5,8
PI532469,5,4,8
PI532471,5,5,8
PI532473,5,5,8
PI533605,4,,8
PI538375,5,4,8
PI538376,5,4.6,8
PI538377,5,5,8
PI538378,4,3,8
PI538380,4,3.7,8
PI538381,5,4.8,8
PI538382,5,4.5,8
PI538383,4,3.3,8
PI538387,5,5,8
PI538388,5,5,8
PI538389,4,3.8,8
PI538390,5,5,8
PI538391,5,5,8
PI538392,5,5,8
PI538393,5,5,8
PI538394,5,5,8
PI538395,5,4.7,8
PI538397,5,4.5,8
PI538398,5,5,8
PI538400,5,5,8
PI538403,5,5,8
PI538404,5,5,8
PI538405,5,5,8
PI538407,5,5,8
PI538409,5,5,8
PI540739,5,4.8,8
PI540740,5,4.5,8
PI548316,2,,8
PI548402,4,,8
PI548655,5,,8
PI548656,5,,8
PI548658,5,,8
PI548659,5,,8
PI548663,5,,8
PI548664,5,,8
PI548665,5,,8
PI548667,5,,8
PI548970,5,,8
PI548974,1,,8
PI548975,5,,8
PI548981,1,,8
PI548982,5,,8
PI548984,5,,8
PI548985,5,,8
PI548987,5,,8
PI548988,5,,8
PI548989,5,,8
PI553039,5,,8
PI553040,1,,8
PI553041,5,,8
PI553042,5,,8
PI553046,5,,8
PI553047,5,,8
PI559369,5,,8
PI559370,5,,8
PI612608,5,,8
PI407781C,5,4.699999809,9
PI407868C,5,5,9
PI407872B,5,5,9
PI407898B,5,4.699999809,9
PI408067B,5,4.699999809,9
PI408092C,5,5,9
PI408109B,5,5,9
PI408169C,5,4.099999905,9
PI408184B,5,4.800000191,9
PI408191B,5,5,9
PI408259B,5,5,9
PI408265C,5,5,9
PI408269C,5,4.099999905,9
PI408296B,5,4.800000191,9
PI408318B,5,4.900000095,9
PI408332B,5,5,9
PI423736B,5,5,9
PI423930B,5,4.699999809,9
PI424137A,5,5,9
PI424137B,2,,9
PI424141A,5,5,9
PI424141B,5,4.5,9
PI424156B,5,4,9
PI424156C,5,5,9
PI424156D,5,4.599999905,9
PI424157A,5,4.5,9
PI424157B,5,4.699999809,9
PI424164B,5,4.300000191,9
PI424172B,5,4.199999809,9
PI424172C,5,4,9
PI424178A,5,4.800000191,9
PI424178B,5,5,9
PI424178C,5,4,9
PI424182A,5,4.800000191,9
PI424182B,4,3.799999952,9
PI424182C,5,4,9
PI430600B,5,4.599999905,9
PI430600C,5,4.5,9
PI437126B,5,4.5,9
PI437126C,5,4.699999809,9
PI437586B,5,4.900000095,9
PI437586C,5,4.5,9
PI438282B,5,5,9
PI438302B,4,3.799999952,9
PI438489B,1,,9
PI442003A,5,4.199999809,9
PI442003B,5,4.699999809,9
PI442009A,5,4.300000191,9
PI442009B,5,4.300000191,9
PI458024A,5,5,9
PI458045A,5,5,9
PI458045B,5,4.900000095,9
PI458051A,5,5,9
PI458051B,5,5,9
PI458053A,5,5,9
PI458053B,5,5,9
PI458060A,5,4.8,9
PI458060B,5,5,9
PI458061A,5,5,9
PI458061B,5,5,9
PI458062A,5,5,9
PI458062B,5,5,9
PI458065A,5,5,9
PI458065B,5,5,9
PI458067A,5,4.8,9
PI458067B,5,4.7,9
PI458070A,5,5,9
PI458070B,5,5,9
PI458070C,5,5,9
PI458070D,5,4.699999809,9
PI458072A,5,5,9
PI458072B,5,4.699999809,9
PI458074A,5,5,9
PI458074B,5,5,9
PI458085A,5,5,9
PI458085B,5,4.5,9
PI458090A,5,4.9,9
PI458090B,5,5,9
PI458112A,5,5,9
PI458112B,5,5,9
PI458123A,5,5,9
PI458123B,5,4.8,9
PI458150A,5,4.599999905,9
PI458150B,5,5,9
PI458150C,5,5,9
PI458169A,5,5,9
PI458169B,5,5,9
PI458171A,5,5,9
PI458171B,5,5,9
PI458172A,5,5,9
PI458172B,4,3,9
PI458175A,5,4.8,9
PI458175B,5,,9
PI458175C,5,5,9
PI458175D,5,5,9
PI458189A,5,5,9
PI458189B,5,5,9
PI458202A,5,4.8,9
PI458202B,5,5,9
PI458203A,5,5,9
PI458203B,5,5,9
PI458230A,5,5,9
PI458230B,5,4.699999809,9
PI458236A,5,5,9
PI458236B,4,3.799999952,9
PI458244A,5,5,9
PI458244B,5,5,9
PI458244C,5,5,9
PI458246A,5,5,9
PI458246B,5,5,9
PI458278B,4,3.700000048,9
PI458281A,5,4.699999809,9
PI458281B,4,3.5,9
PI458306A,5,5,9
PI458306B,4,2.799999952,9
PI458307A,5,5,9
PI458307B,5,5,9
PI458508A,5,4.3,9
PI458508B,5,4.6,9
PI458519A,2,,9
PI458519B,4,3,9
PI458532A,5,4.3,9
PI458532B,5,4.7,9
PI458825A,4,3.7,9
PI458825B,5,4,9
PI458826A,4,3.3,9
PI458826B,5,5,9
PI464875B,5,4.4,9
PI464888A,5,4.4,9
PI464888B,5,5,9
PI464914A,4,3.8,9
PI464914B,4,3.8,9
PI464915A,4,3,9
PI464915B,2,,9
PI464920A,5,4,9
PI464920B,5,4,9
PI466749A,5,4,9
PI466749B,5,4.8,9
PI467308A,5,5,9
PI467308B,5,5,9
PI467311A,5,4.3,9
PI467311B,5,4.3,9
PI467311C,5,4.2,9
PI467311D,5,4,9
PI467311E,5,4.5,9
PI467318A,5,5,9
PI467318B,5,5,9
PI467322A,4,3.3,9
PI467322B,5,5,9
PI467323A,5,4.7,9
PI467323B,5,5,9
PI467334A,5,5,9
PI467334B,5,5,9
PI467335A,5,4.7,9
PI467335B,5,5,9
PI468408A,4,3.7,9
PI468408B,5,4,9
PI468408C,5,4.6,9
PI470227A,5,4.8,9
PI470227B,5,4.7,9
PI475783A,5,4.9,9
PI475783B,5,5,9
PI475811A,5,4.8,9
PI475811B,5,5,9
PI475812A,5,4.8,9
PI475812B,5,4.7,9
PI475813A,5,4.9,9
PI475813B,5,5,9
PI475822A,5,5,9
PI475822B,5,5,9
PI475822C,5,4.8,9
PI475824A,5,4.8,9
PI475824B,5,4.7,9
PI475829A,5,5,9
PI475829B,5,4.3,9
PI476350A,5,5,9
PI476350B,5,5,9
PI476350C,5,4.7,9
PI476352A,5,5,9
PI476352B,5,5,9
PI476352C,5,5,9
PI479718A,5,5,9
PI479718B,5,4.5,9
PI479724A,5,4.7,9
PI479724B,5,4.8,9
PI479725A,5,5,9
PI479725B,5,5,9
PI479728A,5,5,9
PI479728B,5,5,9
PI483082A,5,5,9
PI483082B,5,5,9
PI486354A,5,4.4,9
PI486354B,5,4.7,9
PI495017A,5,4.8,9
PI495017B,5,5,9
PI495017C,2,,9
PI503339A,5,5,9
PI503339B,5,5,9
PI504483A,5,4.4,9
PI504483B,5,5,9
PI506550A,5,5,9
PI506550B,5,5,9
PI506575A,5,5,9
PI506575B,5,5,9
PI506581A,5,5,9
PI506581B,5,5,9
PI506581C,5,5,9
PI506585A,5,5,9
PI506585B,5,5,9
PI506590A,5,4.9,9
PI506590B,5,4.8,9
PI506590C,5,5,9
PI506590D,5,5,9
PI506595A,5,5,9
PI506595B,5,5,9
PI506711A,5,5,9
PI506711B,5,5,9
PI506733A,5,5,9
PI506733B,5,5,9
PI506735A,5,5,9
PI506735B,5,5,9
PI506762A,5,5,9
PI506762B,5,5,9
PI506800A,5,5,9
PI506800B,5,5,9
PI506801A,5,5,9
PI506801B,5,5,9
PI506840A,5,5,9
PI506840B,5,5,9
PI506864A,5,5,9
PI506864B,5,5,9
