acid,bsrcode492477
PI437970,1
PI567296B,1
PI567323A,1
PI567333A,1
PI567381A,1
PI567523,1
PI567535B,1
PI567542,1
PI567544,1
PI567546,1
PI567552,1
PI567609,1
PI567615,1
PI567479,1
PI567749B,2
PI567511,2
PI567404A,2
PI567545,2
PI567571,2
PI567585B,2
PI567591,2
PI567607B,2
PI567618A,2
PI567574B,2
PI567686,5
PI567690,5
PI567695,5
PI567696A,5
PI567700,5
PI567705,5
PI567706A,5
PI567675,5
PI567676A,5
PI567676B,5
PI567677,5
PI567678,5
PI567679A,5
PI567679B,5
PI567679C,5
PI567681,5
PI567683A,5
PI567685,5
PI567687,5
PI567688B,5
PI567689,5
PI567691,5
PI567692,5
PI567693,5
PI567694,5
PI567696B,5
PI567696C,5
PI567698B,5
PI567701,5
PI567702A,5
PI567703,5
PI567704,5
PI567684A,5
PI567684B,5
PI567699,5
PI567702B,5
PI567488A,5
PI567706B,5
PI567712,5
PI567713A,5
PI567717A,5
PI567729,5
PI567731,5
PI567732,5
PI567753B,5
PI567707,5
PI567708,5
PI567709,5
PI567711A,5
PI567711B,5
PI567713B,5
PI567713C,5
PI567713D,5
PI567713E,5
PI567714,5
PI567715,5
PI567716A,5
PI567716B,5
PI567717B,5
PI567717C,5
PI567718,5
PI567719,5
PI567720B,5
PI567721,5
PI567723,5
PI567724,5
PI567725,5
PI567726,5
PI567727A,5
PI567727B,5
PI567728,5
PI567733,5
PI567734,5
PI567735,5
PI567737,5
PI567738A,5
PI567738B,5
PI567739A,5
PI567740,5
PI567742A,5
PI567743,5
PI567744A,5
PI567746,5
PI567749A,5
PI567750,5
PI567751A,5
PI567752,5
PI567753A,5
PI567753C,5
PI567754,5
PI567755A,5
PI567755B,5
PI567739B,5
PI567720A,5
PI567722,5
PI567751B,5
PI567756,5
PI567730,5
PI567710,5
PI567528A,5
PI567541A,5
PI567336A,5
PI567363B,5
PI567364,5
PI567365,5
PI567415A,5
PI567418A,5
PI567421,5
PI567491A,5
PI567492,5
PI567510A,5
PI567512B,5
PI567562A,5
PI567373A,5
PI567516C,5
PI567535A,5
PI567568A,5
PI567577,5
PI567581,5
PI567583C,5
PI567636,5
PI567507B,5
PI567303A,5
PI567476,5
PI567290A,5
PI567291,5
PI567293,5
PI567294,5
PI567297,5
PI567301B,5
PI567302,5
PI567304,5
PI567305,5
PI567306B,5
PI567307,5
PI567311A,5
PI567311B,5
PI567313,5
PI567317,5
PI567318,5
PI567319A,5
PI567319B,5
PI567323B,5
PI567324,5
PI567327,5
PI567330,5
PI567331,5
PI567335A,5
PI567337,5
PI567351A,5
PI567354,5
PI567357,5
PI567359,5
PI567360,5
PI567361,5
PI567362A,5
PI567362B,5
PI567363A,5
PI567366A,5
PI567369A,5
PI567372A,5
PI567372B,5
PI567416,5
PI567419A,5
PI567419B,5
PI567420,5
PI567422,5
PI567423,5
PI567424A,5
PI567424B,5
PI567425A,5
PI567425B,5
PI567426,5
PI567427,5
PI567429A,5
PI567429B,5
PI567430,5
PI567431,5
PI567432A,5
PI567432B,5
PI567432C,5
PI567433A,5
PI567433B,5
