acid,SDS.493026,
PI398494,5,8
PI398495,5,8
PI398499,5,8
PI398501,5,8
PI398503,5,8
PI398504,5,8
PI398505,5,8
PI398514,5,8
PI398516,5,8
PI398519,5,8
PI398522,5,8
PI398523,5,8
PI398529,5,8
PI398531,5,8
PI398532,5,8
PI398537,5,8
PI398540,5,8
PI398549,5,8
PI398551,5,8
PI398558,5,8
PI398559,5,8
PI398565,5,8
PI398566,5,8
PI398572,5,8
PI398588,5,8
PI398599,5,8
PI398600,5,8
PI398601,5,8
PI398604,5,8
PI398609,5,8
PI398615,5,8
PI398617,5,8
PI398619,5,8
PI398620,5,8
PI398621,5,8
PI398624,5,8
PI398625,5,8
PI398626,5,8
PI398631,5,8
PI398634,5,8
PI398636,5,8
PI398637,5,8
PI398638,5,8
PI398639,5,8
PI398640,5,8
PI398641,5,8
PI398642,5,8
PI398643,5,8
PI398644,5,8
PI398652,5,8
PI398654,5,8
PI398655,5,8
PI398656,5,8
PI398657,5,8
PI398664,5,8
PI398666,5,8
PI398667,5,8
PI398672,5,8
PI398674,5,8
PI398680,5,8
PI398681,5,8
PI398682,5,8
PI398684,5,8
PI398685,5,8
PI398686,5,8
PI398687,5,8
PI398693,5,8
PI398694,5,8
PI398695,5,8
PI398696,5,8
PI398697,5,8
PI398698,5,8
PI398700,5,8
PI398701,5,8
PI398702,5,8
PI398704,5,8
PI398705,5,8
PI398706,5,8
PI398707,5,8
PI398708,5,8
PI398709,5,8
PI398710,5,8
PI398712,5,8
PI398716,5,8
PI398717,5,8
PI398720,2,8
PI398726,5,8
PI398727,5,8
PI398728,5,8
PI398730,5,8
PI398735,5,8
PI398737,5,8
PI398738,5,8
PI398739,5,8
PI398741,5,8
PI398743,5,8
PI398744,5,8
PI398746,5,8
PI398747,5,8
PI398748,5,8
PI398749,5,8
PI398750,5,8
PI398751,5,8
PI398752,5,8
PI398753,5,8
PI398754,5,8
PI398755,5,8
PI398757,5,8
PI398758,5,8
PI398759,5,8
PI398761,5,8
PI398762,5,8
PI398763,5,8
PI398764,5,8
PI398765,5,8
PI398766,5,8
PI398767,5,8
PI398768,5,8
PI398772,5,8
PI398773,5,8
PI398774,2,8
PI398775,5,8
PI398776,5,8
PI398788,5,8
PI398790,2,8
PI398791,5,8
PI398801,5,8
PI398802,5,8
PI398803,5,8
PI398804,5,8
PI398805,5,8
PI398806,5,8
PI398807,5,8
PI398808,5,8
PI398813,5,8
PI398814,5,8
PI398815,5,8
PI398816,5,8
PI398820,5,8
PI398821,5,8
PI398822,5,8
PI398823,5,8
PI398830,5,8
PI398831,5,8
PI398832,5,8
PI398838,5,8
PI398839,5,8
PI398841,5,8
PI398842,5,8
PI398843,2,8
PI398847,5,8
PI398848,5,8
PI398849,5,8
PI398854,5,8
PI398856,5,8
PI398857,5,8
PI398858,5,8
PI398859,5,8
PI398867,5,8
PI398868,5,8
PI398871,5,8
PI398872,5,8
PI398873,5,8
PI398875,5,8
PI398877,5,8
PI398878,5,8
PI398879,5,8
PI398880,5,8
PI398881,5,8
PI398883,5,8
PI398884,5,8
PI398885,5,8
PI398886,5,8
PI398887,5,8
PI398888,5,8
PI398889,5,8
PI398890,5,8
PI398891,5,8
PI398898,5,8
PI398899,5,8
PI398901,5,8
PI398902,5,8
PI398903,5,8
PI398904,5,8
PI398905,5,8
PI398906,5,8
PI398908,5,8
PI398909,5,8
PI398910,5,8
PI398912,5,8
PI398913,5,8
PI398914,5,8
PI398915,5,8
PI398916,5,8
PI398919,5,8
PI398920,5,8
PI398921,5,8
PI398922,5,8
PI398923,5,8
PI398924,5,8
PI398926,5,8
PI398927,5,8
PI398929,5,8
PI398930,5,8
PI398931,5,8
PI398933,5,8
PI398934,5,8
PI398935,5,8
PI398936,5,8
PI398937,5,8
PI398938,5,8
PI398939,5,8
PI398940,5,8
PI398941,5,8
PI398942,5,8
PI398944,5,8
PI398946,5,8
PI398953,5,8
PI398954,5,8
PI398955,5,8
PI398957,5,8
PI398959,5,8
PI398960,5,8
PI398963,5,8
PI398964,5,8
PI398965,5,8
PI398970,5,8
PI398975,5,8
PI398980,5,8
PI398981,5,8
PI398982,5,8
PI398985,5,8
PI398987,5,8
PI398988,5,8
PI398989,5,8
PI398990,5,8
PI398992,5,8
PI398993,5,8
PI398994,5,8
PI398995,5,8
PI398996,5,8
PI398997,5,8
PI399001,5,8
PI399004,5,8
PI399005,5,8
PI399006,5,8
PI399008,5,8
PI399010,5,8
PI399011,5,8
PI399015,5,8
PI399016,5,8
PI399017,5,8
PI399018,5,8
PI399019,5,8
PI399020,5,8
PI399022,5,8
PI399023,5,8
PI399027,5,8
PI399028,5,8
PI399030,5,8
PI399031,5,8
PI399034,5,8
PI399035,5,8
PI399036,5,8
PI399039,5,8
PI399043,5,8
PI399046,5,8
PI399051,5,8
PI399054,5,8
PI399063,5,8
PI399066,2,8
PI399068,5,8
PI399069,5,8
PI399070,5,8
PI399072,5,8
PI399073,5,8
PI399077,5,8
PI399079,5,8
PI399080,5,8
PI399091,5,8
PI399092,5,8
PI399093,5,8
PI399094,5,8
PI399106,5,8
PI399112,5,8
PI399119,5,8
PI404151,5,8
PI404152,5,8
PI404153,5,8
PI404154,5,8
PI404159,5,8
PI404161,5,8
PI404163,5,8
PI404164,5,8
PI404165,5,8
PI404166,5,8
PI404167,5,8
PI404168,5,8
PI404170,5,8
PI404171,5,8
PI404172,5,8
PI404174,5,8
PI404175,5,8
PI404176,5,8
PI404177,5,8
PI404178,5,8
PI404180,5,8
PI404181,5,8
PI404182,5,8
PI404183,5,8
PI404185,5,8
PI404186,5,8
PI404187,5,8
PI404189,5,8
PI404190,5,8
PI404191,5,8
PI404193,5,8
PI404194,5,8
PI404195,5,8
PI404197,5,8
PI404199,5,8
PI405690,5,8
PI405691,5,8
PI406707,5,8
PI406708,5,8
PI406709,5,8
PI406710,5,8
PI407653,5,8
PI407656,5,8
PI407657,5,8
PI407714,5,8
PI407717,5,8
PI407719,5,8
PI407720,5,8
PI407721,5,8
PI407722,5,8
PI407724,5,8
PI407727,5,8
PI407729,5,8
PI407730,5,8
PI407731,5,8
PI407732,5,8
PI407733,5,8
PI407734,5,8
PI407735,5,8
PI407736,5,8
PI407746,5,8
PI407770,5,8
PI407776,5,8
PI407783,5,8
PI407796,5,8
PI407810,5,8
PI407812,5,8
PI407817,5,8
PI407820,5,8
PI407823,5,8
PI407827,5,8
PI407847,5,8
PI407848,5,8
PI407849,5,8
PI407850,5,8
PI407851,5,8
PI407858,5,8
PI407860,5,8
PI407862,5,8
PI407863,5,8
PI407870,5,8
PI407873,5,8
PI407883,5,8
PI407886,5,8
PI407895,5,8
PI407897,5,8
PI407900,5,8
PI407904,5,8
PI407905,5,8
PI407906,5,8
PI407908,5,8
PI407917,5,8
PI407922,5,8
PI407924,5,8
PI407925,5,8
PI407928,5,8
PI407933,5,8
PI407934,5,8
PI407947,5,8
PI407949,5,8
PI407958,5,8
PI407977,5,8
PI407979,5,8
PI407985,5,8
PI407991,5,8
PI407992,5,8
PI407996,5,8
PI408005,5,8
PI408006,5,8
PI408008,5,8
PI408013,5,8
PI408014,5,8
PI408015,5,8
PI408017,5,8
PI408018,5,8
PI408021,5,8
PI408025,5,8
PI408026,5,8
PI408028,5,8
PI408029,5,8
PI408033,5,8
PI408036,5,8
PI408039,5,8
PI408057,5,8
PI408058,5,8
PI408062,5,8
PI408064,5,8
PI408065,5,8
PI408069,5,8
PI408071,5,8
PI408072,5,8
PI408073,5,8
PI408075,5,8
PI408089,5,8
PI408090,5,8
PI408097,5,8
PI408103,5,8
PI408108,5,8
PI408111,5,8
PI408114,5,8
PI408116,5,8
PI408119,5,8
PI408128,5,8
PI408130,5,8
PI408132,5,8
PI408133,5,8
PI408136,5,8
PI408170,5,8
PI408171,5,8
PI408172,5,8
PI408173,5,8
PI408174,5,8
PI408175,5,8
PI408178,5,8
PI408179,5,8
PI408187,5,8
PI408189,5,8
PI408194,5,8
PI408198,5,8
PI408199,5,8
PI408210,5,8
PI408214,5,8
PI408227,5,8
PI408230,5,8
PI408231,5,8
PI408232,5,8
PI408235,2,8
PI408236,5,8
PI408237,5,8
PI408245,5,8
PI408249,5,8
PI408256,5,8
PI408258,5,8
PI408261,5,8
PI408263,5,8
PI408264,5,8
PI408271,5,8
PI408273,2,8
PI408275,5,8
PI408277,5,8
PI408280,5,8
PI408284,5,8
PI408287,5,8
PI408288,5,8
PI408289,5,8
PI408290,5,8
PI408291,5,8
PI408292,5,8
PI408299,5,8
PI408300,5,8
PI408301,5,8
PI408302,5,8
PI408306,5,8
PI408309,2,8
PI408314,5,8
PI408316,5,8
PI408320,5,8
PI408321,5,8
PI408329,5,8
PI408333,5,8
PI408334,5,8
PI408338,5,8
PI415074,5,8
PI416748,2,8
PI416749,5,8
PI416750,5,8
PI416752,5,8
PI416753,5,8
PI416755,5,8
PI416756,5,8
PI416762,5,8
PI416763,5,8
PI416772,5,8
PI416773,5,8
PI416774,5,8
PI416779,5,8
PI416784,5,8
PI416786,5,8
PI416789,5,8
PI416791,5,8
PI416801,5,8
PI416802,5,8
PI416816,5,8
PI416817,5,8
PI416818,5,8
PI416822,5,8
PI416823,5,8
PI416829,5,8
PI416830,5,8
PI416831,5,8
PI416832,5,8
PI416833,5,8
PI416835,5,8
PI416837,5,8
PI416839,5,8
PI416840,5,8
PI416841,5,8
PI416842,5,8
PI416846,5,8
PI416852,5,8
PI416853,5,8
PI416854,5,8
PI416855,5,8
PI416856,5,8
PI416857,5,8
PI416858,5,8
PI416859,5,8
PI416862,5,8
PI416863,5,8
PI416864,5,8
PI416865,5,8
PI416866,5,8
PI416869,5,8
PI416870,5,8
PI416872,5,8
PI416875,5,8
PI416879,5,8
PI416882,5,8
PI416884,5,8
PI416888,5,8
PI416889,5,8
PI416891,5,8
PI416892,5,8
PI416896,5,8
PI416897,5,8
PI416898,5,8
PI416902,5,8
PI416905,5,8
PI416913,5,8
PI416914,5,8
PI416916,5,8
PI416917,5,8
PI416918,5,8
PI416919,5,8
PI416920,5,8
PI416929,5,8
PI416934,5,8
PI416936,5,8
PI416939,5,8
PI416941,5,8
PI416942,5,8
PI416943,5,8
PI416945,5,8
PI416950,5,8
PI416952,5,8
PI416953,5,8
PI416954,5,8
PI416956,5,8
PI416958,5,8
PI416959,5,8
PI416965,5,8
PI416966,5,8
PI416967,5,8
PI416968,5,8
PI416971,5,8
PI416972,5,8
PI416983,5,8
PI416984,5,8
PI416986,5,8
PI416987,5,8
PI416988,5,8
PI416989,5,8
PI416990,5,8
PI416991,5,8
PI416992,5,8
PI416993,5,8
PI416994,5,8
PI416995,5,8
PI416996,5,8
PI416997,5,8
PI416998,5,8
PI417001,5,8
PI417002,5,8
PI417003,5,8
PI417004,5,8
PI417005,5,8
PI417006,5,8
PI417007,5,8
PI417010,5,8
PI417015,5,8
PI417017,5,8
PI417018,5,8
PI417019,5,8
PI417020,5,8
PI417021,5,8
PI417022,5,8
PI417023,5,8
PI417027,5,8
PI417028,5,8
PI417029,5,8
PI417030,5,8
PI417032,5,8
PI417035,5,8
PI417042,5,8
PI417044,5,8
PI417045,5,8
PI417050,5,8
PI417051,5,8
PI417054,5,8
PI417056,5,8
PI417057,5,8
PI417060,5,8
PI417062,5,8
PI417064,5,8
PI417065,5,8
PI417066,5,8
PI417067,5,8
PI417070,5,8
PI417071,5,8
PI417072,5,8
PI417075,5,8
PI417077,5,8
PI417079,5,8
PI417082,5,8
PI417087,5,8
PI417091,5,8
PI417092,5,8
PI417094,5,8
PI417096,5,8
PI417100,5,8
PI417101,5,8
PI417107,5,8
PI417137,5,8
PI417138,5,8
PI417140,5,8
PI417142,5,8
PI417145,5,8
PI417147,5,8
PI417148,5,8
PI417151,5,8
PI417152,5,8
PI417154,5,8
PI417160,5,8
PI417161,5,8
PI417162,5,8
PI417163,5,8
PI417167,5,8
PI417168,5,8
PI417170,5,8
PI417171,5,8
PI417173,5,8
PI417174,5,8
PI417175,5,8
PI417176,5,8
PI417177,5,8
PI417178,5,8
PI417180,5,8
PI417183,5,8
PI417185,5,8
PI417186,5,8
PI417189,5,8
PI417191,5,8
PI417192,5,8
PI417195,2,8
PI417198,5,8
PI417199,5,8
PI417200,5,8
PI417201,5,8
PI417202,5,8
PI417207,5,8
PI417214,5,8
PI417217,5,8
PI417218,5,8
PI417219,5,8
PI417225,5,8
PI417229,5,8
PI417230,5,8
PI417231,5,8
PI417232,5,8
PI417233,5,8
PI417238,5,8
PI417239,5,8
PI417241,5,8
PI417242,5,8
PI417243,5,8
PI417244,5,8
PI417245,5,8
PI417246,5,8
PI417248,5,8
PI417249,5,8
PI417254,5,8
PI417255,5,8
PI417257,5,8
PI417268,2,8
PI417269,5,8
PI417274,5,8
PI417276,5,8
PI417278,5,8
PI417279,5,8
PI417282,5,8
PI417283,5,8
PI417285,5,8
PI417287,5,8
PI417291,5,8
PI417292,5,8
PI417293,5,8
PI417297,5,8
PI417298,5,8
PI417301,5,8
PI417302,5,8
PI417303,5,8
PI417304,5,8
PI417305,5,8
PI417315,5,8
PI417321,5,8
PI417323,5,8
PI417325,5,8
PI417328,5,8
PI417333,5,8
PI417334,5,8
PI417336,5,8
PI417338,5,8
PI417339,5,8
PI417340,5,8
PI417343,5,8
PI417344,5,8
PI417349,5,8
PI417353,5,8
PI417354,5,8
PI417361,5,8
PI417362,5,8
PI417364,5,8
PI417367,5,8
PI417368,5,8
PI417371,5,8
PI417380,5,8
PI417382,5,8
PI417384,5,8
PI417393,5,8
PI417397,5,8
PI417398,5,8
PI417400,5,8
PI417412,5,8
PI417413,5,8
PI417417,5,8
PI417424,5,8
PI417425,5,8
PI417429,5,8
PI417431,5,8
PI417432,5,8
PI417433,5,8
PI417434,5,8
PI417435,5,8
PI417436,5,8
PI417437,5,8
PI417447,5,8
PI417452,5,8
PI417454,5,8
PI417455,5,8
PI417456,5,8
PI417457,5,8
PI417459,5,8
PI417460,5,8
PI417461,5,8
PI417468,5,8
PI417471,5,8
PI417479,5,8
PI417480,5,8
PI417482,2,8
PI417485,5,8
PI417487,5,8
PI417488,5,8
PI417495,5,8
PI417520,5,8
PI417526,5,8
PI417559,5,8
PI417573,5,8
PI417574,5,8
PI417576,5,8
PI417577,5,8
PI417578,5,8
PI417580,5,8
PI419043,5,8
PI420338,5,8
PI423705,5,8
PI423721,2,8
PI423725,5,8
PI423729,5,8
PI423731,5,8
PI423733,5,8
PI423734,5,8
PI423735,5,8
PI423737,5,8
PI423739,2,8
PI423740,2,8
PI423741,5,8
PI423744,5,8
PI423746,5,8
PI423749,5,8
PI423750,5,8
PI423757,5,8
PI423763,5,8
PI423765,5,8
PI423766,5,8
PI423768,5,8
PI423770,5,8
PI423771,5,8
PI423776,5,8
PI423777,5,8
PI423778,5,8
PI423779,5,8
PI423783,5,8
PI423784,5,8
PI423787,5,8
PI423788,5,8
PI423789,5,8
PI423790,5,8
PI423791,5,8
PI423792,5,8
PI423793,5,8
PI423794,5,8
PI423795,5,8
PI423797,5,8
PI423800,5,8
PI423802,5,8
PI423803,5,8
PI423809,5,8
PI423811,5,8
PI423812,5,8
PI423813,2,8
PI423815,5,8
PI423816,2,8
PI423818,5,8
PI423819,5,8
PI423825,5,8
PI423829,5,8
PI423835,5,8
PI423836,5,8
PI423838,5,8
PI423839,5,8
PI423841,5,8
PI423842,5,8
PI423843,5,8
PI423846,5,8
PI423848,5,8
PI423850,5,8
PI423851,5,8
PI423858,5,8
PI423865,5,8
PI423870,5,8
PI423871,5,8
PI423877,5,8
PI423881,5,8
PI423883,5,8
PI423884,5,8
PI423885,5,8
PI423888,5,8
PI423889,5,8
PI423892,5,8
PI423893,5,8
PI423896,5,8
PI423899,5,8
PI423902,5,8
PI423910,5,8
PI423926,5,8
PI423927,5,8
PI423929,5,8
PI423932,5,8
PI423933,5,8
PI423935,5,8
PI423936,2,8
PI423938,5,8
PI423939,5,8
PI423940,2,8
PI423941,5,8
PI423945,5,8
PI423946,5,8
PI423950,5,8
PI423951,5,8
PI423952,5,8
PI423973,5,8
PI423974,5,8
PI423975,5,8
PI423977,2,8
PI423979,5,8
PI423980,5,8
PI423983,5,8
PI424005,5,8
PI424024,5,8
PI424078,5,8
PI424134,5,8
PI424135,5,8
PI424140,5,8
PI424143,5,8
PI424149,5,8
PI424150,5,8
PI424151,5,8
PI424152,5,8
PI424153,5,8
PI424158,5,8
PI424160,5,8
PI424162,5,8
PI424165,5,8
PI424167,5,8
PI424173,5,8
PI424175,5,8
PI424177,5,8
PI424180,5,8
PI424181,5,8
PI424184,5,8
PI424189,5,8
PI424201,5,8
PI424211,5,8
PI424215,5,8
PI424216,2,8
PI424223,5,8
PI424224,5,8
PI424225,5,8
PI424226,5,8
PI424228,5,8
PI424230,5,8
PI424231,5,8
PI424233,5,8
PI424235,5,8
PI424236,5,8
PI424238,5,8
PI424239,5,8
PI424241,5,8
PI424243,5,8
PI424244,5,8
PI424245,5,8
PI424246,5,8
PI424252,5,8
PI424253,5,8
PI424254,5,8
PI424256,5,8
PI424258,5,8
PI424259,5,8
PI424260,5,8
PI424261,5,8
PI424262,5,8
PI424263,5,8
PI424264,5,8
PI424265,5,8
PI424266,5,8
PI424267,5,8
PI424268,5,8
PI424271,5,8
PI424275,5,8
PI424276,5,8
PI424279,5,8
PI424280,5,8
PI424282,5,8
PI424283,5,8
PI424286,5,8
PI424287,5,8
PI424288,5,8
PI424289,5,8
PI424291,5,8
PI424292,5,8
PI424293,5,8
PI424295,5,8
PI424297,5,8
PI424298,5,8
PI424301,5,8
PI424302,5,8
PI424303,5,8
PI424305,5,8
PI424306,5,8
PI424307,5,8
PI424308,5,8
PI424310,5,8
PI424311,5,8
PI424312,5,8
PI424313,5,8
PI424314,5,8
PI424315,5,8
PI424316,5,8
PI424317,5,8
PI424318,5,8
PI424319,5,8
PI424320,5,8
PI424321,5,8
PI424322,5,8
PI424323,5,8
PI424326,5,8
PI424327,5,8
PI424328,5,8
PI424329,5,8
PI424330,5,8
PI424332,5,8
PI424336,5,8
PI424338,5,8
PI424339,5,8
PI424343,5,8
PI424344,5,8
PI424345,5,8
PI424346,5,8
PI424350,5,8
PI424351,5,8
PI424352,5,8
PI424353,5,8
PI424354,5,8
PI424355,5,8
PI424356,5,8
PI424358,5,8
PI424359,5,8
PI424366,5,8
PI424367,5,8
PI424369,5,8
PI424372,5,8
PI424373,5,8
PI424374,5,8
PI424377,5,8
PI424379,5,8
PI424380,5,8
PI424381,5,8
PI424382,5,8
PI424383,5,8
PI424384,5,8
PI424385,5,8
PI424387,5,8
PI424388,5,8
PI424389,5,8
PI424395,5,8
PI424396,5,8
PI424397,5,8
PI424399,5,8
PI424400,5,8
PI424401,5,8
PI424403,5,8
PI424407,5,8
PI424408,5,8
PI424409,5,8
PI424410,5,8
PI424411,5,8
PI424412,5,8
PI424413,5,8
PI424414,5,8
PI424419,5,8
PI424420,5,8
PI424421,5,8
PI424422,5,8
PI424423,5,8
PI424424,5,8
PI424425,5,8
PI424426,5,8
PI424427,5,8
PI424428,5,8
PI424429,5,8
PI424430,5,8
PI424431,5,8
PI424432,5,8
PI424435,5,8
PI424436,5,8
PI424443,5,8
PI424449,5,8
PI424450,5,8
PI424452,5,8
PI424454,5,8
PI424458,5,8
PI424459,5,8
PI424460,5,8
PI424463,5,8
PI424465,5,8
PI424466,5,8
PI424467,5,8
PI424468,5,8
PI424469,5,8
PI424470,5,8
PI424471,5,8
PI424476,5,8
PI424477,5,8
PI424479,5,8
PI424483,5,8
PI424485,5,8
PI424486,5,8
PI424490,5,8
PI424492,5,8
PI424494,5,8
PI424495,5,8
PI424497,5,8
PI424498,5,8
PI424500,5,8
PI424503,5,8
PI424505,5,8
PI424506,5,8
PI424509,5,8
PI424511,5,8
PI424512,5,8
PI424513,5,8
PI424516,5,8
PI424518,5,8
PI424519,5,8
PI424520,5,8
PI424522,5,8
PI424524,5,8
PI424525,5,8
PI424527,5,8
PI424528,5,8
PI424529,5,8
PI424530,5,8
PI424531,5,8
PI424532,5,8
PI424533,5,8
PI424536,5,8
PI424537,5,8
PI424538,5,8
PI424539,5,8
PI424540,5,8
PI424541,5,8
PI424542,5,8
PI424543,5,8
PI424544,5,8
PI424545,5,8
PI424547,5,8
PI424548,5,8
PI424550,5,8
PI424552,5,8
PI424554,5,8
PI424556,5,8
PI424557,5,8
PI424559,5,8
PI424561,5,8
PI424563,5,8
PI424564,5,8
PI424565,5,8
PI424566,5,8
PI424567,5,8
PI424568,5,8
PI424570,5,8
PI424571,5,8
PI424572,5,8
PI424573,5,8
PI424574,5,8
PI424575,5,8
PI424579,5,8
PI424580,5,8
PI424581,5,8
PI424582,5,8
PI424583,5,8
PI424584,5,8
PI424587,5,8
PI424588,5,8
PI424592,5,8
PI424596,5,8
PI424597,5,8
PI424599,5,8
PI424600,5,8
PI424604,5,8
PI424607,5,8
PI424609,5,8
PI424610,5,8
PI424612,5,8
PI424613,5,8
PI424614,5,8
PI424615,5,8
PI424617,5,8
PI427106,5,8
PI427136,5,8
PI427137,5,8
PI427139,5,8
PI427140,5,8
PI427142,5,8
PI430595,5,8
PI430596,5,8
PI430597,5,8
PI430599,5,8
PI430619,5,8
PI430620,5,8
PI430622,5,8
PI430623,5,8
PI430624,5,8
PI430625,5,8
PI432359,5,8
PI436562,5,8
PI436684,5,8
PI437080,5,8
PI437084,5,8
PI437087,5,8
PI437089,5,8
PI437093,5,8
PI437099,5,8
PI437103,5,8
PI437104,5,8
PI437111,5,8
PI437114,5,8
PI437120,5,8
PI437122,5,8
PI437124,5,8
PI437128,5,8
PI437130,5,8
PI437131,5,8
PI437143,5,8
PI437151,5,8
PI437164,5,8
PI437308,5,8
PI437309,5,8
PI437317,5,8
PI437321,5,8
PI437322,5,8
PI437323,5,8
PI437324,5,8
PI437325,5,8
PI437326,5,8
PI437328,5,8
PI437331,5,8
PI437335,5,8
PI437337,5,8
PI437338,5,8
PI437341,5,8
PI437345,5,8
PI437346,5,8
PI437347,5,8
PI437355,5,8
PI437356,5,8
PI437357,5,8
PI437358,5,8
PI437359,5,8
PI437360,5,8
PI437361,5,8
PI437362,5,8
PI437364,5,8
PI437365,5,8
PI437367,5,8
PI437369,5,8
PI437371,5,8
PI437374,5,8
PI437377,5,8
PI437382,5,8
PI437383,5,8
PI437386,5,8
PI437387,5,8
PI437388,5,8
PI437390,5,8
PI437391,5,8
PI437392,5,8
PI437393,5,8
PI437396,5,8
PI437397,5,8
PI437399,5,8
PI437400,5,8
PI437401,5,8
PI437402,5,8
PI437403,5,8
PI437404,5,8
PI437407,5,8
PI437409,5,8
PI437410,5,8
PI437412,5,8
PI437415,5,8
PI437416,5,8
PI437417,5,8
PI437422,5,8
PI437424,5,8
PI437426,5,8
PI437430,5,8
PI437431,5,8
PI437433,5,8
PI437435,5,8
PI437438,5,8
PI437440,5,8
PI437441,5,8
PI437444,5,8
PI437446,5,8
PI437447,5,8
PI437448,5,8
PI437451,5,8
PI437453,5,8
PI437454,5,8
PI437455,5,8
PI437456,5,8
PI437457,5,8
PI437459,5,8
PI437460,5,8
PI437461,5,8
PI437464,5,8
PI437465,5,8
PI437466,5,8
PI437467,5,8
PI437470,5,8
PI437472,5,8
PI437475,5,8
PI437476,5,8
PI437478,5,8
PI437479,5,8
PI437480,5,8
PI437482,5,8
PI437484,5,8
PI437485,5,8
PI437487,5,8
PI437488,5,8
PI437489,5,8
PI437493,5,8
PI437494,5,8
PI437495,5,8
PI437497,5,8
PI437505,5,8
PI437513,5,8
PI437517,5,8
PI437525,5,8
PI437535,5,8
PI437554,5,8
PI437563,2,8
PI437568,5,8
PI437569,5,8
PI437572,5,8
PI437574,5,8
PI437576,5,8
PI437578,5,8
PI437580,5,8
PI437581,5,8
PI437585,5,8
PI437589,5,8
PI437592,5,8
PI437601,5,8
PI437602,5,8
PI437604,5,8
PI437606,5,8
PI437617,5,8
PI437618,5,8
PI437626,5,8
PI437627,5,8
PI437631,5,8
PI437639,5,8
PI437644,5,8
PI437647,5,8
PI437652,5,8
PI437653,5,8
PI437654,5,8
PI437655,5,8
PI437656,5,8
PI437657,5,8
PI437662,5,8
PI437663,5,8
PI437664,5,8
PI437669,5,8
PI437672,5,8
PI437674,5,8
PI437679,5,8
PI437683,5,8
PI437684,5,8
PI437686,5,8
PI437689,5,8
PI437690,5,8
PI437697,5,8
PI437698,5,8
PI437699,5,8
PI437703,5,8
PI437707,5,8
PI437709,5,8
PI437710,5,8
PI437715,5,8
PI437718,5,8
PI437722,5,8
PI437724,5,8
PI437725,5,8
PI437728,5,8
PI437743,5,8
PI437745,5,8
PI437748,5,8
PI437749,5,8
PI437751,5,8
PI437765,5,8
PI437770,5,8
PI437776,5,8
PI437777,5,8
PI437787,5,8
PI437789,5,8
PI437790,5,8
PI437791,5,8
PI437792,5,8
PI437793,5,8
PI437794,5,8
PI437795,5,8
PI437797,5,8
PI437798,5,8
PI437799,5,8
PI437800,5,8
PI437801,5,8
PI437802,5,8
PI437803,5,8
PI437804,5,8
PI437805,5,8
PI437806,5,8
PI437810,5,8
PI437811,5,8
PI437817,5,8
PI437820,5,8
PI437825,5,8
PI437827,5,8
PI437828,5,8
PI437836,5,8
PI437838,5,8
PI437841,5,8
PI437842,5,8
PI437850,5,8
PI437865,5,8
PI437870,5,8
PI437871,5,8
PI437873,5,8
PI437874,5,8
PI437876,5,8
PI437879,5,8
PI437880,5,8
PI437881,5,8
PI437883,5,8
PI437884,5,8
PI437885,5,8
PI437889,5,8
PI437891,5,8
PI437893,5,8
PI437894,5,8
PI437896,5,8
PI437897,5,8
PI437898,5,8
PI437899,5,8
PI437900,5,8
PI437903,5,8
PI437904,5,8
PI437908,5,8
PI437913,5,8
PI437916,5,8
PI437919,5,8
PI437921,5,8
PI437926,5,8
PI437931,5,8
PI437932,5,8
PI437935,5,8
PI437940,5,8
PI437943,5,8
PI437944,5,8
PI437950,5,8
PI437954,5,8
PI437961,5,8
PI437970,5,8
PI437973,5,8
PI438001,5,8
PI438003,5,8
PI438011,5,8
PI438046,5,8
PI438047,5,8
PI438057,5,8
PI438061,5,8
PI438066,5,8
PI438070,5,8
PI438073,5,8
PI438075,5,8
PI438076,5,8
PI438079,5,8
PI438080,5,8
PI438083,5,8
PI438084,5,8
PI438085,5,8
PI438086,5,8
PI438096,5,8
PI438098,5,8
PI438101,5,8
PI438102,5,8
PI438103,5,8
PI438104,5,8
PI438114,5,8
PI438129,5,8
PI438130,5,8
PI438131,5,8
PI438132,5,8
PI438139,5,8
PI438144,5,8
PI438152,5,8
PI438153,5,8
PI438167,5,8
PI438168,5,8
PI438173,5,8
PI438175,5,8
PI438176,5,8
PI438177,5,8
PI438178,5,8
PI438183,5,8
PI438185,5,8
PI438186,5,8
PI438192,5,8
PI438194,5,8
PI438197,5,8
PI438198,5,8
PI438199,5,8
PI438214,5,8
PI438216,5,8
PI438219,5,8
PI438222,5,8
PI438223,5,8
PI438226,5,8
PI438227,5,8
PI438228,5,8
PI438229,5,8
PI438235,5,8
PI438236,5,8
PI438237,5,8
PI438242,5,8
PI438244,5,8
PI438251,5,8
PI438258,5,8
PI438261,5,8
PI438262,5,8
PI438263,5,8
PI438270,5,8
PI438274,5,8
PI438281,5,8
PI438286,5,8
PI438287,5,8
PI438290,5,8
PI438295,5,8
PI438296,5,8
PI438298,5,8
PI438299,5,8
PI438300,5,8
PI438301,5,8
PI438303,5,8
PI438307,5,8
PI438310,5,8
PI438311,5,8
PI438312,5,8
PI438314,5,8
PI438315,5,8
PI438325,5,8
PI438329,5,8
PI438332,5,8
PI438333,5,8
PI438335,5,8
PI438338,5,8
PI438341,5,8
PI438345,5,8
PI438346,5,8
PI438383,5,8
PI438391,5,8
PI438409,5,8
PI438414,5,8
PI438427,5,8
PI438434,5,8
