acid,PRR2
PI96983,1
PI172902,1
PI92743,1
PI227555,1
PI157432,1
PI157484,1
PI158751,1
PI274508,1
PI97081,1
PI157394,1
PI157430,1
PI157440,1
PI157478,1
PI171442,1
PI196166,1
PI196175,1
PI196177,1
PI210179,1
PI60273,1
PI62204,1
PI65342,1
PI82286,1
PI83874,1
PI84669,1
PI85089,1
PI85342,1
PI93055S,1
PI97066,1
PI200472,1
PI181543,1
PI181545,1
PI181562,1
PI200450,1
PI200503,1
PI200510,1
PI200546,1
PI219780,1
PI219785,1
PI221973,1
PI229315,1
PI229350,1
PI238929,1
PI238932,1
PI85666S,1
PI79862,1
FC31721,1
FC31933,1
PI145079,1
PI548467,1
PI548481,1
PI87968,1
PI548422S,1
PI200474,1
PI200528,1
PI200543,1
PI200553,1
PI228065,1
PI230981,1
FC3659,1
PI181556,1
PI200445,1
PI200449,1
PI200464,1
PI200469,1
PI200475,1
PI200483,1
PI200491,1
PI200506,1
PI200507,1
PI200509,1
PI200523,1
PI200524,1
PI227214,1
PI227219,1
PI227221,1
PI230970,1
PI230971,1
PI230974,1
PI230975,1
PI230976,1
PI230979,1
PI81037,1
PI86109,1
PI94159,1
PI96257,1
PI181559,1
PI200446,1
FC31719,1
FC31934,1
PI283327,1
PI165671,1
FC32175,1
PI159096,1
PI200502,1
PI96035,1
PI200505,1
PI187156,1
PI304218,1
PI291309D,1
PI291327,1
PI339995,1
PI340035,1
PI340037,1
PI361103,1
PI273483C,1
PI273483D,1
PI274212,1
PI339864A,1
PI339868D,1
PI340046,1
PI340049,1
PI423747A,1
PI423814A,1
PI423826B,1
PI424366,1
PI423734,1
PI423789,1
PI423790,1
PI423827A,1
PI423837A,1
PI423842,1
PI424214A,1
PI424221B,1
PI424222A,1
PI424237A,1
PI424239,1
PI424244,1
PI424250B,1
PI424278B,1
PI424342B,1
PI424345,1
PI424352,1
PI424354,1
PI424400,1
PI424406A,1
PI424409,1
PI424414,1
PI424420,1
PI424430,1
PI424450,1
PI424458,1
PI424477,1
PI424487B,1
PI424495,1
PI424498,1
PI423791,1
PI423792,1
PI423808A,1
PI423808B,1
PI424214C,1
PI424276,1
PI424320,1
PI424412,1
PI424452,1
PI424468,1
PI423748B,1
PI423788,1
PI423802,1
PI423858,1
PI424234A,1
PI424234B,1
PI424285A,1
PI424285C,1
PI424305,1
PI424316,1
PI424317,1
PI424342A,1
PI424349B,1
PI424349C,1
PI424355,1
PI424389,1
PI424396,1
PI424397,1
PI424405C,1
PI424413,1
PI424444B,1
PI424479,1
PI424489A,1
PI424489B,1
PI423741,1
PI423784,1
PI424247A,1
PI424247B,1
PI424249C,1
PI424249D,1
PI424264,1
PI424429,1
PI273483B,1
PI291310B,1
PI273483F,1
PI297536,1
PI361116,1
PI274209,1
PI424488A,1
PI423826A,1
PI424353,1
PI424368A,1
PI424373,1
PI424422,1
PI423815,1
PI423731,1
PI423752B,1
PI423753B,1
PI423769B,1
PI423863B,1
PI424214B,1
PI424251A,1
PI424268,1
PI424278A,1
PI424279,1
PI424300A,1
PI424302,1
PI424307,1
PI424322,1
PI424324A,1
PI424329,1
PI424332,1
PI424403,1
PI424406B,1
PI424436,1
PI424466,1
PI424431,1
PI424343,1
PI423826C,1
PI423830A,1
PI423845A,1
PI424221A,1
PI424224,1
PI424229A,1
PI424229B,1
PI424259,1
PI424277A,1
PI424339,1
PI424346,1
PI424349A,1
PI424350,1
PI424351,1
PI424368B,1
PI424381,1
PI424388,1
PI424419,1
PI424435,1
PI424476,1
PI424483,1
PI424486,1
PI424487A,1
PI360841,1
PI339981,1
PI360845,1
PI360846,1
PI342004,1
PI378682B,1
PI423870,1
PI423885,1
PI423896,1
PI423933,1
PI423939,1
PI423941,1
PI423946,1
PI423948B,1
PI423951,1
PI423974,1
PI423987B,1
PI417082,1
PI417162,1
PI423932,1
PI423877,1
PI423902,1
PI423910,1
PI423975,1
PI423983,1
PI424255C,1
PI424344,1
PI423893,1
PI417230,1
PI423890B,1
PI423977,1
PI423979,1
PI423930A,1
PI378682A,1
PI274455,1
PI281850,1
PI342436,1
PI360959,1
PI360836,1
PI342005,1
PI360842,1
PI360848,1
PI274423,1
PI360838,1
PI423865,1
PI417147,1
PI424312,1
PI423798B,1
PI423914A,1
PI423973,1
PI339864B,1
PI291331,1
PI417565,1
PI423707,1
PI423718,1
PI423706,1
PI290148,1
PI297552,1
PI347551,1
PI295947,1
PI358321A,1
PI358321B,1
PI358321C,1
PI358322,1
PI358323,1
PI361121,1
PI378668,1
PI378679,1
PI291274B,1
PI291275,1
PI291278,1
PI297502,1
PI347541,1
PI347546A,1
PI378676B,1
PI326579,1
PI423711,1
PI424191,1
PI417095,1
PI423954,1
PI423949,1
PI416930,1
PI360965,1
PI379559A,1
PI342435A,1
PI342435B,1
PI358316B,1
PI358318B,1
PI291277,1
PI379559B,1
PI417476,1
PI423943,1
PI423955,1
PI424209,1
PI424358,1
PI340034,1
PI548560,1
PI319529,1
PI319530,1
PI319531,1
PI340029,1
PI341264,1
PI340031B,1
PI340051,1
PI291309C,1
PI360844,1
PI424219A,1
PI424241,1
PI423881,1
PI423882A,1
PI423882B,1
PI423927,1
PI548337,1
PI548528,1
PI548527,1
PI518670,1
PI548507,1
PI548510,1
PI548511,1
PI548513,1
PI548543,1
PI548566,1
PI548580,1
PI548617,1
PI548630,1
PI548517,1
PI548518,1
PI548546,1
PI424275,5
PI423839,5
PI424321,5
PI424484B,5
PI424493A,5
PI424374,5
PI424460,5
PI424481B,5
PI424565,5
PI424490,5
PI360952,5
PI424242,5
PI360953,5
PI358315C,5
PI358316A,5
PI358319,5
PI360850,5
PI548353,5
PI548430,5
PI548304,5
PI548303,5
PI548367,5
PI548561,5
PI548547,5
PI548609,5
PI548631,5
PI548598,5
PI548535,5
PI548567,5
PI548600,5
PI548621,5
PI548508,5
PI548509,5
PI548524,5
PI548540,5
PI548551,5
PI548608,5
PI548610,5
PI548632,5
PI548550,5
PI548553,5
PI548554,5
