acid,SCN14.491577,SCN14code.491577
PI458285,4,2.799999952
PI458291,4,2.799999952
PI458306B,4,2.799999952
PI424361,4,3
PI458172B,4,3
PI437670,4,3.099999905
PI438428,4,3.200000048
PI458271,4,3.200000048
PI398853,4,3.299999952
PI458279,4,3.299999952
PI476898,4,3.299999952
PI486332,4,3.400000095
PI437696,4,3.400000095
PI458265,4,3.400000095
PI458297,4,3.400000095
PI458305,4,3.400000095
PI476919,4,3.400000095
PI476924,4,3.400000095
PI417409,4,3.5
PI434976,4,3.5
PI458223,4,3.5
PI438440-1,4,3.5
PI438293,4,3.5
PI437668,4,3.5
PI458253,4,3.5
PI458281B,4,3.5
PI398999,4,3.599999905
PI438284,4,3.599999905
PI424433,4,3.599999905
PI438431,4,3.599999905
PI458292,4,3.599999905
PI471936,4,3.599999905
PI458214,4,3.599999905
PI458284,4,3.599999905
PI398950,4,3.700000048
PI476878,4,3.700000048
PI399047,4,3.700000048
PI437726,4,3.700000048
PI417408,4,3.700000048
PI458096,4,3.700000048
PI458278B,4,3.700000048
PI458267,4,3.700000048
PI476921,4,3.700000048
PI417410,4,3.799999952
PI445843,4,3.799999952
PI398973,4,3.799999952
PI399041,4,3.799999952
PI424182B,4,3.799999952
PI424456,4,3.799999952
PI476892,4,3.799999952
PI471934,4,3.799999952
PI438302B,4,3.799999952
PI436566,4,3.799999952
PI441378,4,3.799999952
PI458107,4,3.799999952
PI458236B,4,3.799999952
PI398956,4,3.900000095
PI398827,4,3.900000095
PI458100,4,3.900000095
PI458102,4,3.900000095
PI458186,4,3.900000095
PI458260,4,3.900000095
PI424360,5,4
PI482602,5,4
PI424172C,5,4
PI424178C,5,4
PI424502,5,4
PI436567,5,4
PI458211,5,4
PI458220,5,4
PI424464,5,4
PI417427,5,4
PI424375,5,4
PI424156B,5,4
PI424182C,5,4
PI424337-2,5,4
PI476917,5,4
PI417223,5,4
PI434982,5,4
PI437717,5,4
PI458033,5,4
PI458076,5,4
PI458093,5,4
PI458196,5,4
PI458258,5,4
PI458263,5,4
PI464933,5,4
PI468131,5,4
PI476896,5,4
PI476910,5,4
PI417421,5,4
PI398998,5,4.099999905
PI437667,5,4.099999905
PI486328,5,4.099999905
PI408169C,5,4.099999905
PI424142,5,4.099999905
PI424594,5,4.099999905
PI424185,5,4.099999905
PI398983,5,4.099999905
PI438343,5,4.099999905
PI408269C,5,4.099999905
PI424183,5,4.099999905
PI458097,5,4.099999905
PI437730,5,4.199999809
PI424304,5,4.199999809
PI398952,5,4.199999809
PI398945,5,4.199999809
PI437708,5,4.199999809
PI398896,5,4.199999809
PI424172B,5,4.199999809
PI417469,5,4.199999809
PI424146,5,4.199999809
PI438426,5,4.199999809
PI427241,5,4.199999809
PI476933,5,4.199999809
PI442003A,5,4.199999809
PI495019,5,4.199999809
PI438344,5,4.199999809
PI434981,5,4.199999809
