acid,SCN3FI,
PI070457,65,8
PI081761,72,8
PI087606,75,8
PI088788,2,8
PI090763,0,8
PI261466,87,8
PI261467,70,8
PI399061,97,8
PI417150,58,8
PI423952,56,8
PI424595,76,8
PI438205,69,8
PI438342,51,8
PI438437,42,8
PI458199,61,8
PI458520,3,8
PI461509,4,8
PI464912,8,8
PI464917,44,8
PI467310,18,8
PI467312,2,8
PI467327,52,8
PI467332,4,8
PI468903,1,8
PI468904,44,8
PI468906,45,8
PI468907,55,8
PI468909,117,8
PI468910,84,8
PI468911,82,8
PI468912,72,8
PI468913,81,8
PI468915,2,8
PI468919,26,8
PI475810,62,8
PI483459,96,8
PI490769,27,8
PI494182,1,8
PI506862,61,8
PI507268,32,8
PI507354,1,8
PI507422,2,8
PI507423,3,8
PI507443,0,8
PI507470,2,8
PI507471,53,8
PI507475,1,8
PI507476,2,8
PI509095,4,8
PI509100,2,8
PI518772,5,8
PI522186,6,8
PI522187,63,8
PI522189,31,8
PI522190,11,8
PI522191,18,8
PI532434,23,8
PI533605,0,8
PI538406,21,8
PI538408,13,8
PI548402,0,8
PI548656,100,8
PI548982,1,8
PI548988,4,8
PI559369,100,8
PI567165,56,8
PI567675,45,8
PI567677,37,8
PI567678,29,8
PI567681,58,8
PI567685,28,8
PI567686,49,8
PI567687,35,8
PI567689,34,8
PI567690,28,8
PI567691,55,8
PI567692,34,8
PI567693,29,8
PI567694,33,8
PI567695,36,8
PI567699,57,8
PI567700,18,8
PI567701,55,8
PI567703,67,8
PI567704,80,8
PI567705,37,8
PI567707,48,8
PI567708,34,8
PI567709,27,8
PI567710,22,8
PI567712,37,8
PI567714,21,8
PI567715,20,8
PI567718,27,8
PI567719,14,8
PI567721,19,8
PI567722,26,8
PI567723,26,8
PI567724,28,8
PI567725,47,8
PI567726,5,8
PI567728,18,8
PI567729,21,8
PI567730,11,8
PI567731,17,8
PI567732,26,8
PI567733,39,8
PI567734,16,8
PI567735,17,8
PI567737,9,8
PI567740,23,8
PI567741,15,8
PI567743,47,8
PI567745,33,8
PI567746,42,8
PI567748,24,8
PI567750,46,8
PI567752,58,8
PI567754,23,8
PI567756,34,8
PI567758,38,8
PI567760,59,8
PI567761,25,8
PI567768,43,8
PI567769,29,8
PI567772,13,8
PI567773,7,8
PI103419B,68,9
PI123577B,44,9
PI157487B,42,9
PI159923B,62,9
PI339865A,47,9
PI407386D,49,9
PI424137B,31,9
PI458175B,77,9
PI458519A,18,9
PI464915B,16,9
PI495017C,7,9
PI506590E,65,9
PI506838A,67,9
PI506838B,34,9
PI507686B,33,9
PI507704A,47,9
PI507704B,58,9
PI512322A,43,9
PI512322D,11,9
PI522188A,46,9
PI522188B,34,9
PI522192A,11,9
PI522192B,29,9
PI532444A,22,9
PI532444B,39,9
PI538401A,60,9
PI538401B,32,9
PI567488A,16,9
PI567488B,5,9
PI567488C,10,9
PI567650C,18,9
PI567676A,15,9
PI567676B,14,9
PI567679A,26,9
PI567679B,19,9
PI567679C,44,9
PI567683A,67,9
PI567684A,43,9
PI567684B,37,9
PI567688B,50,9
PI567696A,46,9
PI567696B,35,9
PI567696C,41,9
PI567698A,34,9
PI567698B,65,9
PI567702A,47,9
PI567702B,43,9
PI567706A,29,9
PI567706B,27,9
PI567711A,25,9
PI567711B,25,9
PI567713A,55,9
PI567713B,83,9
PI567713C,78,9
PI567713D,74,9
PI567713E,60,9
PI567716A,22,9
PI567716B,16,9
PI567717A,18,9
PI567717B,22,9
PI567717C,24,9
PI567720A,15,9
PI567720B,17,9
PI567727A,22,9
PI567727B,18,9
PI567738A,44,9
PI567738B,37,9
PI567739A,27,9
PI567739B,33,9
PI567742A,29,9
PI567744A,14,9
PI567744B,16,9
PI567749A,104,9
PI567749B,48,9
PI567751A,38,9
PI567751B,62,9
PI567753A,29,9
PI567753B,35,9
PI567753C,28,9
PI567755A,34,9
PI567755B,22,9
PI567762A,42,9
PI567762C,63,9
PI567765A,68,9
PI567765B,74,9
PI567765C,37,9
PI567765D,46,9
PI567767A,26,9
PI567767B,56,9
PI567767C,21,9
PI567770A,21,9
PI567770C,48,9
PI567771A,35,9
PI567771B,26,9
PI567771C,9,9
PI567771D,39,9
PI567771E,16,9
PI567774A,25,9
PI567774B,37,9
PI567775A,24,9
PI407946-2,38,10
