acid,RUST,
PI507364,3.7,8
PI507368,3,8
PI507371,3.5,8
PI507386,3.7,8
PI507400,2.7,8
PI507414,2,8
PI507421,3,8
PI507424,3.5,8
PI507448,3,8
PI507449,3.7,8
PI507461,3,8
PI507472,3,8
PI507473,2.7,8
PI507478,4,8
PI507479,3,8
PI507483,3,8
PI507491,3.3,8
PI507492,3,8
PI507493,3.3,8
PI507498,3.8,8
PI507501,4.3,8
PI507506,4,8
PI507518,2,8
PI507522,3.5,8
PI507530,4,8
PI507535,2.7,8
PI507536,3,8
PI507541,3.7,8
PI507543,4,8
PI507546,2.7,8
PI507547,2.7,8
PI507563,4,8
PI507564,2.7,8
PI507565,3.3,8
PI507566,3,8
PI507567,3.3,8
PI507573,4.3,8
PI507671,3,8
PI507672,3.7,8
PI507676,3,8
PI507678,3,8
PI507683,3.3,8
PI507688,2.7,8
PI507689,3.7,8
PI507691,4.3,8
PI507693,3,8
PI507698,4.3,8
PI507703,3,8
PI507705,3.3,8
PI507708,3,8
PI507709,3,8
PI507714,3.7,8
PI507716,3,8
PI507717,3,8
PI508269,2,8
PI508294,3.3,8
PI509080,3,8
PI509083,3,8
PI509085,2.7,8
PI509086,3.3,8
PI509089,2.5,8
PI509095,3,8
PI509100,3,8
PI509102,3.3,8
PI509107,3,8
PI509112,3.3,8
PI511867,3,8
PI512324,3,8
PI513382,3,8
PI518283,3,8
PI518285,3.3,8
PI518286,3.3,8
PI518287,4,8
PI518297,4,8
PI518671,4,8
PI518674,4.3,8
PI518712,4,8
PI518716,3,8
PI518722,3.7,8
PI518726,4,8
PI518729,3.3,8
PI518751,3,8
PI518753,4.5,8
PI518754,3.3,8
PI518756,3.3,8
PI518757,3,8
PI518758,2,8
PI518759,1,8
PI518829,3.7,8
PI518830,3,8
PI522189,4,8
PI522190,2.7,8
PI522191,3,8
PI532437,3.7,8
PI532445,3.7,8
PI532446,4,8
PI532454,3.3,8
PI532457,3.7,8
PI532458,3,8
PI532464,2.7,8
PI532465,3,8
PI532469,4,8
PI532471,3.5,8
PI532472,3,8
PI535807,2.8,8
PI538375,3,8
PI538376,3.7,8
PI538377,2.7,8
PI538381,4,8
PI538383,3.7,8
PI538387,3.3,8
PI538391,3.3,8
PI538392,4,8
PI538404,4,8
PI538409,3.7,8
PI540556,3.3,8
PI540740,4.3,8
PI547875,3.5,8
PI547878,2,8
PI548178,3,8
PI548298,5,8
PI548301,3,8
PI548325,2,8
PI548336,3,8
PI548360,4,8
PI548362,3.5,8
PI548379,5,8
PI548402,5,8
PI548414,3.3,8
PI548443,3,8
PI548463,3.2,8
PI548484,3,8
PI548488,4.3,8
PI548489,4,8
PI548493,3.5,8
PI548494,4,8
PI548502,2.7,8
PI548528,2.7,8
PI548561,5,8
PI548582,4,8
PI548594,3,8
PI548595,4.3,8
PI548625,4,8
PI548626,3,8
PI548654,4,8
PI548657,4,8
PI548658,3.8,8
PI548660,3.8,8
PI548667,3.5,8
PI549017,2.5,8
PI549018,2.8,8
PI549019,2.7,8
PI549020,2.8,8
PI549024,3,8
PI549025,3.8,8
PI549031,3.3,8
PI549050,3,8
PI549058,2.5,8
PI549060,2.5,8
PI549064,4,8
PI549069,4,8
PI549070,3.3,8
PI549077,2.6,8
PI553045,4.2,8
PI556948,3,8
PI556950,3,8
PI559932,4,8
PI561227,3,8
PI561228,3,8
PI561229,3.5,8
PI561230,3,8
PI561231,3,8
PI561234,3,8
PI561236,4,8
PI561237,3.5,8
PI561238,3.5,8
PI561239,3.5,8
PI561240,3,8
PI561241,3,8
PI561242,3,8
PI561271,3,8
PI561272,3,8
PI561273,3.5,8
PI561274,3,8
PI561275,3.5,8
PI561276,3,8
PI561277,3,8
PI561279,3.3,8
PI561284,4,8
PI561288,3.4,8
PI561289,2,8
PI561291,2.8,8
PI561297,3,8
PI561305,3.7,8
PI561308,3,8
PI561310,3.7,8
PI561321,3,8
PI561322,3.3,8
PI561323,3,8
PI561328,3,8
PI561329,2.5,8
PI561331,3.3,8
PI561332,4.5,8
PI561334,3.7,8
PI561335,3.3,8
PI561336,3.7,8
PI561337,2,8
PI561343,4,8
PI561345,4.5,8
PI561346,3,8
PI561347,3.3,8
PI561369,3.7,8
PI561371,4,8
PI561377,2.3,8
PI561378,3,8
PI561381,2.8,8
PI561382,4,8
PI561391,3,8
PI562373,3,8
PI562374,4,8
PI566957,3.5,8
PI566958,3,8
PI566975,4,8
PI566976,3,8
PI566978,2.5,8
PI566984,3,8
PI567004,3,8
PI567024,3.3,8
PI567034,3,8
PI567059,2.6,8
PI567062,3,8
PI567148,3.3,8
PI567153,3.3,8
PI567154,3,8
PI567163,3,8
PI567166,3,8
PI567173,3,8
PI567182,4,8
PI567190,3.3,8
PI567197,3,8
PI567198,3,8
PI567204,3,8
PI567205,3.3,8
PI567206,2.7,8
PI567219,3,8
PI567230,2.7,8
PI567233,2.6,8
PI567236,3.2,8
PI567237,3.3,8
PI567238,3,8
PI567239,3.5,8
PI567240,3.7,8
PI567244,3.7,8
PI567246,3.2,8
PI567259,3.3,8
PI567260,3,8
PI567268,4,8
PI567275,3,8
PI567278,3,8
PI567283,3.3,8
PI567284,3.3,8
PI567286,3.7,8
PI567287,3.5,8
PI567292,3,8
PI567293,3.3,8
PI567297,3,8
PI567304,3.7,8
PI567307,3,8
PI567309,3,8
PI567313,3.3,8
PI567314,3,8
PI567317,3,8
PI567320,3,8
PI567324,4,8
PI567327,3.7,8
PI567329,3,8
PI567330,3.3,8
PI567331,2.7,8
PI567334,3.5,8
PI567337,2.7,8
PI567338,4,8
PI567339,3,8
PI567340,3.3,8
PI567341,2.7,8
PI567342,3,8
PI567361,4,8
PI567364,3,8
PI567365,2.7,8
PI567367,2.7,8
PI567368,3,8
PI567374,2.5,8
PI567378,3,8
PI567385,3.7,8
PI567387,2.7,8
PI567388,2.7,8
PI567390,2.7,8
PI567391,3,8
PI567392,3.3,8
PI567393,3.3,8
PI567395,3,8
PI567397,2.5,8
PI567398,3,8
PI567399,3,8
PI567400,3.5,8
PI567401,3.3,8
PI567402,3,8
PI567405,3,8
PI567408,4,8
PI567411,2.7,8
PI567414,3.3,8
PI567422,3.3,8
PI567426,3,8
PI567430,3,8
PI567434,3,8
PI567437,3,8
PI567439,3,8
PI567440,3,8
PI567444,3.3,8
PI567446,3,8
PI567450,3.3,8
PI567451,3.3,8
PI567452,3,8
PI567453,3,8
PI567454,3,8
PI567455,3,8
PI567457,2,8
PI567460,3,8
PI567461,2.7,8
PI567463,3,8
PI567464,3,8
PI567465,3.3,8
PI567470,2,8
PI567471,3,8
PI567472,2.3,8
PI567474,2.3,8
PI567475,3.3,8
PI567476,2.7,8
PI567479,3,8
PI567481,2.5,8
PI567487,3.5,8
PI567490,3,8
PI567492,3.3,8
PI567494,3,8
PI567497,5,8
PI567498,4,8
PI567499,4,8
PI567501,3,8
PI567502,2.3,8
PI567503,3,8
PI567504,4.3,8
PI567505,4.5,8
PI567506,3,8
PI567515,3.3,8
PI567517,4,8
PI567518,3.3,8
PI567521,3,8
PI567525,3,8
PI567526,3.7,8
PI567527,3.7,8
PI567534,2.7,8
PI567539,3.3,8
PI567544,3,8
PI567545,2.7,8
PI567547,3.7,8
PI567548,3.3,8
PI567550,3,8
PI567552,3,8
PI567553,2.8,8
PI567556,2.7,8
PI567558,4,8
PI567560,2.5,8
PI567561,2.5,8
PI567565,1.3,8
PI567566,3.3,8
PI567571,3,8
PI567576,3.5,8
PI567581,3.3,8
PI567584,3,8
PI567589,3.3,8
PI567592,4,8
PI567596,4,8
PI567605,3,8
PI567606,3,8
PI567608,3.5,8
PI567615,3.3,8
PI567616,3.5,8
PI567623,3,8
PI567624,3.3,8
PI567625,3.5,8
PI567634,5,8
PI567635,3,8
PI567636,3.3,8
PI567637,3,8
PI567649,3,8
PI567653,4,8
PI567654,3,8
PI567657,3,8
PI567659,3,8
PI567665,4,8
PI567668,4,8
PI567669,4,8
PI567670,3.5,8
PI567675,2.3,8
PI567678,3,8
PI567680,3,8
PI567690,3.7,8
PI567692,2,8
PI567695,4.3,8
PI567703,3.7,8
PI567704,4.5,8
PI567708,3.3,8
PI567714,3,8
PI567718,2,8
PI567721,3,8
PI567724,3.5,8
PI567725,3.5,8
PI567728,3.3,8
PI567737,4,8
PI567741,3.5,8
PI567746,3,8
PI567756,3.5,8
PI567758,2.7,8
PI567759,3.3,8
PI567761,3.3,8
PI574481,3,8
PI574485,4,8
PI574486,3,8
PI578309,3,8
PI578312,3.7,8
PI578317,4.3,8
PI578321,3.3,8
PI578326,3.7,8
PI578330,3.3,8
PI578334,4,8
PI578360,3.7,8
PI578362,4.3,8
PI578364,3.7,8
PI578365,4.5,8
PI578366,4,8
PI578368,4,8
PI578370,4,8
PI578373,4,8
PI578374,3,8
PI578377,3,8
PI578378,3.3,8
PI578394,4.7,8
PI578402,3,8
PI578412,4.3,8
PI578424,4,8
PI578443,3.3,8
PI578448,4,8
PI578451,3,8
PI578459,3.3,8
PI578461,2.8,8
PI578472,4,8
PI578486,3.7,8
PI587581,3.7,8
PI587582,3.7,8
PI587584,3.7,8
PI587602,2.7,8
PI587610,4,8
PI587613,3.3,8
PI587615,3.3,8
PI587616,2.7,8
PI587617,3,8
PI587624,3.3,8
PI587629,2.7,8
PI587635,4,8
PI587640,3.5,8
PI587656,3.3,8
PI587667,4.5,8
PI587685,3.7,8
PI587696,3.7,8
PI587710,4,8
PI587718,3,8
PI587722,3.7,8
PI587738,3.3,8
PI587740,3.3,8
PI587743,3.3,8
PI587748,3,8
PI587750,3.3,8
PI587752,3.7,8
PI587754,3.3,8
PI587758,3.3,8
PI587759,3,8
PI587760,4,8
PI587761,3.3,8
PI587762,3.3,8
PI587763,4.5,8
PI587766,3.3,8
PI587768,3.3,8
PI587769,3.3,8
PI587770,3.7,8
PI587775,3.7,8
PI587776,3,8
PI587778,3.3,8
PI587783,3.3,8
PI587784,3,8
PI587785,4,8
PI587786,3.5,8
PI587789,3.7,8
PI587791,3.3,8
PI587792,4.3,8
PI587793,4.3,8
PI587794,2.7,8
PI587797,3,8
PI587798,3.5,8
PI587801,4,8
PI587803,3.3,8
PI587810,4,8
PI587816,4,8
PI587818,3,8
PI587823,3.3,8
PI587826,4,8
PI587828,3,8
PI587829,3.3,8
PI587831,2.7,8
PI587833,3.3,8
PI587834,3,8
PI587835,3,8
PI587837,3.7,8
PI587838,4,8
PI587840,3.7,8
PI587847,3,8
PI587852,3.7,8
PI587855,3.3,8
PI587857,4,8
PI587865,3,8
PI587867,3.7,8
PI587868,3,8
PI587870,4,8
PI587871,3.3,8
PI587872,3.7,8
PI587873,3.5,8
PI587885,2.7,8
PI587886,3.3,8
PI587901,3.7,8
PI587905,2.7,8
PI587974,3.3,8
PI587975,2.7,8
PI587981,4,8
PI588002,3.7,8
PI588016,3.3,8
PI588020,3.3,8
PI588025,3.3,8
PI588028,3.7,8
PI588029,3.7,8
PI592906,3.5,8
PI592914,3.7,8
PI592923,2.8,8
PI592928,5,8
PI592933,4,8
PI592935,3.5,8
PI592936,4.3,8
PI592937,3.9,8
PI592938,4,8
PI592942,3.5,8
PI592945,3,8
PI592946,3,8
PI592947,3.7,8
PI592948,3,8
PI592952,3.7,8
PI592953,3.5,8
PI592957,3,8
PI592969,3,8
PI592976,3,8
PI592980,3,8
PI593942,2.7,8
PI593943,4,8
PI593951,2.7,8
PI593953,2.7,8
PI593957,3.3,8
PI593959,4,8
PI593961,4.7,8
PI593962,3.7,8
PI593967,3.7,8
PI593975,3.5,8
PI593982,3.5,8
PI594013,3,8
PI594149,3,8
PI594166,4.5,8
PI594250,1.5,8
PI594283,3.5,8
PI594289,5,8
PI594295,3.8,8
PI594296,4,8
PI594305,3,8
PI594307,4,8
PI594416,3.3,8
PI594438,3.3,8
PI594440,4,8
PI594445,3,8
PI594446,3.3,8
PI594449,3,8
PI594450,3.5,8
PI594451,3.3,8
PI594452,3,8
PI594453,3,8
PI594459,3.3,8
PI594468,3.3,8
PI594476,3.7,8
PI594481,4,8
PI594485,3,8
PI594490,3.3,8
PI594491,3,8
PI594503,3,8
PI594513,3,8
PI594536,4,8
PI594561,3,8
PI594564,3.3,8
PI594599,3,8
PI594615,4,8
PI594616,3,8
PI594633,3.7,8
PI594639,3.7,8
PI594654,3,8
PI594657,3.3,8
PI594658,3.3,8
PI594661,3.7,8
PI594663,3,8
PI594664,3,8
PI594667,3.7,8
PI594668,3,8
PI594679,3,8
PI594689,3.5,8
PI594707,4,8
PI594736,2.7,8
PI594756,3.7,8
PI594761,2.7,8
PI594779,3.5,8
PI594780,4,8
PI594781,3,8
PI594796,3,8
PI594814,3.7,8
PI594818,3,8
PI594819,3.3,8
PI594825,3.3,8
PI594831,3,8
PI594844,3,8
PI594846,2.7,8
PI594856,3,8
PI594857,3.3,8
PI594877,3,8
PI594878,4,8
PI594884,3.5,8
PI594886,4,8
PI594888,3,8
PI594889,3.3,8
PI594890,3.3,8
PI594904,3.7,8
PI597386,3.6,8
PI597387,3.3,8
PI597393,3.3,8
PI597395,3.3,8
PI597409,4,8
PI597417,3,8
PI597429,3.5,8
PI597432,3.7,8
PI597439,3.7,8
PI597464,4,8
PI598124,3.6,8
PI599509,3.7,8
PI602491,3.7,8
PI603150,3.3,8
PI603155,3.3,8
PI603157,3,8
PI603168,3.3,8
PI603172,4,8
PI603290,4,8
PI603291,3.7,8
PI603294,3.2,8
PI603296,2.5,8
PI603297,3.7,8
PI603299,2.7,8
PI603311,4,8
PI603317,3.7,8
PI603318,3.3,8
PI603320,3.7,8
PI603321,4.3,8
PI603323,3.7,8
PI603328,2.7,8
PI603329,3.3,8
PI603333,3,8
PI603334,3,8
PI603341,3.7,8
PI603344,3.3,8
PI603347,2.5,8
PI603349,4,8
PI603351,4.3,8
PI603354,3.2,8
PI603356,3.7,8
PI603365,3.3,8
PI603371,3.5,8
PI603372,3.3,8
PI603380,4,8
PI603384,3.7,8
PI603388,3.7,8
PI603392,2.5,8
PI603402,4,8
PI603404,4,8
PI603406,3,8
PI603409,5,8
PI603416,3.7,8
PI603417,3.3,8
PI603441,2.7,8
PI603442,3.5,8
PI603459,4,8
PI603461,3.3,8
PI603462,3.7,8
PI603463,3.7,8
PI603467,3.3,8
PI603474,3,8
PI603475,4,8
PI603476,3.7,8
PI603478,3.3,8
PI603479,3.3,8
PI603480,3.3,8
PI603481,3.3,8
PI603482,3.8,8
PI603483,3.7,8
PI603484,3.7,8
PI603485,4.3,8
PI603488,2.7,8
PI603490,3.3,8
PI603491,3.3,8
PI603493,3,8
PI603494,3.5,8
PI603497,3,8
PI603501,4,8
PI603503,3.3,8
PI603505,3.7,8
PI603515,4,8
PI603516,3,8
PI603521,3.3,8
PI603525,3.7,8
PI603529,4,8
PI603560,4.3,8
PI603575,4,8
PI603582,3.3,8
PI603584,2.5,8
PI603588,3,8
PI603589,3.2,8
PI603592,3.3,8
PI603593,3.3,8
PI603594,3.7,8
PI603596,3.5,8
PI603597,3,8
PI603600,3.7,8
PI603612,2.3,8
PI603634,4.7,8
PI603654,3.5,8
PI603663,3.3,8
PI603669,3,8
PI603670,3,8
PI603676,3.3,8
PI603679,4,8
PI603686,4,8
PI603689,3,8
PI603692,3,8
PI603712,3,8
PI603715,3.7,8
PI603722,3.5,8
PI603725,3.3,8
PI603726,4,8
PI603727,2.7,8
PI603736,3.7,8
PI603739,3.7,8
PI603746,3.7,8
PI603747,3,8
PI603748,3,8
PI603749,4.7,8
PI603760,3.2,8
PI603914,4,8
PI603916,3.7,8
PI605757,3.7,8
PI605761,3.3,8
PI605763,3,8
PI605772,3.7,8
PI605773,3,8
PI605774,3.7,8
PI605783,3.1,8
PI605785,4,8
PI605808,3.3,8
PI605812,3.7,8
PI605813,3.3,8
PI605829,3.3,8
PI605835,3,8
PI605836,3.7,8
PI605838,3.4,8
PI605860,3.3,8
PI605864,3.3,8
PI605866,3.8,8
PI605868,3.7,8
PI605872,3.5,8
PI605873,3.7,8
PI605875,3.4,8
PI605879,3.7,8
PI605880,3,8
PI605888,3.3,8
PI605889,3.5,8
PI605901,3,8
PI606362,3,8
PI606370,3.5,8
PI606372,3,8
PI606375,3.7,8
PI606376,3.5,8
PI606377,3.5,8
PI606387,4,8
PI606403,3.5,8
PI606408,3.7,8
PI606410,4,8
PI606412,3.7,8
PI606420,3.4,8
PI606426,3.3,8
PI606748,3.7,8
PI606749,3.8,8
PI612613,2,8
PI612615,4,8
PI612616,4,8
PI612705,3,8
PI612710,3.7,8
PI612716,3.3,8
PI612717,4,8
PI612723,4,8
PI612724,4,8
PI612725,3.5,8
PI612727,4,8
PI612731,4.3,8
PI612736,3.3,8
PI612737,3.3,8
PI612741,3.5,8
PI612742,2.7,8
PI612743,3.5,8
PI612745,3,8
PI612747,3.7,8
PI612748,3.5,8
PI612749,3.5,8
PI612750,2.5,8
PI612751,3,8
PI612752,3.5,8
PI612757,2.7,8
PI612760,3.3,8
FC004007A,3.7,9
PI081029N,3,9
PI086109B,4,9
PI089154S,4,9
PI091159S,2,9
PI103419A,3,9
PI123577A,3,9
PI159923A,3.5,9
PI205901A,3.5,9
PI205901B,2.5,9
PI240667A,1,9
PI253652A,3.7,9
PI261272A,3,9
PI261272B,4,9
PI261272C,4,9
PI261272D,3,9
PI266806A,3.3,9
PI266806B,4.3,9
PI266807C,3.3,9
PI266807D,3.3,9
PI273483A,3.7,9
PI273483E,4,9
PI281890A,3.3,9
PI281901A,3,9
PI281913A,3.3,9
PI281913B,3,9
PI290123A,3.3,9
PI291309B,4.7,9
PI291309C,2,9
PI291310B,3.3,9
PI291319A,4,9
PI306704A,3.5,9
PI307838A,4.5,9
PI307870A,4,9
PI307882B,3,9
PI307882D,3.5,9
PI307884B,3.3,9
PI307891B,4,9
PI307899A,3,9
PI317334A,3,9
PI319534A,4.3,9
PI319535A,3,9
PI339865B,4,9
PI340021A,4.3,9
PI340900A,3,9
PI347540C,2.7,9
PI347550A,3,9
PI347550B,2.7,9
PI347552A,3.7,9
PI347552B,3.7,9
PI347552C,3.3,9
PI347563B,3.3,9
PI347565B,4.7,9
PI355069S,2,9
PI358315A,3,9
PI358315C,3,9
PI358316A,3,9
PI358316C,4,9
PI358317B,4,9
PI358318A,3.3,9
PI358318B,4,9
PI358321A,3.7,9
PI360955B,5,9
PI361071B,3.5,9
PI361085A,3.7,9
PI361085B,3.3,9
PI361088A,3.7,9
PI361112B,4.3,9
PI370057B,3,9
PI372403A,2.7,9
PI372403B,3.3,9
PI372404C,3.7,9
PI372415B,4.3,9
PI372416B,4,9
PI374188A,3.5,9
PI374192A,4,9
PI374200B,2.7,9
PI378670B,4,9
PI378674B,3.3,9
PI378675A,4,9
PI378680E,3.7,9
PI378682B,2.5,9
PI393541A,4.3,9
PI404155B,4,9
PI404173A,4.7,9
PI407386D,3,9
PI407725B,3,9
PI407773A,4.3,9
PI407778C,3.3,9
PI407781A,3.3,9
PI407788B,4.3,9
PI407788C,3,9
PI407805D,3.7,9
PI407833C,2,9
PI407845A,2.5,9
PI407861C,3,9
PI407868C,4,9
PI407875A,4,9
PI407903B,3.7,9
PI407981B,3,9
PI407986A,3.3,9
PI407986B,3.3,9
PI407988B,3.7,9
PI407998B,3.3,9
PI407998C,3,9
PI408032A,3.7,9
PI408068C,2,9
PI408074B,4,9
PI408079B,4,9
PI408083B,4,9
PI408084A,3.5,9
PI408084C,3.7,9
PI408092A,3.3,9
PI408092B,4.3,9
PI408100A,3,9
PI408124B,3,9
PI408131B,3.3,9
PI408134B,2,9
PI408138A,3.7,9
PI408166C,4,9
PI408167A,3.7,9
PI408167B,3.3,9
PI408169C,3.3,9
PI408184B,3,9
PI408186C,3,9
PI408203A,2,9
PI408209B,3.3,9
PI408209C,2,9
PI408225A,5,9
PI408234B,2,9
PI408262B,3.7,9
PI408265C,3.7,9
PI408270C,4.7,9
PI408272A,3.3,9
PI408272B,2,9
PI408285A,3,9
PI408285C,3.7,9
PI408294B,4,9
PI408307B,3,9
PI408308B,2.5,9
PI408319A,3,9
PI416819A,3.3,9
PI416825B,3.5,9
PI416825C,3.5,9
PI416826A,3,9
PI416826B,3.3,9
PI416873B,4,9
PI416873C,3,9
PI417040A,3.7,9
PI417089A,2.4,9
PI417089B,3.5,9
PI417196B,4,9
PI417365A,3,9
PI417389A,2.7,9
PI417414A,3,9
PI423728A,2,9
PI423730B,2.3,9
PI423736A,3.7,9
PI423747A,4.3,9
PI423748A,3,9
PI423756B,4,9
PI423769A,3.7,9
PI423781A,3,9
PI423781B,3,9
PI423796B,3.7,9
PI423826A,3,9
PI423827B,3,9
PI423830B,4.7,9
PI423837B,3.7,9
PI423882A,3.7,9
PI423882B,4,9
PI423890A,4.3,9
PI423890B,5,9
PI423930A,3.7,9
PI423930B,3,9
PI423948A,4,9
PI424137A,3.3,9
PI424155B,4,9
PI424156B,3,9
PI424156C,4,9
PI424159C,2.7,9
PI424182A,4,9
PI424195A,3.5,9
PI424219A,3.3,9
PI424232B,5,9
PI424234B,3.3,9
PI424249A,4,9
PI424255A,3.7,9
PI424277B,4,9
PI424294B,2.3,9
PI424296C,4,9
PI424299A,1.3,9
PI424300B,3.7,9
PI424340A,3,9
PI424342B,3,9
PI424348B,3.7,9
PI424368B,3.3,9
PI424370A,3.7,9
PI424370B,3,9
PI424386B,2,9
PI424402A,4,9
PI424402B,4,9
PI424406B,4.3,9
PI424444A,4,9
PI424472B,3.7,9
PI424484A,3.3,9
PI424487B,3.7,9
PI424488A,3,9
PI424491A,3.5,9
PI424499A,4.3,9
PI424499C,4,9
PI424504A,3.7,9
PI424549B,4,9
PI424558A,4,9
PI424569A,3.7,9
PI424569B,3.7,9
PI427088A,3,9
PI430598A,2.7,9
PI434973A,2.5,9
PI437078A,4.3,9
PI437081B,4,9
PI437105A,3.3,9
PI437105B,3.7,9
PI437109A,4.3,9
PI437109B,3.3,9
PI437109C,4,9
PI437110A,2.3,9
PI437126B,3.3,9
PI437126C,3.3,9
PI437156B,4,9
PI437166A,3,9
PI437167A,4.3,9
PI437168C,3.7,9
PI437169B,3.5,9
PI437211B,2.7,9
PI437223A,4,9
PI437260A,3.7,9
PI437261B,4.3,9
PI437265A,3,9
PI437311B,4,9
PI437420B,2.7,9
PI437420C,4,9
PI437432B,3,9
PI437437A,1.5,9
PI437462A,3.7,9
PI437462B,3,9
PI437462C,2.7,9
PI437463A,4,9
PI437469B,4,9
PI437474A,4,9
PI437500B,2.7,9
PI437515B,3.3,9
PI437520B,2.5,9
PI437609A,3.7,9
PI437609B,3.3,9
PI437615B,3.7,9
PI437630B,3,9
PI437630D,4,9
PI437649B,4,9
PI437651B,4,9
PI437661B,2.7,9
PI437676B,3,9
PI437678A,4.3,9
PI437678B,4.3,9
PI437695A,3.3,9
PI437695B,3.7,9
PI437711A,3.3,9
PI437716A,3.7,9
PI437721B,3,9
PI437740B,2.3,9
PI437752C,4,9
PI437772B,3.3,9
PI437845A,3.7,9
PI437845B,3.3,9
PI437845C,3,9
PI437847A,3,9
PI437847B,3.7,9
PI437867B,2.7,9
PI437878B,2.7,9
PI437887A,3.7,9
PI437890B,3,9
PI437895A,3.3,9
PI437902B,3.7,9
PI437902D,4.3,9
PI437910A,3.3,9
PI437974B,3.3,9
PI438050A,4.3,9
PI438055A,3.7,9
PI438069B,3.3,9
PI438112B,3.7,9
PI438160A,3,9
PI438160C,3.3,9
PI438207B,3.3,9
PI438230A,2.8,9
PI438233B,4,9
PI438254A,3,9
PI438256A,3.3,9
PI438256B,4,9
PI438259B,3.7,9
PI438266A,5,9
PI438334A,4,9
PI438509A,3.3,9
PI442003A,3,9
PI442007B,4,9
PI442009A,3,9
PI442012A,3.7,9
PI442012B,3.5,9
PI445829A,3,9
PI449456A,3.5,9
PI449456B,4,9
PI449458A,4.3,9
PI449458B,4,9
PI458024B,3,9
PI458123B,4.5,9
PI458246A,3.3,9
PI458278A,3,9
PI458278B,5,9
PI458307A,3,9
PI458307B,4,9
PI458532B,3.7,9
PI459025B,3.2,9
PI464888B,4,9
PI464920A,4,9
PI464920B,3,9
PI467322B,4.3,9
PI467323A,2.7,9
PI470227A,3,9
PI470227B,4,9
PI471929B,4,9
PI475813A,3,9
PI475824A,3,9
PI476350B,4,9
PI476350C,4,9
PI479718A,3.7,9
PI479724A,3,9
PI479724B,3,9
PI495017A,3,9
PI495017B,3,9
PI495017C,4,9
PI504483A,3,9
PI506595A,3.3,9
PI506711B,4,9
PI506801B,4,9
PI506864A,4.3,9
PI506864B,3.3,9
PI507189A,3.7,9
PI507293A,3,9
PI507294A,3.3,9
PI507406A,4.5,9
PI507406B,3.3,9
PI507442A,3.5,9
PI507685A,3.3,9
PI507696C,4,9
PI507704B,3,9
PI507715A,3,9
PI508296A,3.7,9
PI508296H,2.5,9
PI509110A,4,9
PI512322A,4,9
PI512322C,4,9
PI512322D,4.7,9
PI518291A,3.3,9
PI518291C,4.3,9
PI518718A,3.7,9
PI522192A,3,9
PI532436B,3.3,9
PI532441B,3.5,9
PI532462A,3.5,9
PI532462B,4,9
PI532463A,3.3,9
PI536547A,3.7,9
PI538385A,3,9
PI538386B,3.5,9
PI538401A,2.7,9
PI054608-4,3.7,10
PI054608-5,4,10
PI054615-1,4,10
PI549021A,3,9
PI549030A,3,9
PI549030B,3.3,9
PI549041A,3,9
PI549041B,3,9
PI549042A,3,9
PI549042B,4,9
PI549045A,3,9
PI549049B,3.3,9
PI549051A,3,9
PI549057B,3.7,9
PI549076A,4,9
PI561278B,3,9
PI561282A,2.5,9
PI561282D,3.5,9
PI561282E,4,9
PI561285A,3.3,9
PI561287A,2,9
PI561287B,3,9
PI561292A,4.3,9
PI561296C,3.5,9
PI561300B,4,9
PI561302A,3.3,9
PI561302C,3.5,9
PI561304A,3,9
PI561311A,5,9
PI561314B,3,9
PI561327C,4,9
PI561330A,2,9
PI561330B,2.5,9
PI561338B,4,9
PI561350B,3.5,9
PI561379A,3.3,9
PI561379B,4,9
PI561389A,3.7,9
PI561389B,2.7,9
PI566985A,2.5,9
PI566989A,2.7,9
PI566992A,3,9
PI566992B,5,9
PI567003A,2.8,9
PI567006A,4,9
PI567022A,3.5,9
PI567023A,3,9
PI567025A,3,9
PI567027A,2.8,9
PI567031A,3,9
PI567031B,3,9
PI567033A,3,9
PI567035A,3.3,9
PI567041A,3,9
PI567046A,3,9
PI567046C,3,9
PI567048A,3.2,9
PI567056A,3,9
PI567060A,3,9
PI567068A,3.3,9
PI567068B,3,9
PI567071B,4,9
PI567083A,3,9
PI567085B,2.5,9
PI567086A,4,9
PI567092B,3,9
PI567093B,2,9
PI567107A,2.8,9
PI567108B,2.5,9
PI567110A,3.3,9
PI567116A,3,9
PI567123A,2.7,9
PI567131B,3,9
PI567150A,2.8,9
PI567150B,2.7,9
PI567155A,3.3,9
PI567157B,4.5,9
PI567159A,4,9
PI567174C,2.3,9
PI567175C,2,9
PI567175D,4,9
PI567189A,3,9
PI567200A,3,9
PI567200B,3.7,9
PI567209A,3,9
PI567211B,3.7,9
PI567216B,4,9
PI567220B,3,9
PI567257A,3,9
PI567261A,3,9
PI567266A,3.3,9
PI567296C,3,9
PI567300A,2,9
PI567300B,3,9
PI567301A,3,9
PI567301B,3.7,9
PI567303A,3,9
PI567310A,3,9
PI567311A,3,9
PI567311B,3,9
PI567316A,3,9
PI567323A,3,9
PI567323B,3.2,9
PI567326A,5,9
PI567326B,4,9
PI567333A,4.7,9
PI567335B,2.7,9
PI567336A,3.5,9
PI567336B,3,9
PI567349A,3,9
PI567351B,3.8,9
PI567362A,3,9
PI567362B,3,9
PI567366A,4,9
PI567369A,3,9
PI567370A,3,9
PI567371A,4,9
PI567372A,3.3,9
PI567373A,3,9
PI567375A,3.5,9
PI567375B,4,9
PI567376A,2.7,9
