acid,SCN5,
PI079610,4,8
PI079613,4,8
PI079616,5,8
PI079617,5,8
PI079620,5,8
PI079627,4,8
PI079628,5,8
PI079645,5,8
PI079648,5,8
PI079691,5,8
PI079692,5,8
PI079693,4,8
PI079694,5,8
PI079695,5,8
PI079696,4,8
PI079699,5,8
PI079703,5,8
PI079710,5,8
PI079712,4,8
PI079726,5,8
PI079727,5,8
PI079737,4,8
PI079739,5,8
PI079743,5,8
PI079745,5,8
PI079746,4,8
PI079747,4,8
PI079756,4,8
PI079760,5,8
PI079761,5,8
PI079773,4,8
PI079797,4,8
PI079825,5,8
PI079832,5,8
PI079835,4,8
PI079846,4,8
PI079848,5,8
PI079861,5,8
PI079862,4,8
PI079863,5,8
PI079872,5,8
PI079874,5,8
PI079885,5,8
PI080459,5,8
PI080461,5,8
PI080466,5,8
PI080468,5,8
PI080469,5,8
PI080470,5,8
PI080471,5,8
PI080473,5,8
PI080476,5,8
PI080479,5,8
PI080480,5,8
PI080481,5,8
PI080485,5,8
PI080488,4,8
PI080494,4,8
PI080498,5,8
PI080536,4,8
PI080671,4,8
PI080822,4,8
PI080825,4,8
PI080831,4,8
PI080837,2,8
PI080841,4,8
PI081023,5,8
PI081027,5,8
PI081029,5,8
PI081030,5,8
PI081033,5,8
PI081035,5,8
PI081037,5,8
PI081038,5,8
PI081040,5,8
PI081041,5,8
PI081042,5,8
PI081667,5,8
PI081763,5,8
PI081764,5,8
PI081765,5,8
PI081766,5,8
PI081767,5,8
PI081768,5,8
PI081770,5,8
PI081771,5,8
PI081772,5,8
PI081773,5,8
PI081774,5,8
PI081775,5,8
PI081777,5,8
PI081780,5,8
PI081785,5,8
PI081971,5,8
PI082183,5,8
PI082184,5,8
PI082210,5,8
PI082218,5,8
PI082232,5,8
PI082235,5,8
PI082246,5,8
PI082259,5,8
PI082264,5,8
PI082278,5,8
PI082286,5,8
PI082291,5,8
PI082295,5,8
PI082296,5,8
PI082302,5,8
PI082307,5,8
PI082308,5,8
PI082312,5,8
PI082315,5,8
PI082325,5,8
PI082326,5,8
PI082509,5,8
PI082527,5,8
PI082532,5,8
PI082534,5,8
PI082544,5,8
PI082554,5,8
PI082555,5,8
PI082558,5,8
PI082581,5,8
PI082588,5,8
PI083836,5,8
PI083853,5,8
PI083858,5,8
PI083868,5,8
PI083874,5,8
PI083881,5,8
PI083889,5,8
PI083891,5,8
PI083892,5,8
PI083893,5,8
PI083915,5,8
PI083923,5,8
PI083925,5,8
