acid,SCN5,
PI184043,4,8
PI184044,4,8
PI184045,4,8
PI184046,4,8
PI184047,4,8
PI187150,5,8
PI187152,5,8
PI187153,5,8
PI187155,5,8
PI189402,5,8
PI189857,5,8
PI189859,5,8
PI189860,5,8
PI189861,5,8
PI189862,5,8
PI189863,5,8
PI189864,5,8
PI189866,5,8
PI189867,5,8
PI189868,5,8
PI189869,5,8
PI189870,5,8
PI189871,5,8
PI189872,5,8
PI189873,5,8
PI189874,5,8
PI189875,5,8
PI189876,5,8
PI189877,5,8
PI189878,5,8
PI189879,5,8
PI189880,5,8
PI189881,5,8
PI189882,5,8
PI189883,5,8
PI189885,5,8
PI189886,5,8
PI189888,5,8
PI189890,5,8
PI189891,5,8
PI189892,5,8
PI189893,5,8
PI189894,5,8
PI189896,5,8
PI189897,5,8
PI189898,5,8
PI189899,5,8
PI189900,5,8
PI189901,5,8
PI189903,5,8
PI189904,5,8
PI189906,5,8
PI189907,5,8
PI189911,5,8
PI189913,4,8
PI189915,4,8
PI189916,4,8
PI189917,4,8
PI189918,4,8
PI189919,5,8
PI189920,4,8
PI189921,5,8
PI189922,4,8
PI189923,4,8
PI189924,4,8
PI189925,4,8
PI189926,4,8
PI189928,4,8
PI189929,4,8
PI189930,4,8
PI189931,4,8
PI189932,4,8
PI189935,4,8
PI189936,5,8
PI189937,4,8
PI189938,5,8
PI189939,5,8
PI189940,4,8
PI189941,4,8
PI189944,5,8
PI189945,5,8
PI189946,4,8
PI189947,5,8
PI189950,4,8
PI189951,5,8
PI189952,4,8
PI189955,4,8
PI189956,5,8
PI189958,5,8
PI189960,5,8
PI189961,5,8
PI189962,5,8
PI189963,5,8
PI189964,5,8
PI189965,5,8
PI189966,5,8
PI189967,5,8
PI189968,5,8
PI189969,5,8
PI192867,4,8
PI192868,5,8
PI192869,5,8
PI192870,5,8
PI192871,5,8
PI192872,5,8
PI192873,5,8
PI192874,5,8
PI194624,5,8
PI194625,5,8
PI194626,5,8
PI194627,5,8
PI194630,5,8
PI194631,5,8
PI194632,5,8
PI194633,5,8
PI194634,5,8
PI194635,5,8
PI194636,5,8
PI194638,5,8
PI194639,5,8
PI194640,5,8
PI194641,5,8
PI194643,5,8
PI194644,5,8
PI194645,5,8
PI194646,5,8
PI194647,5,8
PI194648,5,8
PI194653,5,8
PI194654,5,8
PI194655,5,8
PI194656,5,8
PI194773,5,8
PI196148,5,8
PI196149,5,8
PI196150,5,8
PI196151,5,8
PI196152,5,8
PI196153,5,8
PI196154,5,8
PI196155,5,8
PI196156,5,8
PI196157,5,8
PI196158,5,8
PI196159,5,8
PI196160,5,8
PI196161,5,8
PI196162,5,8
PI196163,5,8
PI196164,5,8
PI196165,5,8
PI196166,4,8
PI196167,5,8
PI196168,5,8
PI196170,5,8
PI196171,5,8
PI196172,5,8
PI196175,5,8
PI196177,4,8
PI196325,5,8
PI196485,5,8
PI196486,5,8
PI196491,5,8
PI196501,5,8
PI196502,5,8
PI196504,5,8
PI196525,5,8
PI196526,5,8
PI196527,5,8
PI196528,5,8
PI196529,5,8
PI196530,5,8
PI197182,4,8
PI198067,5,8
PI198078,5,8
PI200445,4,8
PI200446,5,8
PI200447,5,8
PI200448,5,8
PI200449,5,8
PI200450,5,8
PI200451,5,8
PI200452,5,8
PI200453,5,8
PI200454,5,8
PI200456,5,8
PI200457,4,8
PI200458,5,8
PI200460,5,8
PI200461,5,8
PI200462,4,8
PI200463,5,8
PI200464,5,8
PI200465,5,8
PI200466,5,8
PI200468,5,8
PI200469,5,8
PI200470,5,8
PI200472,5,8
PI200473,5,8
PI200474,5,8
PI200475,5,8
PI200476,5,8
PI200477,4,8
PI200478,5,8
PI200479,5,8
PI200480,5,8
PI200482,5,8
PI200483,5,8
PI200484,4,8
PI200485,5,8
PI200486,5,8
PI200487,5,8
PI200488,5,8
PI200490,4,8
PI200491,5,8
PI200492,5,8
PI200493,5,8
PI200494,4,8
PI200495,5,8
PI200496,5,8
PI200498,5,8
PI200499,5,8
PI200500,4,8
PI200501,5,8
PI200503,5,8
PI200504,5,8
PI200506,5,8
PI200507,5,8
PI200508,5,8
PI200509,4,8
PI200510,5,8
PI200515,5,8
PI200516,5,8
PI200517,5,8
PI200518,5,8
PI200519,5,8
PI200520,4,8
PI200522,5,8
PI200523,5,8
PI200524,5,8
PI200525,5,8
PI200526,5,8
PI200527,5,8
PI200528,5,8
PI200529,4,8
PI200530,4,8
PI200531,4,8
PI200532,4,8
PI200533,5,8
PI200534,5,8
PI200535,5,8
PI200536,5,8
PI200538,5,8
PI200539,4,8
PI200541,5,8
PI200542,5,8
PI200543,5,8
PI200544,4,8
PI200545,5,8
PI200546,5,8
PI200547,4,8
PI200548,5,8
PI200549,4,8
PI200550,5,8
PI200551,5,8
PI200552,5,8
PI200553,5,8
PI200592,5,8
PI200593,5,8
PI200594,5,8
PI200595,5,8
PI200596,5,8
PI200832,5,8
PI201421,4,8
PI201423,5,8
PI201431,4,8
PI203398,5,8
PI203399,5,8
PI203400,5,8
PI203402,5,8
PI203403,5,8
PI203404,4,8
PI203405,5,8
PI203406,5,8
PI204331,4,8
PI204332,5,8
PI204333,5,8
PI204334,5,8
PI204335,4,8
PI204336,5,8
PI204337,5,8
PI204338,5,8
PI204339,5,8
PI204340,5,8
PI204652,5,8
PI204653,5,8
PI205083,5,8
PI205085,5,8
PI205086,5,8
PI205087,5,8
PI205088,5,8
PI205089,5,8
PI205090,5,8
PI205092,5,8
PI205899,4,8
PI205903,5,8
PI205906,5,8
PI205907,5,8
PI205908,5,8
PI205909,5,8
PI205910,5,8
PI205911,5,8
PI205912,5,8
PI205913,5,8
PI205914,5,8
PI205915,5,8
PI206258,4,8
PI208203,4,8
PI208204,5,8
PI208429,4,8
PI208430,5,8
PI208431,4,8
PI208432,5,8
PI208433,4,8
PI208434,5,8
PI208435,5,8
PI208437,4,8
PI208438,5,8
PI208439,5,8
PI208782,5,8
PI208785,4,8
PI208789,4,8
PI209331,5,8
PI209332,5,8
PI209333,5,8
PI209334,5,8
PI209335,5,8
PI209340,5,8
PI209577,5,8
PI209578,5,8
PI209833,4,8
PI209836,5,8
PI209908,5,8
PI210178,4,8
PI210179,5,8
PI210348,4,8
PI210349,5,8
PI210350,5,8
PI210352,5,8
PI210353,4,8
PI212604,5,8
PI212605,5,8
PI212606,5,8
PI215688,5,8
PI215690,5,8
PI215691,5,8
PI215692,5,8
PI215693,5,8
PI215755,5,8
PI215811,5,8
PI219652,5,8
PI219653,5,8
PI219654,4,8
PI219655,5,8
PI219656,5,8
PI219698,5,8
PI219732,5,8
PI219780,5,8
PI219782,5,8
PI219783,5,8
PI219784,5,8
PI219785,4,8
PI219787,5,8
PI219789,4,8
PI221713,5,8
PI221714,5,8
PI221715,4,8
PI221716,5,8
PI221717,5,8
PI221972,5,8
PI221973,5,8
PI222397,5,8
PI222546,4,8
PI222547,4,8
PI222548,5,8
PI222549,4,8
PI222550,5,8
PI224269,5,8
PI224270,5,8
PI224271,5,8
PI224272,5,8
PI224273,5,8
PI224275,5,8
PI226588,5,8
PI226589,5,8
PI226590,5,8
PI226591,5,8
PI227158,5,8
PI227159,5,8
PI227160,5,8
PI227212,5,8
PI227213,5,8
PI227214,5,8
PI227218,5,8
PI227219,5,8
PI227221,5,8
PI227222,5,8
PI227224,5,8
PI227320,5,8
PI227321,5,8
PI227322,5,8
PI227323,5,8
PI227324,5,8
PI227325,5,8
PI227326,5,8
PI227327,5,8
PI227328,5,8
PI227329,5,8
PI227330,5,8
PI227331,5,8
PI227333,4,8
PI227334,5,8
PI227555,5,8
PI227557,5,8
PI227558,5,8
PI227560,5,8
PI227563,5,8
PI227565,5,8
PI227566,5,8
PI227567,5,8
PI227684,4,8
PI227685,5,8
PI227686,5,8
PI227687,5,8
PI228056,5,8
PI228064,5,8
PI228065,5,8
PI229312,5,8
PI229313,5,8
PI229314,5,8
PI229315,5,8
PI229316,5,8
PI229317,5,8
PI229319,5,8
PI229320,5,8
PI229321,5,8
PI229322,5,8
PI229324,5,8
PI229325,5,8
PI229326,5,8
PI229327,5,8
PI229328,5,8
PI229330,5,8
PI229331,5,8
PI229333,5,8
PI229334,5,8
PI229335,4,8
PI229336,5,8
PI229337,5,8
PI229339,5,8
PI229340,5,8
PI229341,5,8
PI229342,5,8
PI229343,5,8
PI229344,5,8
PI229345,5,8
PI229346,5,8
PI229347,5,8
PI229349,5,8
PI229350,5,8
PI229351,5,8
PI229352,5,8
PI229353,5,8
PI229354,5,8
PI229356,5,8
PI229357,5,8
PI229358,4,8
PI229360,5,8
PI229361,5,8
PI229362,5,8
PI229738,5,8
PI230970,5,8
PI230971,5,8
PI230973,5,8
PI230974,5,8
PI230975,5,8
PI230976,5,8
PI230977,5,8
PI230978,5,8
PI230979,5,8
PI230980,5,8
PI230981,5,8
PI231172,5,8
PI232899,5,8
PI232901,5,8
PI232902,5,8
PI232987,5,8
PI232988,5,8
PI232989,5,8
PI232990,4,8
PI232991,5,8
PI232992,5,8
PI232993,5,8
PI232994,5,8
PI232995,5,8
PI232996,5,8
PI232997,5,8
PI232998,5,8
PI232999,5,8
PI235335,5,8
PI235339,5,8
PI235340,5,8
PI235344,5,8
PI235346,5,8
PI235347,5,8
PI238108,4,8
PI238109,5,8
PI238920,5,8
PI238921,5,8
PI238922,5,8
PI238923,5,8
PI238924,5,8
PI238925,5,8
PI238926,5,8
PI238928,5,8
PI238929,5,8
PI238930,5,8
PI238931,5,8
PI238932,5,8
PI238933,5,8
PI239235,5,8
PI239236,5,8
PI239237,5,8
PI239484,5,8
PI240079,5,8
PI240664,5,8
PI240665,5,8
PI240666,5,8
PI240669,5,8
PI240670,4,8
PI240671,4,8
PI240672,5,8
PI241424,5,8
PI243514,5,8
PI243515,5,8
PI243516,5,8
PI243517,5,8
PI243519,5,8
PI243520,5,8
PI243521,5,8
PI243522,5,8
PI243523,5,8
PI243524,5,8
PI243525,5,8
PI243526,5,8
PI243527,5,8
PI243528,5,8
PI243529,5,8
PI243530,5,8
PI243531,5,8
PI243532,5,8
PI243533,5,8
PI243535,5,8
PI243536,5,8
PI243537,5,8
PI243538,5,8
PI243540,5,8
PI243541,5,8
PI243543,5,8
PI243544,5,8
PI243545,5,8
PI243546,5,8
PI243547,5,8
PI243548,5,8
PI243549,5,8
PI243550,5,8
PI243551,5,8
PI245007,5,8
PI245008,5,8
PI246365,5,8
PI246366,5,8
PI246367,5,8
PI246368,5,8
PI246369,5,8
PI247678,5,8
PI247679,5,8
PI248395,5,8
PI248396,5,8
PI248397,5,8
PI248398,5,8
PI248399,5,8
PI248400,5,8
PI248401,5,8
PI248402,5,8
PI248403,5,8
PI248404,5,8
PI248405,5,8
PI248406,5,8
PI248407,5,8
PI248408,5,8
PI248409,5,8
PI248410,5,8
PI248510,5,8
PI248512,5,8
PI248513,5,8
PI248514,5,8
PI248515,5,8
PI250002,5,8
PI250844,5,8
PI251585,5,8
PI251586,5,8
PI253654,5,8
PI253655,5,8
PI253657,5,8
PI253659,5,8
PI253662,5,8
PI253663,5,8
PI255734,4,8
PI256376,5,8
PI257428,5,8
PI257429,5,8
PI257430,5,8
PI257431,5,8
PI257432,5,8
PI257433,5,8
PI257434,5,8
PI257435,5,8
PI257436,5,8
PI257437,5,8
PI257438,5,8
PI257439,5,8
PI258383,5,8
PI258384,5,8
PI258385,5,8
PI258386,5,8
PI258387,5,8
PI259538,5,8
PI259539,5,8
PI259540,4,8
PI259542,5,8
PI259543,5,8
PI261466,4,8
PI261467,5,8
PI261468,5,8
PI261469,5,8
PI261472,5,8
PI261473,5,8
PI261474,5,8
PI261475,5,8
PI262180,5,8
PI262181,5,8
PI263044,5,8
PI264555,5,8
PI265491,5,8
PI265497,5,8
PI265498,5,8
PI273484,5,8
PI274205,5,8
PI274206,5,8
PI274207,4,8
PI274208,5,8
PI274209,5,8
PI274210,5,8
PI274211,4,8
PI274212,5,8
PI274420,5,8
PI274421,5,8
PI274422,5,8
PI274423,5,8
PI274453,5,8
PI274454,4,8
PI274455,5,8
PI274456,5,8
PI274506,5,8
PI274507,4,8
PI274508,5,8
PI279081,5,8
PI279088,4,8
PI281850,5,8
PI281885,4,8
PI281888,4,8
PI281889,5,8
PI281900,5,8
PI281902,5,8
PI281904,5,8
PI281907,5,8
PI281909,5,8
PI281910,5,8
PI281912,5,8
PI283326,5,8
PI283328,5,8
PI283330,5,8
PI283331,5,8
PI283332,5,8
PI283334,5,8
PI284814,5,8
PI284815,5,8
PI284873,5,8
PI285089,5,8
PI285090,5,8
PI285091,5,8
PI285092,5,8
PI285093,5,8
PI285094,5,8
PI285095,5,8
PI285096,5,8
PI285097,5,8
PI290114,5,8
PI290115,5,8
PI290118,5,8
PI290119,5,8
PI290120,5,8
PI290121,5,8
PI290122,5,8
PI290124,5,8
PI290125,5,8
PI290127,5,8
PI290128,5,8
PI290130,5,8
PI290131,5,8
PI290132,5,8
PI290133,5,8
PI290134,5,8
PI290135,5,8
PI290136,5,8
PI290137,5,8
PI290138,5,8
PI290139,5,8
PI290140,5,8
PI290141,5,8
PI290142,5,8
PI290144,5,8
PI290145,4,8
PI290148,5,8
PI290149,5,8
PI290150,5,8
PI290151,5,8
PI290152,4,8
PI290153,5,8
PI290154,5,8
PI290155,5,8
PI290157,5,8
PI290158,5,8
PI291272,5,8
PI291273,5,8
PI291275,5,8
PI291276,5,8
PI291277,5,8
PI291278,5,8
PI291279,5,8
PI291281,5,8
PI291282,5,8
PI291283,5,8
PI291284,5,8
PI291286,5,8
PI291288,5,8
PI291290,5,8
PI291291,5,8
PI291294,5,8
PI291295,5,8
PI291296,4,8
PI291297,5,8
PI291298,5,8
PI291299,5,8
PI291300,5,8
PI291301,5,8
PI291304,4,8
PI291305,4,8
PI291312,5,8
PI291313,5,8
PI291315,5,8
PI291318,5,8
PI291321,5,8
PI291322,5,8
PI291323,5,8
PI291324,5,8
PI291325,5,8
PI291326,5,8
PI291327,5,8
PI291328,5,8
PI291329,5,8
PI291331,5,8
PI295947,5,8
PI295948,5,8
PI295949,5,8
PI295950,5,8
PI295951,5,8
PI295952,5,8
PI297499,5,8
PI297500,5,8
PI297501,5,8
PI297502,5,8
PI297503,5,8
PI297504,5,8
PI297505,5,8
PI297506,5,8
PI297508,5,8
PI297509,5,8
PI297510,5,8
PI297511,5,8
PI297512,5,8
PI297513,5,8
PI297514,5,8
PI297515,5,8
PI297516,5,8
PI297518,5,8
PI297519,5,8
PI297520,5,8
PI297521,5,8
PI297522,5,8
PI297523,5,8
PI297524,5,8
PI297525,5,8
PI297528,5,8
PI297529,5,8
PI297531,5,8
PI297532,5,8
PI297533,5,8
PI297534,5,8
PI297535,5,8
PI297536,5,8
PI297537,5,8
PI297538,5,8
PI297540,5,8
PI297541,5,8
PI297542,5,8
PI297543,5,8
PI297544,5,8
PI297545,5,8
PI297546,5,8
PI297547,5,8
PI297548,5,8
PI297549,5,8
PI297550,5,8
PI297551,5,8
PI297552,5,8
PI303650,5,8
PI303651,5,8
PI303652,2,8
PI303653,5,8
PI304218,5,8
PI305074,5,8
PI306712,5,8
PI307597,5,8
PI307837,5,8
PI307839,5,8
PI307840,5,8
PI307844,4,8
PI307845,5,8
PI307846,4,8
PI307847,5,8
PI307849,5,8
PI307853,5,8
PI307854,4,8
PI307855,5,8
PI307856,5,8
PI307857,5,8
PI307858,4,8
PI307860,4,8
PI307861,5,8
PI307862,5,8
PI307863,5,8
PI307864,5,8
PI307869,4,8
PI307874,5,8
PI307875,5,8
PI307877,4,8
PI307879,5,8
PI307881,5,8
PI307883,4,8
PI307886,5,8
PI307887,5,8
PI307890,5,8
PI307892,5,8
PI307893,5,8
PI307894,5,8
PI307895,5,8
PI307896,5,8
PI307897,5,8
PI307898,5,8
PI307900,5,8
PI309658,5,8
PI310439,5,8
PI310441,5,8
PI312222,5,8
PI315701,4,8
PI317332,5,8
PI317333,5,8
PI317335,5,8
PI317336,5,8
PI317337,5,8
PI319525,5,8
PI319526,5,8
PI319527,5,8
PI319528,5,8
PI319529,5,8
PI319530,5,8
PI319531,5,8
PI319532,5,8
PI319533,5,8
PI319538,5,8
PI322689,4,8
PI322690,5,8
PI322691,4,8
PI322692,5,8
PI322693,5,8
PI322694,5,8
PI322695,5,8
PI323275,4,8
PI323276,4,8
PI323278,5,8
PI323550,4,8
PI323551,5,8
PI323552,4,8
PI323553,4,8
PI323554,5,8
PI323555,5,8
PI323556,5,8
PI323557,5,8
PI323558,5,8
PI323559,5,8
PI323560,5,8
PI323561,5,8
PI323562,5,8
PI323563,5,8
PI323564,5,8
PI323565,5,8
PI323567,4,8
PI323569,5,8
PI323570,5,8
PI323572,4,8
PI323573,5,8
PI323574,4,8
PI323575,5,8
PI323577,5,8
PI323578,4,8
PI323579,5,8
PI323580,4,8
PI324066,5,8
PI324067,4,8
PI324068,5,8
PI324189,5,8
PI324190,5,8
PI324924,5,8
PI326578,5,8
PI326579,5,8
PI326580,5,8
PI330633,4,8
PI330634,5,8
PI330635,4,8
PI331793,5,8
PI331794,5,8
PI331795,5,8
PI339734,5,8
PI339736,5,8
PI339866,5,8
PI339867,5,8
PI339869,5,8
PI339870,5,8
PI339977,5,8
PI339978,5,8
PI339979,5,8
PI339980,5,8
PI339981,5,8
PI339982,5,8
PI339983,5,8
PI339984,5,8
PI339985,5,8
PI339986,5,8
PI339987,5,8
PI339988,5,8
PI339989,5,8
PI339990,5,8
PI339991,5,8
PI339992,4,8
PI339993,5,8
PI339994,5,8
PI339995,5,8
PI339996,5,8
PI339997,5,8
PI339998,5,8
PI339999,5,8
PI340000,5,8
PI340001,5,8
PI340002,5,8
PI340003,5,8
PI340004,4,8
PI340005,5,8
PI340006,5,8
PI340007,5,8
PI340008,5,8
PI340009,4,8
PI340010,5,8
PI340011,5,8
PI340012,5,8
PI340013,5,8
PI340014,5,8
PI340015,5,8
PI340016,5,8
PI340017,5,8
PI340018,5,8
PI340019,4,8
PI340020,5,8
PI340022,5,8
PI340023,5,8
PI340024,5,8
PI340025,5,8
PI340026,4,8
PI340027,5,8
PI340028,5,8
PI340029,5,8
PI340030,5,8
PI340032,5,8
PI340033,5,8
PI340034,5,8
PI340035,5,8
PI340036,5,8
PI340037,5,8
PI340038,5,8
PI340039,5,8
PI340040,5,8
PI340041,5,8
PI340042,5,8
PI340043,4,8
PI340044,5,8
PI340045,5,8
PI340046,5,8
PI340047,5,8
PI340048,5,8
PI340049,5,8
PI340050,5,8
PI340051,5,8
PI340052,5,8
PI340054,5,8
PI340902,5,8
PI341243,5,8
PI341245,5,8
PI341252,5,8
PI341253,5,8
PI341254,5,8
PI341255,5,8
PI341258,5,8
PI341259,5,8
PI341262,4,8
PI341263,5,8
PI341264,5,8
PI342002,5,8
PI342003,5,8
PI342004,5,8
PI342005,5,8
PI342436,5,8
PI342437,5,8
PI342438,5,8
PI346298,1,8
PI346300,4,8
PI346301,5,8
PI346302,5,8
PI346304,5,8
PI346305,5,8
PI346306,5,8
PI346307,5,8
PI346308,5,8
PI346309,5,8
PI347541,5,8
PI347542,5,8
PI347543,5,8
PI347545,5,8
PI347548,5,8
PI347549,5,8
PI347551,5,8
PI347554,5,8
PI347555,5,8
PI347556,5,8
PI347560,5,8
PI347561,5,8
PI347567,5,8
PI347568,5,8
PI347570,5,8
PI355067,5,8
PI355069,5,8
PI355070,5,8
PI358313,5,8
PI358314,5,8
PI358319,5,8
PI358320,5,8
PI358322,5,8
PI358323,5,8
PI360835,5,8
PI360836,5,8
PI360837,5,8
PI360838,5,8
PI360839,5,8
PI360841,5,8
PI360842,5,8
PI360843,5,8
PI360844,4,8
PI360845,4,8
PI360846,5,8
PI360847,5,8
PI360848,5,8
PI360850,5,8
PI360952,5,8
PI360953,5,8
PI360954,5,8
PI360957,5,8
PI360958,5,8
PI360959,5,8
PI360962,5,8
PI360964,5,8
PI360965,5,8
PI361053,5,8
PI361055,5,8
PI361056,5,8
PI361057,5,8
PI361058,5,8
PI361060,5,8
PI361063,5,8
PI361064,5,8
PI361067,5,8
PI361068,5,8
PI361069,5,8
PI361070,5,8
PI361072,5,8
PI361073,5,8
PI361074,5,8
PI361075,5,8
PI361078,5,8
PI361080,5,8
PI361081,5,8
PI361082,5,8
PI361083,5,8
PI361084,5,8
PI361086,5,8
PI361087,5,8
PI361089,5,8
PI361090,5,8
PI361091,5,8
PI361092,5,8
PI361093,5,8
PI361094,5,8
PI361095,5,8
PI361096,5,8
PI361098,5,8
PI361099,5,8
PI361100,5,8
PI361101,5,8
PI361102,4,8
PI361103,5,8
PI361104,5,8
PI361107,5,8
PI361108,5,8
PI361109,5,8
PI361110,5,8
PI361111,5,8
PI361113,5,8
PI361114,5,8
PI361115,5,8
PI361116,5,8
PI361117,5,8
PI361119,5,8
PI361121,5,8
PI361122,5,8
PI365426,5,8
PI366036,5,8
PI368037,5,8
PI368038,5,8
PI368039,5,8
PI370055,5,8
PI370056,5,8
PI370058,5,8
PI370059,5,8
PI371607,4,8
PI371609,5,8
PI371610,5,8
PI371611,5,8
PI371612,5,8
PI372402,5,8
PI372406,5,8
PI372407,5,8
PI372408,5,8
PI372409,5,8
PI372410,5,8
PI372412,5,8
PI372413,5,8
PI372417,5,8
PI372418,5,8
PI372419,5,8
PI372420,4,8
PI372422,5,8
PI372423,5,8
PI372424,5,8
PI374154,5,8
PI374155,5,8
PI374156,5,8
PI374157,5,8
PI374158,5,8
PI374159,5,8
PI374160,5,8
PI374161,5,8
PI374162,5,8
PI374163,5,8
PI374164,5,8
PI374165,5,8
PI374166,5,8
PI374168,5,8
PI374169,5,8
PI374170,5,8
PI374171,5,8
PI374172,5,8
PI374173,5,8
PI374174,5,8
PI374175,5,8
PI374176,5,8
PI374177,5,8
PI374178,5,8
PI374179,5,8
PI374180,5,8
PI374181,5,8
PI374182,5,8
PI374183,5,8
PI374184,5,8
PI374185,5,8
PI374186,5,8
PI374187,5,8
PI374189,4,8
PI374190,5,8
PI374191,5,8
PI374193,5,8
PI374194,5,8
PI374196,5,8
PI374197,5,8
PI374198,5,8
PI374199,5,8
PI374201,5,8
PI374202,5,8
PI374203,5,8
PI374204,5,8
PI374205,5,8
PI374207,5,8
PI374219,4,8
PI374220,4,8
PI374221,5,8
PI376069,5,8
PI376070,5,8
PI376844,5,8
PI376845,5,8
PI377573,5,8
PI377574,5,8
PI377575,5,8
PI377576,5,8
PI377577,5,8
PI377578,5,8
PI378655,5,8
PI378657,5,8
PI378658,5,8
PI378659,5,8
PI378661,5,8
PI378662,5,8
PI378663,5,8
PI378666,5,8
PI378667,5,8
PI378668,5,8
PI378671,5,8
PI378672,5,8
PI378673,5,8
PI378678,5,8
PI378679,5,8
PI378681,5,8
PI379556,5,8
PI379560,5,8
PI379561,5,8
PI379563,5,8
PI379618,4,8
PI379619,4,8
PI379620,5,8
PI379621,5,8
PI379622,5,8
PI379623,5,8
PI381656,5,8
PI381657,5,8
PI381659,5,8
PI381660,5,8
PI381662,5,8
PI381663,5,8
PI381664,4,8
PI381665,5,8
PI381666,5,8
PI381667,5,8
PI381668,5,8
PI381669,5,8
PI381670,5,8
PI381671,5,8
PI381672,5,8
PI381673,5,8
PI381674,5,8
PI381675,5,8
PI381676,5,8
PI381677,5,8
PI381678,4,8
PI381679,5,8
PI381680,5,8
PI381681,4,8
PI381682,4,8
PI381683,5,8
PI381684,5,8
PI381685,4,8
PI383276,5,8
PI383277,5,8
PI383278,5,8
PI384467,5,8
PI384470,5,8
PI384473,5,8
PI384474,5,8
PI385942,5,8
PI385943,4,8
PI391577,5,8
PI391578,5,8
PI391583,5,8
PI391584,5,8
PI391586,5,8
PI391597,5,8
PI393535,5,8
PI393537,5,8
PI393538,5,8
PI393540,5,8
PI393542,4,8
PI393543,5,8
PI393544,4,8
PI393545,5,8
PI393546,5,8
PI393547,5,8
PI393548,4,8
PI393549,4,8
PI393550,5,8
PI393563,5,8
PI398181,5,8
PI398182,5,8
PI398183,4,8
PI398184,4,8
PI398185,5,8
PI398186,5,8
PI398187,5,8
PI398188,5,8
PI398189,5,8
PI398190,5,8
PI398191,5,8
PI398192,5,8
PI398193,5,8
PI398195,5,8
PI398196,5,8
PI398197,5,8
PI398198,5,8
PI398199,5,8
PI398200,5,8
PI398201,5,8
PI398202,5,8
PI398203,5,8
PI398204,5,8
PI398205,5,8
PI398206,5,8
PI398207,5,8
PI398209,5,8
PI398210,5,8
PI398211,5,8
PI398212,5,8
PI398213,5,8
PI398214,5,8
PI398215,5,8
PI398216,5,8
PI398217,5,8
PI398218,5,8
PI398219,5,8
PI398220,5,8
PI398221,5,8
PI398222,5,8
PI398224,5,8
PI398225,5,8
PI398227,5,8
PI398228,5,8
PI398229,4,8
PI398230,5,8
PI398231,5,8
PI398232,5,8
PI398233,5,8
PI398234,5,8
PI398235,5,8
PI398236,5,8
PI398237,5,8
PI398238,5,8
PI398239,5,8
PI398240,5,8
PI398241,5,8
PI398242,5,8
PI398243,5,8
PI398245,5,8
PI398246,5,8
PI398248,5,8
PI398249,5,8
PI398250,5,8
PI398251,5,8
PI398253,5,8
PI398254,5,8
PI398255,5,8
PI398256,5,8
PI398257,5,8
PI398258,5,8
PI398259,5,8
PI398260,5,8
PI398261,5,8
PI398262,5,8
PI398263,5,8
PI398264,5,8
PI398265,5,8
PI398266,5,8
PI398267,5,8
PI398269,5,8
PI398270,5,8
PI398271,5,8
PI398273,5,8
PI398274,5,8
PI398277,4,8
PI398279,5,8
PI398281,5,8
PI398283,5,8
PI398284,4,8
PI398285,5,8
PI398286,5,8
PI398287,4,8
PI398288,5,8
PI398289,5,8
PI398290,5,8
PI398291,5,8
PI398292,5,8
PI398293,5,8
PI398294,5,8
PI398295,5,8
PI398297,5,8
PI398298,5,8
PI398299,5,8
PI398300,5,8
PI398301,5,8
PI398302,5,8
PI398303,5,8
PI398305,5,8
PI398306,5,8
PI398307,5,8
PI398308,5,8
PI398309,4,8
PI398310,5,8
PI398311,5,8
PI398313,5,8
PI398314,5,8
PI398315,5,8
PI398316,5,8
PI398317,5,8
PI398318,4,8
PI398319,4,8
PI398320,5,8
PI398322,4,8
PI398323,5,8
PI398324,5,8
PI398325,5,8
PI398326,5,8
PI398327,5,8
PI398328,5,8
PI398329,5,8
PI398330,5,8
PI398331,5,8
PI398332,5,8
PI398333,4,8
PI398334,5,8
PI398335,5,8
PI398336,4,8
PI398337,4,8
PI398338,5,8
PI398339,4,8
PI398340,5,8
PI398341,5,8
PI398342,5,8
PI398343,5,8
PI398344,5,8
PI398345,5,8
PI398346,5,8
PI398347,5,8
PI398348,5,8
PI398351,4,8
PI398352,4,8
PI398354,5,8
PI398355,5,8
PI398357,5,8
PI398360,5,8
PI398361,5,8
PI398362,5,8
PI398363,5,8
PI398364,5,8
PI398365,5,8
PI398366,5,8
PI398367,5,8
PI398369,5,8
PI398370,5,8
PI398371,5,8
PI398372,5,8
PI398373,5,8
PI398374,5,8
PI398375,5,8
PI398379,5,8
PI398380,5,8
PI398382,5,8
PI398383,5,8
PI398384,5,8
PI398385,5,8
PI398386,5,8
PI398388,5,8
PI398389,5,8
PI398390,5,8
PI398391,5,8
PI398392,5,8
PI398393,4,8
PI398394,5,8
PI398395,5,8
PI398396,5,8
PI398397,5,8
PI398398,5,8
PI398401,5,8
PI398404,5,8
PI398405,5,8
PI398406,5,8
PI398407,5,8
PI398408,5,8
PI398409,4,8
PI398410,5,8
PI398411,5,8
PI398412,5,8
PI398414,5,8
PI398415,5,8
PI398416,5,8
PI398417,5,8
PI398419,5,8
PI398420,5,8
PI398421,5,8
PI398422,5,8
PI398423,5,8
PI398424,5,8
PI398425,5,8
PI398426,5,8
PI398427,5,8
PI398429,5,8
PI398430,5,8
PI398431,5,8
PI398432,5,8
PI398433,5,8
PI398434,5,8
PI398436,5,8
