acid,Fe2.10002
PI417076,5
PI423937,5
PI424199,5
PI548571,5
PI398955,5
PI391594,5
PI404160B,5
PI404171,5
PI391589B,5
PI415073A,5
PI384469B,5
PI407726,5
PI548609,5
PI518670,5
PI548507,5
PI548508,5
PI548509,5
PI548540,5
PI548543,5
PI548608,5
PI548610,5
PI548617,5
PI548680,5
PI548620,5
PI518669,5
PI548570,5
PI548581,5
