acid,SCN4.492579,SCN4code.492579
PI540556,1,0.6
PI567333A,1,1
PI567354,1,1
PI567360,1,1
PI567429C,2,2
PI567335A,2,2
PI567432B,2,2
PI567445B,2,2
PI567349A,2,2
PI567373B,2,2
PI567492,4,2.5
PI567581,4,2.5
PI567421,4,2.5
PI567512B,4,2.5
PI567433B,4,2.5
PI567425A,4,2.5
PI567396A,4,2.5
PI567415A,4,2.5
PI567429D,4,2.5
PI567429E,4,2.5
PI567376A,4,2.5
PI567390,4,2.5
PI567400,4,2.5
PI567377B,4,2.5
PI567457,4,2.7
PI567452,4,2.7
PI567507B,4,2.7
PI567568A,4,2.7
PI567364,4,2.7
PI567373A,4,2.7
PI567398,4,2.7
PI567434,4,2.7
PI567510A,4,2.7
PI567583C,4,2.7
PI567429A,4,2.7
PI567444,4,2.7
PI567470,4,2.7
PI567418A,4,2.7
PI567472,4,2.7
PI567392,4,2.7
PI567650B,4,3
PI567441C,4,3
PI567464,4,3
PI567429B,4,3
PI567550,4,3
PI567566,4,3
PI567597A,4,3
PI567590A,4,3
PI567642A,4,3
PI567534,4,3
PI567535A,4,3
PI567533,4,3
PI567541B,4,3
PI567542,4,3
PI567660A,4,3
PI567513,4,3
PI567473D,4,3
PI567477,4,3
PI567496,4,3
PI567529,4,3
PI567651,4,3
PI567560,4,3
PI567650A,4,3
PI567494,4,3
PI567487,4,3
PI567474,4,3
PI567561,4,3
PI567365,4,3
PI567341,4,3
PI567473A,4,3
PI567476,4,3
PI567303A,4,3
PI567571,4,3
PI567460,4,3
PI567552,4,3
PI567479,4,3
PI567548,4,3
PI567422,4,3
PI567507A,4,3
PI567543C,4,3
PI567366A,4,3
PI567667B,4,3
PI567497,4,3
PI567491A,4,3
PI567516C,4,3
PI567577,4,3
PI567294,4,3
PI567433A,4,3
PI567449,4,3
PI567543B,4,3
PI567564,4,3
PI567572A,4,3
PI567573B,4,3
PI567593B,4,3
PI567423,4,3
PI567468,4,3
PI567485,4,3
PI567417C,4,3
PI567512C,4,3
PI567551,4,3
PI567582A,4,3
PI567585A,4,3
PI567598A,4,3
PI567672,4,3
PI567583B,4,3
PI567614C,4,3
PI567362B,4,3
PI567369A,4,3
PI567463,4,3
PI567580A,4,3
PI567363A,4,3
PI567443,4,3
PI567673B,4,3
PI567574B,4,3
PI567614A,4,3
PI567435A,4,3
PI567473C,4,3
PI567659,4,3
PI567565,4,3
PI567424A,4,3
PI567540A,4,3
PI567584,4,3
PI567547,4,3
PI567507C,4,3
PI567473B,4,3
PI567645B,4,3
PI567431,4,3
PI567478,4,3
PI567484,4,3
PI567597B,4,3
PI567600,4,3
PI567640,4,3
PI567642B,4,3
PI567671C,4,3
PI567549B,4,3
PI567583D,4,3
PI567435B,4,3
PI567409A,4,3
PI567335B,4,3
PI567378,4,3
PI567402,4,3
PI567339,4,3
PI567389B,4,3
PI567657,4,3
PI567340,4,3
PI567568B,4,3
PI567660B,4,3
PI567312,4,3
PI567379C,4,3
PI567409B,4,3
PI567308,4,3
PI567459,4,3
PI567466B,4,3
PI567380,4,3
PI567382C,4,3
PI567417B,4,3
PI567289B,4,3
PI567287,4,3
PI567286,4,3
PI567368,4,3.2
PI567610B,4,3.3
PI567649,4,3.3
PI567635,4,3.3
PI567617B,4,3.3
PI567607A,4,3.3
PI567539,4,3.3
PI567536,4,3.3
PI567546,4,3.3
PI567559,4,3.3
PI567585B,4,3.3
PI567609,4,3.3
PI567644,4,3.3
PI567633,4,3.3
PI567642C,4,3.3
PI567438,4,3.3
PI567645A,4,3.3
PI567627B,4,3.3
PI567674,4,3.3
PI567616,4,3.3
PI567665,4,3.3
PI567647B,4,3.3
PI567381A,4,3.3
