acid,bp488001,
PI408024,1,8
PI408027,1,8
PI408031,1,8
PI408034,2,8
PI408035,2,8
PI408037,1,8
PI408038,1,8
PI408040-1,2,10
PI408040-2,1,10
PI408041,1,8
PI408042,1,8
PI408043,1,8
PI408044,1,8
PI408045,2,8
PI408046,1,8
PI408047,1,8
PI408049,1,8
PI408051,3,8
PI408053,1,8
PI408054,1,8
PI408055D,1,9
PI408056,1,8
PI408059,1,8
PI408060,2,8
PI408061,1,8
PI408063,1,8
PI408066B,1,9
PI408067B,3,9
PI408068C,3,9
PI408076C,1,9
PI408077,1,8
PI408078,1,8
PI408079B,1,9
PI408080,1,8
PI408081,2,8
PI408082,2,8
PI408083B,1,9
PI408084A,1,9
PI408084C,1,9
PI408085,1,8
PI408086,1,8
PI408087,2,8
PI408088,2,8
PI408091,1,8
PI408092C,2,9
PI408093,1,8
PI408094-1,1,10
PI408094-2,1,10
PI408095C,2,9
PI408096,1,8
PI408098,1,8
PI408099,1,8
PI408100A,1,9
PI408101,2,8
PI408102,1,8
PI408104,1,8
PI408106,1,8
PI408107,1,8
PI408109B,2,9
PI408110B,2,9
PI408112,1,8
PI408113,1,8
PI408115,1,8
PI408117,1,8
PI408118,1,8
PI408120,1,8
PI408121,1,8
PI408122,3,8
PI408123,2,8
PI408127,2,8
PI408129,2,8
PI408134B,1,9
PI408134C,1,9
PI408139,2,8
PI408141,1,8
PI408142,1,8
PI408143,1,8
PI408144,1,8
PI408145,1,8
PI408146,1,8
PI408147,1,8
PI408148,1,8
PI408149,1,8
PI408150,1,8
PI408151,2,8
PI408152,1,8
PI408153,1,8
PI408154,1,8
PI408155,1,8
PI408156,1,8
PI408157,1,8
PI408158,1,8
PI408159,1,8
PI408160,2,8
PI408161,1,8
PI408162,1,8
PI408163,1,8
PI408164,1,8
PI408165,3,8
PI408166C,1,9
PI408167A,4,9
PI408167B,3,9
PI408167C,3,9
PI408168,1,8
PI408169C,3,9
PI408176,1,8
PI408177,1,8
PI408180-1,2,10
PI408180-2,1,10
PI408181B,1,9
PI408181C,1,9
PI408182,1,8
PI408183,1,8
PI408184B,3,9
PI408185,2,8
PI408186A,2,9
PI408186C,1,9
PI408188,1,8
PI408190,1,8
PI408191A,1,9
PI408191B,1,9
PI408192-1,1,10
PI408192-2,1,10
PI408195,2,8
PI408200B,4,9
PI408202,1,8
PI408204,1,8
PI408205,2,8
PI408206-1,1,10
PI408206-2,1,10
PI408207-1,2,10
PI408207-2,1,10
PI408208,1,8
PI408213,2,8
PI408215B,2,9
PI408218,1,8
PI408219,2,8
PI408220,2,8
PI408221C,1,9
PI408223,1,8
PI408226B,3,9
PI408228A,5,9
PI408229B,3,9
PI408238-1,1,10
PI408238-2,2,10
PI408239,1,8
PI408240,1,8
PI408241,1,8
PI408242,1,8
PI408243,1,8
PI408244,1,8
PI408246-1,1,10
PI408246-2,1,10
PI408247,3,8
PI408250,3,8
PI408251,1,8
PI408252,1,8
PI408253,1,8
PI408254,1,8
PI408259B,2,9
PI408265C,3,9
PI408266,1,8
PI408267,3,8
PI408268,1,8
PI408269C,1,9
PI408270C,2,9
PI408274,1,8
PI408278,1,8
PI408279,1,8
PI408282,1,8
PI408283,2,8
PI408285C,1,9
PI408286,2,8
PI408293-2,1,10
PI408294B,1,9
PI408296B,2,9
PI408303,1,8
PI408304,1,8
PI408305,1,8
PI408307B,1,9
PI408308A,3,9
PI408308B,3,9
PI408311-2,1,10
PI408313,2,8
PI408317,1,8
PI408318B,1,9
PI408322,1,8
PI408323,1,8
PI408324,1,8
PI408325,1,8
PI408326,1,8
PI408327B,2,9
PI408328,1,8
PI408330,1,8
PI408331,1,8
PI408332B,1,9
PI408332C,3,9
PI408336,1,8
PI408337,1,8
PI408339,1,8
PI408340,1,8
PI408342,1,8
PI408343,1,8
PI408344,1,8
PI408345,1,8
PI416754,2,8
PI416758,2,8
PI416759,2,8
PI416760,2,8
PI416764,2,8
PI416765,2,8
PI416766,2,8
PI416767,2,8
PI416768,1,8
PI416770,3,8
PI416771,2,8
PI416775,3,8
PI416778,2,8
PI416781,2,8
PI416783,2,8
PI416785,2,8
PI416787,1,8
PI416788,1,8
PI416790,2,8
PI416792,2,8
PI416793,2,8
PI416794,1,8
PI416795,2,8
PI416796,1,8
PI416797,1,8
PI416798,2,8
PI416799,1,8
PI416800,2,8
PI416803,1,8
PI416804,2,8
PI416806,2,8
PI416807,2,8
PI416808,1,8
PI416809,2,8
PI416810,2,8
PI416811,2,8
PI416812,2,8
PI416813,3,8
PI416814,2,8
PI416815,2,8
PI416820,2,8
PI416821,2,8
PI416824,4,8
PI416827,2,8
PI416828,2,8
PI416838,2,8
PI416843,2,8
PI416844,1,8
PI416847,1,8
PI416848,2,8
PI416849,2,8
PI416850,1,8
PI416851,1,8
PI416860,2,8
PI416861,2,8
PI416867,3,8
PI416871,2,8
PI416876,2,8
PI416877,2,8
PI416881,2,8
PI416883,3,8
PI416885,2,8
PI416886,2,8
PI416893,3,8
PI416895,2,8
PI416899,2,8
PI416900,2,8
PI416901,2,8
PI416903,2,8
PI416907,2,8
PI416908,2,8
PI416909,2,8
PI416912,2,8
PI416922,2,8
PI416924,1,8
PI416925,2,8
PI416927,1,8
PI416928,3,8
PI416931,2,8
PI416932,2,8
PI416933,2,8
PI416935,2,8
PI416937,2,8
PI416938,2,8
PI416944,2,8
PI416947,3,8
PI416948,2,8
PI416949,2,8
PI416951,2,8
PI416955,2,8
PI416957,1,8
PI416960,2,8
PI416962,2,8
PI416969,2,8
PI416973,1,8
PI416977,2,8
PI416979,2,8
PI416980,4,8
PI416981,2,8
PI416982,2,8
PI416999,2,8
PI417000,2,8
PI417008,2,8
PI417009,2,8
PI417011,2,8
PI417013,2,8
PI417016,2,8
PI417025,2,8
PI417026,2,8
PI417031,2,8
PI417034,2,8
PI417036,1,8
PI417037,1,8
PI417038,2,8
PI417039,2,8
PI417041,1,8
PI417047,4,8
PI417048,2,8
PI417052,2,8
PI417053,2,8
PI417055,2,8
PI417058,1,8
PI417061,2,8
PI417063,3,8
PI417068,2,8
PI417069,2,8
PI417073,2,8
PI417074,2,8
PI417081,2,8
PI417083,1,8
PI417085,2,8
PI417088,2,8
PI417090,2,8
PI417093,1,8
PI417097,2,8
PI417098,2,8
PI417099,2,8
PI417103,2,8
PI417104,1,8
PI417105,2,8
PI417106,1,8
PI417108,2,8
PI417109,2,8
PI417110,2,8
PI417111,1,8
PI417112,3,8
PI417113,2,8
PI417114,2,8
PI417115,2,8
PI417116,2,8
PI417117,2,8
PI417118,2,8
PI417119,2,8
PI417120,2,8
PI417122,3,8
PI417123,2,8
PI417124,2,8
PI417125,2,8
PI417126,2,8
PI417127,2,8
PI417128,3,8
PI417130,2,8
PI417131,2,8
PI417132,3,8
PI417133,3,8
PI417134,2,8
PI417135B,2,9
PI417136,2,8
PI417141,2,8
PI417146,2,8
PI417149,2,8
PI417153,3,8
PI417156,2,8
PI417157,2,8
PI417158,2,8
PI417159,2,8
PI417164,2,8
PI417165,2,8
PI417166,1,8
PI417169,2,8
PI417172,2,8
PI417181,2,8
PI417188,2,8
PI417190,2,8
PI417193,2,8
PI417194,2,8
PI417197,2,8
PI417203,2,8
PI417204,2,8
PI417205,2,8
PI417206,3,8
PI417208,2,8
PI417209,2,8
PI417211,2,8
PI417212,2,8
PI417215,2,8
PI417216,2,8
PI417220,2,8
PI417221,2,8
PI417222,3,8
PI417223,2,8
PI417224,2,8
PI417235,1,8
PI417236,2,8
PI417237,2,8
PI417240,2,8
PI417247,2,8
PI417250,2,8
PI417251,2,8
PI417252,2,8
PI417253,2,8
PI417256,2,8
PI417258,2,8
PI417259,2,8
PI417261,2,8
PI417262,2,8
PI417263,2,8
PI417264,2,8
PI417265,2,8
PI417266,2,8
PI417267,2,8
PI417270,2,8
PI417271,2,8
PI417272,2,8
PI417273,2,8
PI417275,2,8
PI417277,2,8
PI417280,2,8
PI417281,2,8
PI417284,2,8
PI417288,2,8
PI417289,3,8
PI417290,1,8
PI417306,2,8
PI417307,2,8
PI417308,1,8
PI417309B,2,9
PI417310,2,8
PI417311,3,8
PI417313,2,8
PI417314,2,8
PI417316,2,8
PI417317,2,8
PI417318,3,8
PI417319,3,8
PI417320,2,8
PI417322,1,8
PI417329,1,8
PI417330,2,8
PI417331,2,8
PI417332,2,8
PI417335,2,8
PI417337,2,8
PI417341,2,8
PI417342,2,8
PI417346,1,8
PI417347,1,8
PI417348,2,8
PI417350,2,8
PI417351,2,8
PI417352,2,8
PI417356,2,8
PI417357,2,8
PI417358,2,8
PI417359,2,8
PI417360,2,8
PI417363,2,8
PI417366,2,8
PI417369,2,8
PI417370,2,8
PI417372,2,8
PI417373,2,8
PI417374,1,8
PI417375,2,8
PI417376,2,8
PI417377,2,8
PI417378,2,8
PI417379,2,8
PI417383,2,8
PI417385,2,8
PI417386,2,8
PI417387,2,8
PI417388,2,8
PI417390,1,8
PI417392,2,8
PI417394,2,8
PI417395,2,8
PI417396,2,8
PI417399,2,8
PI417402,2,8
PI417403,2,8
PI417404,2,8
PI417405,2,8
PI417406,2,8
PI417407,2,8
PI417408,2,8
PI417409,2,8
PI417410,2,8
PI417411,2,8
PI417414A,1,9
PI417415,1,8
PI417416,2,8
PI417418,2,8
PI417419,2,8
PI417420,2,8
PI417421,2,8
PI417422,2,8
PI417423,2,8
PI417426,2,8
PI417427,1,8
PI417428,1,8
PI417430,2,8
PI417439,2,8
PI417440,2,8
PI417441,2,8
PI417442,2,8
PI417443,2,8
PI417444,1,8
PI417445,2,8
PI417462,2,8
PI417463,2,8
PI417464,2,8
PI417465,2,8
PI417466,2,8
PI417467,2,8
PI417469,2,8
PI417470,2,8
PI417472D,2,9
PI417473,2,8
PI417474,1,8
PI417475,2,8
PI417477,1,8
PI417481,2,8
PI417483,2,8
PI417484,1,8
PI417486,2,8
PI417489,2,8
PI417490,2,8
PI417491,1,8
PI417492,2,8
PI417493,2,8
PI417494,2,8
PI417496,2,8
PI417497,3,8
PI417498,2,8
PI417499,1,8
PI417500,1,8
PI417501,2,8
PI417502,1,8
PI417503,2,8
PI417504,2,8
PI417505,1,8
PI417561,2,8
PI417562,2,8
PI417563,2,8
PI417566,2,8
PI417567,2,8
PI417569,2,8
PI417581,2,8
PI417582,2,8
PI423720,5,8
PI423722,2,8
PI423723,5,8
PI423724,5,8
PI423726,1,8
PI423727,1,8
PI423732,2,8
PI423738,1,8
PI423742,1,8
PI423745,1,8
PI423751,1,8
PI423754,1,8
PI423758,1,8
PI423759,2,8
PI423760,1,8
PI423761,1,8
PI423762,1,8
PI423764,1,8
PI423767,1,8
PI423772,1,8
PI423773,1,8
PI423774,1,8
PI423775,1,8
PI423781A,3,9
PI423781B,3,9
PI423782,2,8
PI423785,1,8
PI423786,2,8
PI423799C,3,9
PI423801,3,8
PI423804,1,8
PI423805,1,8
PI423806,1,8
PI423807,1,8
PI423810,2,8
PI423817,1,8
PI423820,2,8
PI423823,1,8
PI423824,1,8
PI423827B,1,9
PI423828,1,8
PI423832,3,8
PI423834,1,8
PI423837B,2,9
PI423840,1,8
PI423844,3,8
PI423847,1,8
PI423854,1,8
PI423855,1,8
PI423856,1,8
PI423857,2,8
PI423860,1,8
PI423862,2,8
PI423873,3,8
PI423874,3,8
PI423875,1,8
PI423876,1,8
PI423886,1,8
PI423901-1,3,10
PI423901-2,3,10
PI423904,1,8
PI423906,3,8
PI423908,4,8
PI423911,2,8
PI423912,1,8
PI423913,3,8
PI423914B,3,9
PI423915,1,8
PI423917,4,8
PI423919,3,8
PI423920,2,8
PI423922,4,8
PI423923,3,8
PI423924,2,8
PI423925,1,8
PI423928,2,8
PI423957,2,8
PI423958,4,8
PI423959,4,8
PI423962,2,8
PI423963,2,8
PI423964,2,8
PI423965,3,8
PI423966,4,8
PI423968,2,8
PI423969,3,8
PI423970,2,8
PI423972,2,8
PI423981,3,8
PI423982,3,8
PI423984,3,8
PI423985,3,8
PI424131,3,8
PI424136,3,8
PI424137A,3,9
PI424137B,3,9
PI424138,3,8
PI424141A,3,9
PI424141B,3,9
PI424144,2,8
PI424156C,3,9
PI424156D,2,9
PI424166,1,8
PI424170,1,8
PI424176,3,8
PI424178A,1,9
PI424178B,1,9
PI424182A,3,9
PI424183,3,8
PI424186,3,8
PI424187,3,8
PI424212,3,8
PI424213,3,8
PI424218,2,8
PI424222B,3,9
PI424222C,3,9
PI424237B,2,9
PI424240,3,8
PI424248,2,8
PI424251B,1,9
PI424269B,1,9
PI424269C,2,9
PI424290,2,8
PI424294C,2,9
PI424296C,3,9
PI424300B,2,9
PI424309B,3,9
PI424324B,1,9
PI424325,3,8
PI424331,3,8
PI424333,2,8
PI424334,3,8
PI424337-1,2,10
PI424340A,3,9
PI424340B,2,9
PI424341,3,8
PI424362,1,8
PI424363,2,8
PI424365,2,8
PI424376,3,8
PI424378,1,8
PI424390,3,8
PI424392,1,8
PI424393,1,8
PI424394,1,8
PI424398,3,8
PI424404,3,8
PI424415,3,8
PI424417,3,8
PI424418,3,8
PI424439,3,8
PI424440,3,8
PI424441,3,8
PI424445,3,8
PI424446,3,8
PI424448,3,8
PI424451,2,8
PI424455,3,8
PI424457,2,8
PI424474-1,2,10
PI424474-2,2,10
PI424475,2,8
PI424480,1,8
PI424482,4,8
PI424491B,1,9
PI424493B,3,9
PI424496,1,8
PI424507,2,8
PI424508,1,8
PI424510,1,8
PI424514,3,8
PI424515,2,8
PI424521B,3,9
PI424526,2,8
PI424551,3,8
PI424553,3,8
PI424558B,3,9
PI424560,3,8
PI424562,3,8
PI424576,2,8
PI424577,3,8
PI424578,3,8
PI424585,3,8
PI424586,3,8
PI424589,3,8
PI424593,2,8
PI424598,3,8
PI424601,3,8
PI424602,2,8
PI424603,3,8
PI424605B,2,9
PI424606,3,8
PI424616,3,8
PI427276,1,8
PI429328,2,8
PI429329,1,8
PI429330,2,8
PI430600B,1,9
PI430626,1,8
PI434981,2,8
PI434982,1,8
PI436563,2,8
PI436565,3,8
PI436566,3,8
PI436568,2,8
PI437126B,3,9
PI437126C,2,9
PI437562,2,8
PI437586B,3,9
PI437586C,3,9
PI437591,2,8
PI437668,3,8
PI437670,1,8
PI437671,3,8
PI437696,3,8
PI437717,2,8
PI437719,2,8
PI437734,1,8
PI437813,3,8
PI438278,1,8
PI438282B,1,9
PI438293,3,8
PI438294,2,8
PI438297,3,8
PI438302B,2,9
PI438306,2,8
PI438343,3,8
PI438344,2,8
PI438347,3,8
PI438425,3,8
PI438428,1,8
PI438430,2,8
PI438439,2,8
PI438440-1,2,10
PI438440-2,3,10
PI441352,2,8
PI441353,2,8
PI441355,2,8
PI441358,1,8
PI441359,1,8
PI441377,2,8
PI441378,3,8
PI441381,2,8
PI442003A,2,9
PI442003B,1,9
PI442009A,3,9
PI442009B,3,9
PI442014,3,8
PI442017,3,8
PI442020,2,8
PI445683,2,8
PI445842,3,8
PI445843,3,8
PI458024B,2,9
PI458025,3,8
PI458027,2,8
PI458028,3,8
PI458032,3,8
PI458033,2,8
PI458044,1,8
PI458045B,1,9
PI458048,2,8
PI458054,3,8
PI458058,3,8
PI458059,3,8
PI458068,3,8
PI458069,1,8
PI458070C,1,9
PI458070D,2,9
PI458072B,3,9
PI458073,2,8
PI458076,3,8
PI458081,1,8
PI458083,4,8
PI458085B,3,9
PI458091,4,8
PI458092,3,8
PI458093,3,8
PI458094,2,8
PI458096,3,8
PI458097,2,8
PI458099,1,8
PI458100,1,8
PI458102,1,8
PI458107,2,8
PI458108,2,8
PI458122,1,8
PI458124,2,8
PI458126,1,8
PI458127,1,8
PI458128,2,8
PI458130,2,8
PI458143,2,8
PI458146,3,8
PI458150A,3,9
PI458150B,3,9
PI458150C,5,9
PI458153,4,8
PI458154,3,8
PI458155,3,8
PI458159,2,8
PI458161,2,8
PI458162,3,8
PI458164,2,8
PI458167,3,8
PI458168,3,8
PI458170,2,8
PI458172B,2,9
PI458173,2,8
PI458174,1,8
PI458180,2,8
PI458182,2,8
PI458183,3,8
PI458185,3,8
PI458186,2,8
PI458187,3,8
PI458192,2,8
PI458193,2,8
PI458196,3,8
PI458198,3,8
PI458200,1,8
PI458206,3,8
PI458210,3,8
PI458211,3,8
PI458212,3,8
PI458213,3,8
PI458214,1,8
PI458215,2,8
PI458218,2,8
PI458219,1,8
PI458220,2,8
PI458223,1,8
PI458225,1,8
PI458228,2,8
PI458230B,3,9
PI458236B,3,9
PI458238,1,8
PI458239,3,8
PI458240,2,8
PI458241,2,8
PI458242,2,8
PI458243,1,8
PI458245,2,8
PI458250,1,8
PI458251,3,8
PI458253,2,8
PI458256,2,8
PI458257,2,8
PI458258,2,8
PI458260,3,8
PI458261,3,8
PI458263,3,8
PI458264,2,8
PI458265,1,8
PI458267,1,8
PI458268,2,8
PI458270,2,8
PI458271,2,8
PI458272,1,8
PI458273,2,8
PI458274,2,8
PI458275,2,8
PI458278A,2,9
PI458278B,3,9
PI458279,1,8
PI458281A,3,9
PI458281B,4,9
PI458283,1,8
PI458284,3,8
PI458285,3,8
PI458289,3,8
PI458291,2,8
PI458292,2,8
PI458293,3,8
PI458297,1,8
PI458300,1,8
PI458305,1,8
PI458306B,1,9
PI462312,3,8
PI464932,2,8
PI464933,3,8
PI468130,1,8
PI468131,2,8
PI468964,2,8
PI468965,2,8
PI468966,1,8
PI468967,2,8
PI468969,1,8
PI468970,3,8
PI468971,2,8
PI468972,2,8
PI468973,2,8
PI471903,3,8
PI471927,3,8
PI471931,2,8
PI471932,3,8
PI471933,3,8
PI471934,2,8
PI471935,3,8
PI471936,2,8
PI471938,3,8
PI471940,3,8
PI471941,4,8
PI471942,2,8
PI476879,2,8
PI476883,3,8
PI476884,2,8
PI476885,2,8
PI476888,3,8
PI476889,2,8
PI476890,2,8
PI476891,3,8
PI476892,1,8
PI476894,3,8
PI476895,3,8
PI476896,2,8
PI476897,3,8
PI476898,2,8
PI476900,3,8
PI476901,3,8
PI476907,3,8
PI476908,2,8
PI476910,2,8
PI476912,2,8
PI476913,2,8
PI476915,2,8
PI476916,3,8
PI476917,2,8
PI476918,3,8
PI476919,2,8
PI476920,2,8
PI476921,2,8
PI476924,2,8
PI476925,3,8
PI476929,2,8
PI476930,3,8
PI476931,2,8
PI476932,2,8
PI476933,2,8
PI476934,3,8
PI476943,2,8
PI481679,3,8
PI481683,3,8
PI481686,3,8
PI481690,3,8
PI481691,3,8
PI482602,3,8
PI483083,2,8
PI486328,1,8
PI486329,1,8
PI486330,2,8
PI486332,1,8
PI486335,3,8
PI494181,3,8
PI494752,2,8
PI494851,1,8
PI495019,2,8
PI497958,2,8
PI497960,3,8
PI497961,3,8
PI497962,2,8
PI497965,2,8
PI497966,3,8
PI497967,2,8
PI497968,2,8
PI499955,3,8
PI500648,2,8
PI504495,2,8
PI504507,3,8
PI504510,1,8
PI506471,3,8
PI506472,3,8
PI506473,3,8
PI506474,3,8
PI506475,3,8
PI506483,3,8
PI506484,3,8
PI506485,3,8
PI506486,2,8
PI506487,3,8
PI506488,3,8
PI506489,3,8
PI506490,3,8
PI506491,2,8
PI506492,3,8
PI506493,3,8
PI506494,3,8
PI506495,3,8
PI506496,3,8
PI506497,3,8
PI506499,3,8
PI506500,3,8
PI506501,3,8
PI506502,3,8
PI506503,3,8
PI506504,3,8
PI506505,3,8
PI506506,3,8
PI506507,3,8
PI506508,1,8
PI506509,3,8
PI506510,3,8
PI506512,3,8
PI506513,3,8
PI506514,3,8
PI506517,3,8
PI506518,3,8
PI506522,3,8
PI506530,1,8
PI506531,3,8
PI506532,3,8
PI506533,3,8
PI506534,3,8
PI506535,1,8
PI506536,3,8
PI506537,3,8
PI506538,3,8
PI506539,3,8
PI506540,1,8
PI506541,3,8
PI506542,1,8
PI506543,3,8
PI506544,3,8
PI506545,1,8
PI506546,3,8
PI506547,3,8
PI506548,3,8
PI506549,3,8
PI506550A,1,9
PI506550B,1,9
PI506551,3,8
PI506552,3,8
PI506553,3,8
PI506554,3,8
PI506555,3,8
PI506556,3,8
PI506557,1,8
PI506558,3,8
PI506559,1,8
PI506561,1,8
PI506564,3,8
PI506565,3,8
PI506566,1,8
PI506567,1,8
PI506568,1,8
PI506569,3,8
PI506570,1,8
PI506571,3,8
PI506577,1,8
PI506578,1,8
PI506579,3,8
PI506580,3,8
PI506582,3,8
PI506583,3,8
PI506584,3,8
PI506585A,3,9
PI506585B,3,9
PI506586,3,8
PI506589,3,8
PI506593,3,8
PI506594,3,8
PI506597,3,8
PI506598,3,8
PI506599,3,8
PI506600,4,8
PI506603,3,8
PI506604,1,8
PI506605,3,8
PI506606,3,8
PI506607,3,8
PI506608,3,8
PI506611,3,8
PI506612,3,8
PI506613,3,8
PI506614,3,8
PI506615,3,8
PI506616,3,8
PI506617,3,8
PI506618,3,8
PI506619,2,8
PI506620,3,8
PI506621,3,8
PI506622,2,8
PI506623,3,8
PI506624,3,8
PI506625,3,8
PI506626,3,8
PI506627,3,8
PI506628,2,8
PI506629,3,8
PI506630,3,8
PI506632,3,8
PI506633,3,8
PI506636,3,8
PI506638,3,8
PI506639,3,8
PI506640,3,8
PI506643,3,8
PI506644,3,8
PI506645,2,8
PI506646,3,8
PI506647,3,8
PI506648,3,8
PI506649,1,8
PI506650,3,8
PI506651,1,8
PI506653,3,8
PI506656,3,8
PI506660,3,8
PI506664,3,8
PI506665,2,8
PI506666,3,8
PI506667,3,8
PI506668,3,8
PI506670,3,8
PI506675,3,8
PI506676,3,8
PI506677,1,8
PI506679,2,8
PI506680,2,8
PI506682,3,8
PI506686,3,8
PI506687,3,8
PI506688,1,8
PI506689,3,8
PI506690,3,8
PI506691,3,8
PI506694,3,8
PI506695,3,8
PI506696,1,8
PI506702,3,8
PI506704,3,8
PI506706,3,8
PI506707,3,8
PI506708,3,8
PI506712,2,8
PI506713,3,8
PI506714,1,8
PI506717,3,8
PI506718,3,8
PI506719,3,8
PI506725,3,8
PI506729,3,8
PI506730,3,8
PI506733B,3,9
PI506735A,3,9
PI506735B,3,9
PI506736,3,8
PI506737,3,8
PI506738,3,8
PI506739,3,8
PI506740,3,8
PI506741,1,8
PI506742,3,8
PI506743,3,8
PI506744,3,8
PI506745,3,8
PI506746,3,8
PI506747,3,8
PI506748,3,8
PI506749,3,8
PI506750,3,8
PI506751,3,8
PI506752,3,8
PI506753,3,8
PI506754,3,8
PI506755,3,8
PI506756,3,8
PI506757,3,8
PI506761,3,8
PI506763,3,8
PI506764,3,8
PI506767,3,8
PI506768,3,8
PI506772,3,8
PI506773,3,8
PI506774,3,8
PI506775,3,8
PI506776,3,8
PI506777,3,8
PI506778,3,8
PI506780,3,8
PI506781,5,8
PI506783,3,8
PI506786,3,8
PI506791,3,8
PI506792,3,8
PI506794,3,8
PI506795,3,8
PI506796,3,8
PI506797,3,8
PI506798,3,8
PI506802,3,8
PI506804,3,8
PI506805,3,8
PI506806,3,8
PI506807,3,8
PI506810,3,8
PI506811,2,8
PI506812,3,8
PI506813,1,8
PI506817,3,8
PI506822,3,8
PI506826,3,8
PI506827,3,8
PI506828,3,8
PI506829,3,8
PI506830,3,8
PI506831,3,8
PI506834,2,8
PI506835,1,8
PI506844,2,8
PI506845,2,8
PI506846,3,8
PI506851,3,8
PI506854,3,8
PI506856,3,8
PI506871,3,8
PI506875,3,8
PI506877,3,8
PI506878,3,8
PI506879,3,8
PI506880,3,8
PI506884,1,8
PI506885,3,8
PI506886,3,8
PI506888,3,8
PI506889,1,8
PI506890,3,8
PI506891,3,8
PI506893,2,8
PI506902,3,8
PI506904,3,8
PI506905,3,8
PI506907,3,8
PI506908,3,8
PI506910,3,8
PI506914,1,8
PI506915,3,8
PI506919,3,8
PI506921,3,8
PI506922,3,8
PI506923,3,8
PI506924,3,8
PI506926,3,8
PI506934,3,8
PI506936,3,8
PI506938,3,8
PI506939,3,8
PI506940,3,8
PI506941,3,8
PI506944,3,8
PI506946,3,8
PI506947,3,8
PI506948,3,8
PI506949,3,8
PI506950,3,8
PI506952,3,8
PI506953,3,8
PI506955,3,8
PI506956,3,8
PI506957,3,8
PI506958,3,8
PI506959,2,8
PI506960,3,8
PI506961,3,8
PI506962,3,8
PI506963,3,8
PI506964,1,8
PI506965,1,8
PI506966,3,8
PI506967,3,8
PI506968,3,8
PI506969,3,8
PI506970,3,8
PI506971,3,8
PI506972,3,8
PI506974,3,8
PI506975,3,8
PI506976,3,8
PI506977,3,8
PI506978,3,8
PI506979,3,8
PI506980,3,8
PI506981,3,8
PI506983,3,8
PI506984,3,8
PI506985,2,8
PI506986,1,8
PI506988,3,8
PI506990,3,8
PI506991,3,8
PI506996,3,8
PI506997,3,8
PI506999,3,8
PI507000,1,8
PI507001,3,8
PI507002,1,8
PI507003,1,8
PI507004,1,8
PI507005,1,8
PI507006,3,8
PI507007,1,8
PI507008,3,8
PI507009,3,8
PI507010,3,8
PI507011,3,8
PI507012,3,8
PI507013,3,8
PI507014,1,8
PI507018,2,8
PI507020,1,8
PI507023,1,8
PI507024,1,8
PI507030,3,8
PI507031,3,8
PI507032,3,8
PI507033,3,8
PI507034,3,8
PI507035,1,8
PI507036,3,8
PI507037,3,8
PI507039,1,8
PI507040,3,8
PI507041,3,8
PI507042,1,8
PI507043,1,8
PI507044,3,8
PI507045,3,8
PI507046,3,8
PI507048,3,8
PI507049,3,8
PI507050,3,8
PI507052,3,8
PI507055,3,8
PI507056,1,8
PI507057,3,8
PI507058,3,8
PI507059,1,8
PI507068,3,8
PI507069,3,8
PI507070,3,8
PI507074,1,8
PI507075,1,8
PI507076,3,8
PI507077,3,8
PI507078,1,8
PI507079,3,8
PI507081,3,8
PI507084,1,8
PI507085,3,8
PI507087,3,8
PI507088,3,8
PI507095B,3,9
PI507096,3,8
PI507098,2,8
PI507099,3,8
PI507102,1,8
PI507103,1,8
PI507105,3,8
PI507109,3,8
PI507110,3,8
PI507111,3,8
PI507112,3,8
PI507113,3,8
PI507114,1,8
PI507115,3,8
PI507116,3,8
PI507117A,3,9
PI507117B,3,9
PI507118,1,8
PI507119,1,8
PI507120,3,8
PI507121,3,8
PI507122,3,8
PI507124,3,8
PI507126,3,8
PI507127,3,8
PI507128,3,8
PI507135,3,8
PI507136,3,8
PI507137,1,8
PI507138,3,8
PI507139,3,8
PI507140,3,8
PI507142,1,8
PI507143,1,8
PI507144,3,8
PI507146,1,8
PI507154,3,8
PI507156,1,8
PI507157,3,8
PI507159,3,8
PI507161,2,8
PI507170,3,8
PI507177,3,8
PI507183,3,8
PI507185,3,8
PI507186,3,8
PI507187,3,8
PI507192,3,8
PI507193,1,8
PI507194,1,8
PI507202,1,8
PI507203,3,8
PI507205,1,8
PI507206,1,8
PI507207,1,8
PI507208,1,8
PI507209,3,8
PI507210,3,8
PI507211,3,8
PI507212,3,8
PI507214,3,8
PI507215,3,8
PI507216A,3,9
PI507216B,3,9
PI507217,3,8
PI507218,3,8
PI507219,3,8
PI507220,3,8
PI507223,3,8
PI507224,3,8
PI507225,3,8
PI507227,1,8
PI507228,3,8
PI507230,3,8
PI507231,3,8
PI507233,3,8
PI507234,3,8
PI507235,3,8
PI507236,3,8
PI507242,3,8
PI507243,3,8
PI507246,3,8
PI507247,3,8
PI507249,3,8
PI507250,1,8
PI507251,3,8
PI507252,3,8
PI507254,3,8
PI507256,3,8
PI507257,3,8
PI507258,3,8
PI507259,1,8
PI507260,3,8
PI507261,3,8
PI507262,3,8
PI507263,3,8
PI507264,3,8
PI507266,3,8
PI507269,3,8
PI507270,3,8
PI507275,3,8
PI507276,1,8
PI507278,3,8
PI507283,1,8
PI507284,3,8
PI507287,3,8
PI507288,3,8
PI507290,3,8
PI507292,3,8
PI507298,3,8
PI507299,3,8
PI507300,3,8
PI507301,1,8
PI507302,3,8
PI507304,3,8
PI507305,3,8
PI507306,3,8
