acid,saltreact,
PI200528,3,8
PI200529,5,8
PI200530,3,8
PI200531,3,8
PI200532,3,8
PI200534,5,8
PI200538,3,8
PI200539,3,8
PI200542,3,8
PI200543,3,8
PI200544,5,8
PI200546,5,8
PI200547,3,8
PI200549,3,8
PI200550,3,8
PI200551,3,8
PI200553,5,8
PI200832,5,8
PI201421,5,8
PI201422,5,8
PI201423,3,8
PI201428,5,8
PI201431,5,8
PI203400,3,8
PI203404,5,8
PI203405,3,8
PI203406,3,8
PI204331,5,8
PI204332,3,8
PI204333,3,8
PI204334,3,8
PI204335,3,8
PI204336,3,8
PI204337,5,8
PI204338,5,8
PI204339,5,8
PI204340,5,8
PI205083,5,8
PI205903,5,8
PI205906,5,8
PI205907,5,8
PI205908,5,8
PI205909,5,8
PI205911,5,8
PI205912,3,8
PI205913,5,8
PI205914,3,8
PI205915,5,8
PI208204,5,8
PI208429,5,8
PI208430,5,8
PI208431,5,8
PI208432,5,8
PI208433,3,8
PI208434,3,8
PI208435,5,8
PI208437,5,8
PI208438,3,8
PI208782,5,8
PI208783,5,8
PI208784,5,8
PI208785,5,8
PI208788,3,8
PI208789,3,8
PI209333,5,8
PI209340,5,8
PI209577,3,8
PI209578,3,8
PI209833,5,8
PI209836,3,8
PI209837,3,8
PI209908,5,8
PI210178,3,8
PI210179,5,8
PI210348,5,8
PI210349,5,8
PI210352,5,8
PI210353,5,8
PI212604,5,8
PI212605,5,8
PI212606,5,8
PI212716,5,8
PI215693,3,8
PI215755,3,8
PI215811,5,8
PI219652,3,8
PI219653,5,8
PI219654,5,8
PI219655,5,8
PI219656,5,8
PI219698,5,8
PI219732,5,8
PI219780,5,8
PI219789,5,8
PI221713,5,8
PI221714,5,8
PI221715,3,8
PI221717,3,8
PI221972,5,8
PI221973,5,8
PI222397,5,8
PI222546,3,8
PI222547,5,8
PI222548,5,8
PI222550,3,8
PI224269,3,8
PI224270,5,8
PI224273,5,8
PI227160,5,8
PI227214,5,8
PI227219,5,8
PI227221,5,8
PI227222,5,8
PI227224,5,8
PI227555,5,8
PI227557,5,8
PI227567,5,8
PI228065,3,8
PI229315,5,8
PI229320,5,8
PI229321,5,8
PI229337,5,8
PI229346,5,8
PI229347,5,8
PI229358,5,8
PI230970,3,8
PI230971,3,8
PI230972,5,8
PI230973,3,8
PI230975,5,8
PI230976,5,8
PI230977,5,8
PI230978,5,8
PI230979,3,8
PI230980,3,8
PI235347,5,8
PI238929,5,8
PI255734,5,8
PI548438,5,8
PI548440,5,8
PI548442,3,8
PI548443,3,8
PI548444,3,8
PI548445,3,8
PI548446,3,8
PI548447,3,8
PI548448,3,8
PI548449,5,8
PI548450,5,8
PI548451,5,8
PI548453,5,8
PI548454,5,8
PI548455,3,8
PI548456,5,8
PI548457,5,8
PI548458,5,8
PI548459,5,8
PI548461,5,8
PI548462,5,8
PI548463,5,8
PI548465,5,8
PI548466,5,8
PI548467,5,8
PI548468,5,8
PI548469,3,8
PI548471,5,8
PI548472,5,8
PI548473,5,8
PI548474,5,8
PI548476,5,8
PI548477,5,8
PI548478,5,8
PI548479,3,8
PI548480,5,8
PI548481,3,8
PI548482,5,8
PI548483,5,8
PI548484,5,8
PI548485,5,8
PI548486,5,8
PI548487,3,8
PI548489,5,8
PI548490,5,8
PI548491,5,8
PI548492,5,8
PI548493,5,8
PI548494,5,8
PI548495,5,8
PI548496,5,8
PI548653,5,8
PI548654,5,8
PI548656,3,8
PI548657,5,8
PI081780S,5,9
PI082184S,5,9
PI084632S,5,9
PI085666S,5,9
PI086045S,5,9
PI086113S,3,9
PI088816S,5,9
PI089154S,5,9
PI091159S,5,9
PI092707S,3,9
PI093055S,5,9
PI103419A,5,9
PI123577A,5,9
PI157487A,5,9
PI159923A,5,9
PI548402S,5,9
