acid,SCN3.491576,SCN3code.491576
PI458051A,5,5
PI458051B,5,5
PI458052,5,5
PI458053A,5,5
PI458053B,5,5
PI458055,5,4.8
PI458056,5,5
PI458057,5,5
PI458060A,5,4.6
PI458060B,5,5
PI458061A,5,4.9
PI458061B,5,5
PI458062B,5,5
PI458063,5,5
PI458064,5,5
PI458065A,5,5
PI458065B,5,4.7
PI458066,5,5
PI458067A,5,4.8
PI458067B,5,5
PI458070A,5,5
PI458070B,5,5
PI458071,5,5
PI458074B,5,4.5
PI458079,5,4.4
PI458080,5,4.7
PI458082,5,4.7
PI458084,5,4.9
PI458086,5,4.8
PI458087,5,5
PI458090A,5,5
PI458090B,5,5
PI458098,5,5
PI458101,5,4.7
PI458103,5,4.2
PI458104,5,5
PI458106,5,4.2
PI458109,5,4.2
PI458110,5,4.7
PI458112A,5,4.6
PI458112B,5,4.8
PI458113,5,5
PI458115,5,4.7
PI458116,5,4.9
PI458118,5,4.7
PI458135,5,4.1
PI458137,5,4.1
PI458140,5,4.6
PI458142,5,4.5
PI458151,5,4.3
PI458158,5,4
PI458165,5,4.3
PI458166,5,4.3
PI458169A,5,4.7
PI458169B,5,4
PI458171A,5,4.8
PI458171B,5,5
PI458175A,5,4
PI458175C,5,4
PI458177,5,4.7
PI458178,5,4.7
PI458181,5,4.1
PI458189A,5,4.4
PI458201,5,4
PI458202A,5,4
PI458202B,5,4.8
PI458203A,5,4
PI458207,5,4.3
PI458224,5,4.8
PI458259,5,4.3
PI458262,5,4.5
PI458277,5,5
PI458280,5,4.7
PI458282,5,5
PI458286,5,4.6
PI458287,5,4.6
PI458288,5,4.8
PI458290,5,4.7
PI458295,5,4.4
PI458296,5,4.6
PI458299,5,4.5
PI458302,5,4.5
PI458303,5,4.5
PI458304,5,4.6
PI458306A,5,5
PI458505,5,4.8
PI458508A,5,5
PI458508B,5,4.7
PI458509,5,4.7
PI458510,5,4.5
PI458512,5,4.5
PI458521,5,4.6
PI458828,5,5
PI458829,5,5
PI458179,5,5
PI464888A,5,4.8
PI538382,5,4.5
PI479727,5,5
PI508296G,5,5
PI506779,5,5
PI507086,5,5
PI507107,5,5
PI532463B,5,5
PI538380,5,4.7
PI538386A,5,5
PI461508,5,4.3
PI464899,5,5
