acid,bpmvall,
PI548631,5,8
PI548633,5,8
PI548657,5,8
PI548661,4,8
PI548667,5,8
PI548677,5,8
PI548678,5,8
PI548980,5,8
PI548986,3,8
PI553038,3,8
PI553039,4,8
PI553044,4,8
PI553045,3,8
PI561394,5,8
PI561396,5,8
PI561398,5,8
PI567789,5,8
PI572239,4,8
PI576154,4,8
PI576440,4,8
PI583835,5,8
PI583837,4,8
PI591513,4,8
PI591515,4,8
PI591516,4,8
PI592756,4,8
PI593647,4,8
PI593972,4,8
PI594295,5,8
PI595753,5,8
PI596414,4,8
PI596752,3,8
PI597389,5,8
PI599333,3,8
PI602496,4,8
PI253651A,5,9
PI266807D,5,9
PI273483D,5,9
PI291274A,5,9
PI339865A,5,9
PI339868A,5,9
PI339868B,3,9
PI339868C,5,9
PI339868D,5,9
PI339868E,4,9
PI339868F,5,9
PI342435A,5,9
PI360955B,5,9
PI361059B,5,9
PI407913A,4,9
PI407913B,4,9
PI407975A,4,9
PI407975B,4,9
PI468408A,4,9
PI468408B,5,9
PI468408C,5,9
PI507441A,5,9
PI507441B,5,9
PI054610-1,5,10
PI054610-4,5,10
PI085009-1,5,10
PI088302-2,5,10
PI096194-3,5,10
