acid,Fe026,
PI587687A,5,9
PI587687B,5,9
PI587687D,2,9
PI587687E,3,9
PI587692A,5,9
PI587692B,3,9
PI587698A,5,9
PI587698B,5,9
PI587698C,5,9
PI587700A,5,9
PI587700B,5,9
PI587700C,4,9
PI587705A,3,9
PI587705B,4,9
PI587709A,5,9
PI587709B,3,9
PI587714B,5,9
PI587719B,2,9
PI587719C,2,9
PI587721A,4,9
PI587721B,5,9
PI587721C,3,9
PI587723A,3,9
PI587723B,3,9
PI587725A,5,9
PI587725B,5,9
PI587725C,2,9
PI587726A,4,9
PI587726B,5,9
PI587736A,5,9
PI587736B,4,9
PI587742A,5,9
PI587742B,5,9
PI587742C,5,9
PI587757A,5,9
PI587757B,5,9
PI587767A,3,9
PI587767B,4,9
PI587788B,4,9
PI587788C,2,9
PI587790A,5,9
PI587790B,5,9
PI587806A,3,9
PI587806B,5,9
PI587808A,5,9
PI587808B,5,9
PI587812A,6,9
PI587812B,4,9
PI587814C,4,9
PI587814D,4,9
PI587814E,3,9
PI587814F,3,9
PI587814G,4,9
PI587815A,5,9
PI587815B,4,9
PI587825A,5,9
PI587825B,5,9
PI587830A,5,9
PI587839A,5,9
PI587839B,5,9
PI587839C,5,9
PI587841A,4,9
PI587841B,5,9
PI587844A,6,9
PI587844B,5,9
PI587844C,5,9
PI587846B,4,9
PI587854A,3,9
PI587863A,2,9
PI587863B,4,9
PI587864A,2,9
PI587864B,5,9
PI587877A,5,9
PI587877B,5,9
PI587880A,2,9
PI587880B,2,9
PI587883A,2,9
PI587883B,3,9
PI587891A,6,9
PI587892B,2,9
PI587892C,5,9
PI587913A,6,9
PI587915A,5,9
PI587988A,5,9
PI587988B,3,9
PI587992A,2,9
PI587992B,2,9
PI587992C,4,9
PI587992D,5,9
PI587992E,4,9
PI587992F,4,9
PI587996B,5,9
PI587996D,2,9
PI587997A,5,9
PI587997B,5,9
PI588006A,2,9
PI588006B,4,9
PI588007B,5,9
PI588011B,3,9
PI588011C,3,9
PI588011D,2,9
PI588011E,2,9
PI588014B,5,9
PI588014C,5,9
PI588014D,4,9
PI588017A,5,9
PI588017B,5,9
PI588017C,5,9
PI588021B,2,9
PI588023A,5,9
PI588023B,2,9
PI588032A,4,9
PI588032B,2,9
PI588050B,5,9
PI588052C,4,9
PI588053A,5,9
PI588053B,5,9
PI593995A,4,9
PI593995B,5,9
PI594004A,5,9
PI594004B,2,9
PI594004C,5,9
PI594005C,2,9
PI594005D,4,9
PI594005E,4,9
PI594023B,4,9
PI407839-2,4,10
PI407937-2,5,10
PI407946-1,2,10
PI424337-2,4,10
PI424474-1,4,10
PI424474-2,5,10
