acid,Fe026,
PI368037,1,8
PI368038,5,8
PI368039,2,8
PI371607,3,8
PI371609,1,8
PI371612,2,8
PI374219,5,8
PI374220,5,8
PI374221,1,8
PI376069,5,8
PI376070,4,8
PI376844,4,8
PI377573,5,8
PI377575,4,8
PI377576,4,8
PI377577,2,8
PI377578,5,8
PI379619,5,8
PI379620,5,8
PI379621,3,8
PI379622,5,8
PI381660,5,8
PI381672,4,8
PI381679,5,8
PI381680,5,8
PI381681,4,8
PI381682,2,8
PI381683,5,8
PI393542,0,8
PI393543,5,8
PI393544,4,8
PI393545,4,8
PI393546,2,8
PI393547,2,8
PI393548,4,8
PI393549,1,8
PI393550,4,8
PI398192,5,8
PI398194,4,8
PI398220,5,8
PI398254,2,8
PI398292,2,8
PI398332,2,8
PI398361,5,8
PI398372,3,8
PI398469,2,8
PI398473,5,8
PI398479,5,8
PI398556,5,8
PI398557,2,8
PI398570,4,8
PI398575,5,8
PI398578,2,8
PI398580,4,8
PI398592,5,8
PI398598,2,8
PI398606,4,8
PI398611,2,8
PI398635,5,8
PI398646,5,8
PI398648,2,8
PI398718,4,8
PI398719,2,8
PI398721,2,8
PI398724,2,8
PI398729,2,8
PI398731,2,8
PI398732,5,8
PI398734,5,8
PI398736,4,8
PI398742,2,8
PI398769,4,8
PI398771,5,8
PI398781,2,8
PI398789,4,8
PI398794,2,8
PI398817,4,8
PI398824,4,8
PI398826,5,8
PI398827,4,8
PI398850,2,8
PI398853,2,8
PI398896,5,8
PI398925,2,8
PI398945,2,8
PI398950,2,8
PI398952,2,8
PI398956,4,8
PI398966,2,8
PI398967,5,8
PI398973,5,8
PI398978,4,8
PI398983,5,8
PI398998,1,8
PI398999,5,8
PI399041,5,8
PI399047,2,8
PI399048,3,8
PI399049,5,8
PI399053,5,8
PI399061,5,8
PI399087,5,8
PI399088,4,8
PI399090,2,8
PI399102,5,8
PI399104,5,8
PI407738,2,8
PI407743,2,8
PI407744,4,8
PI407771,4,8
PI407801,2,8
PI407945,4,8
PI407964,2,8
PI407967,1,8
PI407969,1,8
PI407997,2,8
PI408007,0,8
PI408030,5,8
PI408043,1,8
PI408044,2,8
PI408051,2,8
PI408061,4,8
PI408085,2,8
PI408101,5,8
PI408240,4,8
PI408241,4,8
PI408253,2,8
PI408254,2,8
PI408257,2,8
PI408266,4,8
PI408340,2,8
PI408342,2,8
PI416754,4,8
PI416760,5,8
PI416766,4,8
PI416767,4,8
PI416770,4,8
PI416775,4,8
PI416781,3,8
PI416787,3,8
PI416790,2,8
PI416794,4,8
PI416796,2,8
PI416798,2,8
PI416809,4,8
PI416812,5,8
PI416813,4,8
PI416824,4,8
PI416848,2,8
PI416867,2,8
PI416876,2,8
PI416883,5,8
PI416885,5,8
PI416893,1,8
PI416895,5,8
PI416903,5,8
PI416907,2,8
PI416912,2,8
PI416922,5,8
PI416924,4,8
PI416925,5,8
PI416928,2,8
PI416932,4,8
PI416933,4,8
PI416937,5,8
PI416947,2,8
PI416948,2,8
PI416951,2,8
PI416955,4,8
PI416969,5,8
PI416980,4,8
PI417011,4,8
PI417038,1,8
PI417047,2,8
PI417063,1,8
PI417083,4,8
PI417097,2,8
PI417112,1,8
PI417113,5,8
PI417115,2,8
PI417116,5,8
PI417122,4,8
PI417127,2,8
PI417128,2,8
PI417132,2,8
PI417133,2,8
PI417153,5,8
PI417164,4,8
PI417181,2,8
PI417188,4,8
PI417194,4,8
PI417197,5,8
PI417203,4,8
PI417204,2,8
PI417206,2,8
PI417212,5,8
PI417216,2,8
PI417220,2,8
PI417221,3,8
PI417222,4,8
PI417223,5,8
PI417224,5,8
PI417256,5,8
PI417266,4,8
PI417267,4,8
PI417270,5,8
PI417289,2,8
PI417310,5,8
PI417311,5,8
PI417318,4,8
PI417319,1,8
PI417320,4,8
PI417330,3,8
PI417357,2,8
PI417358,2,8
PI417375,4,8
PI417376,4,8
PI417378,2,8
PI417405,0,8
PI417406,2,8
PI417407,5,8
PI417408,4,8
PI417409,2,8
PI417410,1,8
PI417416,2,8
PI417421,5,8
PI417422,4,8
PI417427,5,8
PI417439,2,8
PI417442,4,8
PI417443,5,8
PI417444,3,8
PI417469,4,8
PI417473,4,8
PI417477,4,8
PI417490,1,8
PI417496,4,8
PI417497,5,8
PI417503,3,8
PI417561,2,8
PI417562,4,8
PI417563,5,8
PI423755,4,8
PI423780,4,8
PI423821,4,8
PI423822,3,8
PI423831,4,8
PI423849,2,8
PI423852,5,8
PI423853,3,8
PI423859,1,8
