acid,PRR1.488001,
FC003659,1,8
FC003981,5,8
FC030265,5,8
FC030267,1,8
FC030282,1,8
FC030967,1,8
FC031416,5,8
FC031572,5,8
FC031592,5,8
FC031622,5,8
FC031649,5,8
FC031665,5,8
FC031676,5,8
FC031677,5,8
FC031683,5,8
FC031689,1,8
FC031700,5,8
FC031707,5,8
FC031709,5,8
FC031719,1,8
FC031721,1,8
FC031731,5,8
FC031732,1,8
FC031737,5,8
FC031744,1,8
FC031745,1,8
FC031750,5,8
FC031918,5,8
FC031919,5,8
FC031921,5,8
FC031927,5,8
FC031933,1,8
FC031934,1,8
FC031935,5,8
FC031943,1,8
FC031952,5,8
FC032175,1,8
FC032176,5,8
FC033123,5,8
PI036906,1,8
PI054610,5,8
PI055089,5,8
PI059845,5,8
PI060273,1,8
PI060296,5,8
PI062203,5,8
PI062204,1,8
PI065342,1,8
PI071465,5,8
PI071558,5,8
PI071564,5,8
PI071570,1,8
PI071667,5,8
PI071677,5,8
PI079825,1,8
PI079832,5,8
PI079861,5,8
PI079862,1,8
PI080466,5,8
PI080468,1,8
PI080476,5,8
PI080498,5,8
PI081029,5,8
PI081037,1,8
PI081042,5,8
PI081774,1,8
PI082286,1,8
PI082312,1,8
PI082588,1,8
PI083836,1,8
PI083874,1,8
PI083942,5,8
PI084642,1,8
PI084669,1,8
PI084734,5,8
PI084874,5,8
PI084910,5,8
PI084949,1,8
PI084967,5,8
PI085010,5,8
PI085089,1,8
PI085252,5,8
PI085342,1,8
PI085416,1,8
PI085465,1,8
PI085476,5,8
PI085490,1,8
PI085897,5,8
PI086078,1,8
PI086084,5,8
PI086091,5,8
PI086109,1,8
PI086465,5,8
PI086490,5,8
PI086543,5,8
PI086892,5,8
PI086904,1,8
PI086982,5,8
PI087002,5,8
PI087037,5,8
PI087076,1,8
PI087542,5,8
PI087565,5,8
PI087968,1,8
PI088461,5,8
PI088490,5,8
PI088820,5,8
PI089061,5,8
PI089469,5,8
PI089775,5,8
