acid,crdr,
PI592938,5,8
PI592942,5,8
PI592944,4,8
PI592947,5,8
PI592971,5,8
PI592979,5,8
PI592980,5,8
PI593959,4,8
PI593960,5,8
PI593972,5,8
PI594208,4,8
PI594282,5,8
PI594302,2,8
PI594394,4,8
PI594402,4,8
PI594404,5,8
PI594405,4,8
PI594407,5,8
PI597482,5,8
PI599509,5,8
PI603434,5,8
PI603442,2,8
PI603549,5,8
PI603550,2,8
PI603552,5,8
PI603553,5,8
PI603556,4,8
PI603558,2,8
PI603560,2,8
PI603582,5,8
PI603592,4,8
PI603596,5,8
PI603597,2,8
PI603655,5,8
PI603670,5,8
PI603674,4,8
PI603675,4,8
PI603682,5,8
PI612712,4,8
PI612715,5,8
PI612717,4,8
PI612729,5,8
PI612735,5,8
PI612736,5,8
PI612738,2,8
PI612740,4,8
PI614153,4,8
PI642055,4,8
PI253665D,5,9
PI290116A,4,9
PI290126B,5,9
PI361066A,5,9
PI384469A,2,9
PI407861A,5,9
PI407974A,5,9
PI407974B,5,9
PI408105A,5,9
PI416868A,4,9
PI416868B,4,9
PI424159B,5,9
PI424195B,5,9
PI424488A,5,9
PI437614A,4,9
PI437851A,5,9
PI437909B,4,9
PI438302B,4,9
PI475783A,4,9
PI475783B,4,9
PI475812B,5,9
PI475822B,5,9
PI475822C,5,9
PI495017A,5,9
PI532462A,5,9
PI532462B,5,9
PI532463A,5,9
PI532463B,5,9
PI538385A,4,9
PI538385B,2,9
PI538386A,4,9
PI538386B,4,9
PI549030A,5,9
PI561302A,5,9
PI561319A,4,9
PI567250B,2,9
PI567261C,4,9
PI567261E,5,9
PI567262C,4,9
PI567264D,4,9
PI567266C,4,9
PI567266D,2,9
PI567267B,4,9
PI567288A,4,9
PI567288B,5,9
PI567289A,4,9
PI567289B,4,9
PI567290A,2,9
PI567290B,4,9
PI567296A,4,9
PI567296B,5,9
PI567299A,4,9
PI567299B,4,9
PI567300B,4,9
PI567301A,4,9
PI567301B,4,9
PI567303A,2,9
PI567303B,2,9
PI567306A,4,9
PI567306B,4,9
PI567310A,2,9
PI567310B,4,9
PI567311A,5,9
PI567311B,5,9
PI567316A,5,9
PI567316B,2,9
PI567319A,5,9
PI567319B,4,9
PI567321A,5,9
PI567321B,2,9
PI567323A,5,9
PI567323B,4,9
PI567325A,4,9
PI567333A,4,9
PI567333B,4,9
PI567335A,5,9
PI567335B,1,9
PI567336A,4,9
PI567336B,4,9
PI567349A,2,9
PI567349B,4,9
PI567351A,5,9
PI567351B,4,9
PI567352A,5,9
PI567352B,5,9
PI567355A,4,9
PI567355B,4,9
PI567362A,2,9
PI567362B,4,9
PI567363A,5,9
PI567363B,5,9
PI567366A,4,9
PI567369A,5,9
PI567372A,5,9
PI567372B,4,9
PI567415A,4,9
PI567415B,5,9
PI567417A,2,9
PI567418A,5,9
PI567419A,5,9
PI567419B,5,9
PI567424A,4,9
PI567424B,5,9
PI567425A,4,9
PI567425B,5,9
PI567429A,2,9
PI567429B,4,9
PI567432A,5,9
PI567432B,4,9
PI567432C,4,9
PI567433A,4,9
PI567433B,5,9
PI567435A,5,9
PI567435B,5,9
PI567441A,5,9
PI567441B,5,9
PI567445A,4,9
PI567445B,4,9
PI567447A,5,9
PI567447B,4,9
PI567447C,4,9
PI567466A,5,9
PI567466B,5,9
PI567469A,5,9
PI567469B,5,9
PI567473A,4,9
PI567473B,4,9
PI567480A,5,9
PI567482A,4,9
PI567482B,5,9
PI567486A,5,9
PI567486B,5,9
PI567488A,5,9
PI567488B,5,9
PI567488C,5,9
PI567489A,4,9
PI567489B,4,9
PI567491A,4,9
PI567491B,5,9
PI567507A,4,9
PI567507B,2,9
PI567510A,5,9
PI567510B,5,9
PI567512A,2,9
PI567512B,5,9
PI567562A,1,9
PI567688A,5,9
PI567696A,5,9
PI567706A,5,9
PI567706B,4,9
PI567713A,5,9
PI567717A,5,9
PI567720A,4,9
PI567753B,4,9
PI567765A,4,9
PI567770A,5,9
PI567771B,4,9
PI567774A,5,9
PI567774B,5,9
PI567775A,4,9
PI574476A,5,9
PI574476B,5,9
PI574480B,5,9
PI578494B,5,9
PI588050A,5,9
PI594304B,5,9
PI594401A,4,9
PI594401B,5,9
PI594401C,4,9
PI594401D,5,9
PI594409B,5,9
PI597397B,5,9
PI597403A,2,9
PI60296-2,5,9
PI603421B,5,9
PI603423A,5,9
PI603423B,5,9
PI603427C,5,9
PI603428C,5,9
PI603428D,4,9
PI603438E,5,9
PI603502A,5,9
PI603562B,5,9
PI603567A,5,9
PI603571A,5,9
PI603576A,5,9
PI603585A,5,9
PI603585B,5,9
PI603598A,4,9
PI603673A,4,9
PI603694A,5,9
PI603705A,4,9
PI603753B,4,9
PI603755C,4,9
PI603755D,4,9
PI603911B,5,9
PI603913A,4,9
PI603915D,2,9
PI612708C,5,9
PI080466-1,4,10
PI080847-1,5,10
PI081030-1,4,10
PI081031-1,5,10
PI086449-0,5,10
PI090566-1,2,10
PI091730-1,4,10
PI092718-2,5,10
