acid,SCN2FI,
PI054591,130,8
PI070457,49,8
PI079609,155,8
PI079693,61,8
PI081761,78,8
PI084751,50,8
PI087606,50,8
PI088788,61,8
PI089008,116,8
PI089014,131,8
PI089772,7,8
PI090763,0,8
PI091138,195,8
PI092720,140,8
PI200495,81,8
PI209332,126,8
PI261466,91,8
PI261467,86,8
PI303652,84,8
PI398680,140,8
PI398682,97,8
PI399061,77,8
PI404166,10,8
PI407729,82,8
PI407944,148,8
PI416762,83,8
PI417091,101,8
PI417094,56,8
PI417150,75,8
PI423952,57,8
PI424595,80,8
PI437090,189,8
PI437379,179,8
PI437488,153,8
PI437654,2,8
PI437655,126,8
PI437679,27,8
PI437690,13,8
PI437725,31,8
PI437770,107,8
PI437908,143,8
PI438183,167,8
PI438205,63,8
PI438342,37,8
PI438437,49,8
PI438497,30,8
PI438498,30,8
PI458199,22,8
PI458520,36,8
PI461509,19,8
PI464912,107,8
PI464917,41,8
PI467310,54,8
PI467312,26,8
PI467327,1,8
PI467332,32,8
PI468903,2,8
PI468904,21,8
PI468906,31,8
PI468907,48,8
PI468908,53,8
PI468909,63,8
PI468910,32,8
PI468911,64,8
PI468912,26,8
PI468913,49,8
PI468915,18,8
PI468919,34,8
PI475810,48,8
PI483459,62,8
PI490769,22,8
PI494182,20,8
PI506862,25,8
PI507268,45,8
PI507354,22,8
PI507422,49,8
PI507423,72,8
PI507443,76,8
PI507470,83,8
PI507471,3,8
PI507475,76,8
PI507476,36,8
PI509095,77,8
PI509100,37,8
PI518664,177,8
PI518772,90,8
PI522186,29,8
PI522187,29,8
PI522189,40,8
PI522190,24,8
PI522191,65,8
PI525492,81,8
PI532434,17,8
PI532472,56,8
PI538406,72,8
PI538408,61,8
PI548316,99,8
PI548317,63,8
PI548349,85,8
PI548400,168,8
PI548402,48,8
PI548415,146,8
PI548982,116,8
PI567165,37,8
PI567285,183,8
PI567328,140,8
PI567364,73,8
PI567365,170,8
PI567400,156,8
PI567421,61,8
PI567492,115,8
PI567577,117,8
PI567581,70,8
PI567636,85,8
PI567675,38,8
PI567677,40,8
PI567678,28,8
PI567681,65,8
PI567685,34,8
PI567686,54,8
PI567687,43,8
PI567689,43,8
PI567690,11,8
PI567691,33,8
PI567692,63,8
PI567693,37,8
PI567694,58,8
PI567695,41,8
PI567697,30,8
PI567699,34,8
PI567700,23,8
PI567701,63,8
PI567703,51,8
PI567704,64,8
PI567705,34,8
PI103419B,84,9
PI123577B,59,9
PI157487B,61,9
PI159923B,58,9
PI339865A,41,9
PI339868B,35,9
PI404198A,9,9
PI404198B,79,9
PI407386D,60,9
PI424137B,148,9
PI438489B,7,9
PI438496B,158,9
PI438503A,99,9
PI458175B,72,9
PI458519A,25,9
PI464915B,24,9
PI495017C,30,9
PI506590E,53,9
PI506838A,101,9
PI506838B,75,9
PI507686B,62,9
PI507686C,56,9
PI507704A,52,9
PI507704B,64,9
PI512322A,45,9
PI512322D,24,9
PI522188A,30,9
PI522188B,39,9
PI522192A,80,9
PI522192B,43,9
PI532444A,15,9
PI532444B,14,9
PI538401A,40,9
PI538401B,91,9
PI567336A,12,9
PI567336B,16,9
PI567363B,141,9
PI567373A,94,9
PI567373B,60,9
PI567415A,43,9
PI567418A,70,9
PI567488A,21,9
PI567488B,13,9
PI567488C,19,9
PI567491A,11,9
PI567507B,115,9
PI567510A,124,9
PI567512B,150,9
PI567516C,13,9
PI567535A,77,9
PI567562A,90,9
PI567568A,105,9
PI567583C,98,9
PI567650C,55,9
PI567660B,59,9
PI567676A,22,9
PI567676B,34,9
PI567679A,40,9
PI567679B,37,9
PI567679C,40,9
PI567683A,57,9
PI567684A,44,9
PI567684B,38,9
PI567688A,29,9
PI567688B,51,9
PI567696A,41,9
PI567696B,28,9
PI567696C,35,9
PI567698A,61,9
PI567698B,66,9
PI567702A,94,9
PI567702B,62,9
PI567706A,27,9
PI087631-1,118,10
PI407946-2,76,10
PI408192-2,146,10
