acid,SDS.493025
PI567580A,5
PI567493,5
PI567447C,5
PI567363A,5
PI567443,5
PI567458,5
PI567357,5
PI567416,5
PI567447A,5
PI567466A,5
PI567396B,5
PI567678,5
PI567742A,5
PI567648C,5
PI567415A,5
PI567767C,5
PI567673B,5
PI567369B,5
PI567573A,5
PI567765C,5
PI567778,5
PI567574B,5
PI567727A,5
PI567696C,5
PI567719,5
PI567614A,5
PI567648B,5
PI567700,5
PI567698A,5
PI567768,5
PI567578B,5
PI567603B,5
PI567580B,5
PI567679C,5
PI567688A,5
PI567722,5
PI567770C,5
PI567435A,5
PI567499,5
PI567469A,5
PI567358,5
PI567473C,5
PI567659,5
PI567679B,5
PI567565,5
PI567470,5
PI567489A,5
PI567765A,5
PI567623,5
PI567637,5
PI567424A,5
PI567540A,5
PI567549A,5
PI567584,5
PI567538B,5
PI567598B,5
PI567628A,5
PI567673A,5
PI567520A,5
PI567761,5
PI567708,5
PI567595B,5
PI567624,5
PI567667A,5
PI567724,5
PI567618A,5
PI567603A,5
PI567671B,5
PI567547,5
PI567526,5
PI567586B,5
PI567507C,5
PI567507D,5
PI567592,5
PI567610A,5
PI567541A,5
PI567685,5
PI567693,5
PI567705,5
PI567726,5
PI567753A,5
PI567418A,5
PI567771C,5
PI567749B,5
PI567749A,5
PI567779A,5
PI567473B,5
PI567480A,5
PI567429D,5
PI567480B,5
PI567531,5
PI567671A,5
PI567645B,5
PI567590B,5
PI567597C,5
PI567431,5
PI567469B,5
PI567478,5
PI567484,5
PI567597B,5
PI567599,5
PI567600,5
PI567602B,5
PI567640,5
PI567642B,5
PI567671C,5
PI567549B,5
PI567630B,5
PI567509,5
PI567532,5
PI567537,5
PI567538A,5
PI567567,5
PI567569,5
PI567579,5
PI567607B,5
PI567630A,5
PI567643,5
PI567646A,5
PI567647A,5
PI567656,5
PI567594B,5
PI567371B,5
PI567646B,5
PI567757,5
PI567418C,5
PI567430,5
PI567508A,5
PI567589,5
PI567756,5
PI567371A,5
PI567429E,5
PI567488A,5
PI567717A,5
PI567752,5
PI567751B,5
PI567583D,5
PI567530,5
PI567604A,5
PI567435B,5
PI567587A,5
PI567372B,5
PI567780A,5
PI567528A,5
PI567621A,5
PI567617C,5
PI567718,5
PI567553,5
PI567417A,5
PI567472,5
PI567409A,5
PI567397,5
PI567488C,5
PI567335B,5
PI567388,5
PI567411,5
PI567376A,5
PI567390,5
PI567648A,5
PI567382B,5
PI567716A,5
PI567342,5
PI567378,5
PI567402,5
PI567349A,5
PI567339,5
PI567455,5
PI567389B,5
PI567394A,5
PI567657,5
PI567300B,5
PI567309,5
PI567310A,5
PI567316A,5
PI567320,5
PI567439,5
PI567314,5
PI567329,5
PI567399,5
PI567521,5
PI567292,5
PI567391,5
PI567405,5
PI567680,5
PI567414,5
PI567406A,5
PI567451,5
PI567340,5
PI567392,5
PI567401,5
PI567393,5
PI567410A,5
PI567759,5
PI567741,5
