acid,Fe32perc,
PI587828,0.124,8
PI587829,0.023,8
PI587831,0.028,8
PI587833,0.024,8
PI587834,0.112,8
PI587835,0.017,8
PI587837,0.022,8
PI587838,0.017,8
PI587840,0.109,8
PI587842,0.099,8
PI587847,0.099,8
PI587852,0.026,8
PI587853,0.089,8
PI587857,0.091,8
PI587860,0.131,8
PI587865,0.124,8
PI587866,0.03,8
PI587867,0.126,8
PI587868,0.139,8
PI587869,0.106,8
PI587870,0.026,8
PI587871,0.026,8
PI587872,0.031,8
PI587876,0.092,8
PI587878,0.024,8
PI587879,0.099,8
PI587881,0.019,8
PI587882,0.088,8
PI587884,0.018,8
PI587886,0.015,8
PI587889,0.118,8
PI587894,0.124,8
PI587895,0.11,8
PI587896,0.096,8
PI587898,0.108,8
PI587899,0.013,8
PI587901,0.095,8
PI587904,0.028,8
PI587905,0.099,8
PI587972,0.125,8
PI587974,0.016,8
PI587975,0.101,8
PI587993,0.103,8
PI588001,0.083,8
PI588003,0.096,8
PI588004,0.112,8
PI588018,0.125,8
PI588020,0.014,8
PI588040,0.079,8
PI588051,0.128,8
PI593984,0.1,8
PI593985,0.027,8
PI593986,0.028,8
PI593987,0.027,8
PI593989,0.121,8
PI593990,0.102,8
PI593998,0.104,8
PI594001,0.015,8
PI594002,0.017,8
PI594003,0.019,8
PI088816S,0.026,9
PI092707S,0.106,9
PI157487A,0.107,9
PI159923A,0.135,9
PI269518A,0.01,9
PI269518B,0.03,9
PI269518C,0.018,9
PI407781C,0.003,9
PI407868C,0.08,9
PI407872B,0.012,9
PI407898B,0.08,9
PI408067B,0.142,9
PI408092C,0.028,9
PI408109B,0.019,9
PI408169C,0.102,9
PI408184B,0.026,9
PI408191B,0.013,9
PI408259B,0.081,9
PI408265C,0.008,9
PI408269C,0.112,9
PI408296B,0.004,9
PI408318B,0.108,9
PI408332B,0.015,9
PI423736B,0.016,9
PI423930B,0.085,9
PI424156B,0.124,9
PI424157A,0.017,9
PI424157B,0.031,9
PI424164B,0.027,9
PI424172B,0.109,9
PI424172C,0.1,9
PI424178C,0.088,9
PI424182B,0.028,9
PI424182C,0.009,9
PI430600C,0.114,9
PI438282B,0.057,9
PI442003B,0.016,9
PI506585A,0.094,9
PI506735A,0.103,9
PI506735B,0.138,9
PI507117A,0.01,9
PI507117B,0.119,9
PI507216A,0.115,9
PI507216B,0.108,9
PI567181A,0.122,9
PI567181B,0.108,9
PI567189A,0.007,9
PI567189B,0.019,9
PI567232A,0.024,9
PI567232B,0.077,9
PI567404F,0.027,9
PI567683B,0.025,9
PI578306A,0.043,9
PI578306B,0.036,9
PI578307A,0.03,9
PI578307C,0.018,9
PI578308A,0.09,9
PI578308B,0.029,9
PI578311A,0.099,9
PI578311C,0.113,9
PI578313B,0.026,9
PI578318A,0.073,9
PI578319A,0.093,9
PI578319D,0.109,9
PI578319E,0.018,9
PI578319F,0.019,9
PI578323A,0.102,9
PI578323B,0.059,9
PI578328A,0.073,9
PI578328B,0.076,9
PI578328C,0.101,9
PI578329A,0.013,9
PI578329B,0.036,9
PI578329C,0.022,9
PI578332A,0.092,9
PI578332B,0.037,9
PI578332C,0.042,9
PI578446B,0.025,9
PI578471A,0.129,9
PI578471B,0.123,9
PI578471C,0.103,9
PI578485B,0.105,9
PI578488B,0.127,9
PI587550A,0.121,9
PI587550B,0.111,9
PI587550C,0.018,9
PI587555A,0.121,9
PI587555B,0.026,9
PI587557A,0.105,9
PI587557B,0.011,9
PI587557C,0.104,9
PI587558A,0.077,9
PI587558B,0.078,9
PI587558C,0.091,9
PI587559A,0.036,9
PI587559B,0.098,9
PI587560A,0.101,9
PI587560B,0.096,9
PI587560C,0.106,9
PI587563A,0.126,9
PI587563B,0.108,9
PI587563C,0.017,9
PI587564A,0.104,9
PI587564B,0.088,9
PI587564C,0.084,9
PI587565A,0.042,9
PI587565B,0.129,9
PI587565C,0.021,9
PI587566A,0.02,9
PI587566B,0.045,9
PI587567A,0.088,9
PI587568A,0.152,9
PI587568B,0.112,9
PI587570A,0.094,9
PI587570B,0.11,9
PI587572A,0.045,9
PI587572B,0.016,9
PI587573A,0.127,9
PI587573B,0.118,9
PI587574A,0.136,9
PI587574B,0.131,9
PI587575C,0.103,9
PI587577H,0.02,9
PI587577I,0.017,9
PI587579A,0.101,9
PI587579B,0.015,9
PI587579C,0.111,9
PI587580A,0.039,9
PI587583A,0.112,9
PI587583B,0.082,9
PI587583D,0.044,9
PI587592A,0.107,9
PI587592B,0.136,9
PI587595A,0.145,9
PI587595B,0.019,9
PI587595C,0.084,9
PI587596A,0.029,9
PI587596B,0.145,9
PI587597A,0.024,9
PI587597B,0.131,9
PI587598B,0.118,9
PI587600C,0.024,9
PI587601A,0.005,9
PI587601B,0.023,9
PI587601C,0.087,9
PI587601D,0.094,9
PI587601E,0.064,9
PI587603A,0.081,9
PI587603B,0.215,9
PI587603C,0.092,9
PI587603D,0.098,9
PI587604D,0.146,9
PI587606C,0.127,9
PI587606D,0.068,9
PI587608B,0.096,9
PI587608C,0.063,9
PI587612B,0.022,9
PI587612C,0.028,9
PI587612D,0.149,9
PI587612F,0.145,9
PI587618A,0.2,9
PI587622A,0.02,9
PI587622B,0.075,9
PI587625B,0.151,9
PI587627A,0.079,9
PI587627B,0.082,9
PI587630A,0.141,9
PI587630B,0.124,9
PI587631A,0.117,9
PI587632B,0.15,9
PI587633A,0.128,9
PI587633B,0.027,9
PI587633C,0.086,9
PI587633D,0.102,9
PI587634A,0.155,9
PI587634B,0.155,9
PI587634C,0.174,9
PI587641A,0.139,9
PI587641B,0.146,9
PI587658B,0.118,9
PI587659A,0.104,9
PI587659B,0.102,9
PI587660A,0.079,9
PI587660B,0.14,9
PI587661A,0.101,9
PI587662B,0.014,9
PI587664A,0.218,9
PI587664B,0.028,9
PI587668A,0.027,9
PI587668B,0.034,9
PI587668C,0.128,9
PI587670A,0.083,9
PI587670B,0.132,9
PI587682A,0.036,9
PI587682B,0.154,9
PI587684A,0.031,9
PI587684B,0.138,9
PI587686A,0.028,9
PI587686B,0.093,9
PI587687A,0.127,9
PI587687B,0.139,9
PI587687D,0.021,9
PI587687E,0.032,9
PI587692A,0.112,9
PI587692B,0.031,9
PI587698A,0.136,9
PI587698B,0.11,9
PI587698C,0.113,9
PI587700A,0.133,9
PI587700B,0.149,9
PI587700C,0.099,9
PI587705A,0.029,9
PI587705B,0.092,9
PI587709A,0.126,9
PI587709B,0.034,9
PI587714B,0.159,9
PI587719B,0.017,9
PI587719C,0.023,9
PI587721A,0.089,9
PI587721B,0.118,9
PI587721C,0.028,9
PI587723A,0.028,9
PI587723B,0.033,9
PI587725A,0.122,9
PI587725B,0.156,9
PI587725C,0.023,9
PI587726A,0.091,9
PI587726B,0.123,9
PI587736A,0.114,9
PI587736B,0.097,9
PI587742A,0.119,9
PI587742B,0.111,9
PI587742C,0.146,9
PI587757A,0.109,9
PI587757B,0.13,9
PI587767A,0.026,9
PI587767B,0.097,9
PI587788B,0.067,9
PI587788C,0.023,9
PI587790A,0.125,9
PI587790B,0.101,9
PI587806A,0.028,9
PI587806B,0.143,9
PI587808A,0.117,9
PI587808B,0.133,9
PI587812A,0.182,9
PI587812B,0.083,9
PI587814C,0.084,9
PI587814D,0.093,9
PI587814E,0.026,9
PI587814F,0.028,9
PI587814G,0.094,9
PI587815A,0.123,9
PI587815B,0.083,9
PI587825A,0.133,9
PI587825B,0.123,9
PI587830A,0.147,9
PI587839A,0.139,9
PI587839B,0.126,9
PI587839C,0.142,9
PI587841A,0.099,9
PI587841B,0.106,9
PI587844A,0.173,9
PI587844B,0.112,9
PI587844C,0.111,9
PI587846B,0.096,9
PI587854A,0.032,9
PI587863A,0.008,9
PI587863B,0.076,9
PI587864A,0.023,9
PI587864B,0.103,9
PI587877A,0.109,9
PI587877B,0.124,9
PI587880A,0.02,9
PI587880B,0.018,9
PI587883A,0.022,9
PI587883B,0.026,9
PI587891A,0.174,9
PI587892B,0.016,9
PI587892C,0.103,9
PI587913A,0.165,9
PI587915A,0.11,9
PI587988A,0.104,9
PI587988B,0.026,9
PI587992A,0.025,9
PI587992B,0.016,9
PI587992C,0.088,9
PI587992D,0.117,9
PI587992E,0.097,9
PI587992F,0.093,9
PI587996B,0.107,9
PI587996D,0.014,9
PI587997A,0.135,9
PI587997B,0.122,9
PI588006A,0.018,9
PI588006B,0.091,9
PI588007B,0.109,9
PI588011B,0.027,9
PI588011C,0.033,9
PI588011D,0.008,9
PI588011E,0.024,9
PI588014B,0.106,9
PI588014C,0.103,9
PI588014D,0.093,9
PI588017A,0.109,9
PI588017B,0.113,9
PI588017C,0.121,9
PI588021B,0.024,9
PI588023A,0.127,9
PI588023B,0.014,9
PI588032A,0.095,9
PI588032B,0.018,9
PI588050B,0.108,9
PI588052C,0.096,9
PI588053A,0.114,9
PI588053B,0.102,9
PI593995A,0.099,9
PI593995B,0.108,9
PI594004A,0.107,9
PI594004B,0.015,9
PI594004C,0.103,9
PI594005C,0.021,9
PI594005D,0.079,9
PI594005E,0.057,9
PI594023B,0.089,9
PI407839-2,0.085,10
PI407937-2,0.113,10
PI407946-1,0.014,10
PI424337-2,0.099,10
PI424474-1,0.098,10
PI424474-2,0.104,10
