acid,SCN5FI,
PI070457,42,8
PI087606,66,8
PI088788,42,8
PI090763,1,8
PI261466,38,8
PI261467,70,8
PI399061,1,8
PI417150,71,8
PI423952,67,8
PI424595,3,8
PI438205,100,8
PI438342,1,8
PI438437,68,8
PI458199,18,8
PI458520,9,8
PI461509,18,8
PI464912,81,8
PI464917,44,8
PI467310,27,8
PI467312,5,8
PI467327,4,8
PI467332,21,8
PI468903,3,8
PI468904,98,8
PI468906,68,8
PI468907,51,8
PI468908,58,8
PI468909,81,8
PI468910,75,8
PI468911,79,8
PI468912,95,8
PI468913,80,8
PI468915,1,8
PI468919,51,8
PI475810,13,8
PI483459,50,8
PI490769,12,8
PI494182,1,8
PI506862,3,8
PI507268,48,8
PI507354,3,8
PI507422,37,8
PI507423,33,8
PI507443,19,8
PI507470,21,8
PI507471,0,8
PI507475,2,8
PI507476,5,8
PI509095,22,8
PI509100,25,8
PI518772,63,8
PI522186,40,8
PI522187,61,8
PI522189,67,8
PI522190,60,8
PI522191,66,8
PI532434,33,8
PI533605,1,8
PI538406,61,8
PI538408,25,8
PI548402,1,8
PI548656,100,8
PI548982,26,8
PI548988,35,8
PI559369,100,8
PI567675,79,8
PI567677,60,8
PI567678,46,8
PI567681,55,8
PI567685,35,8
PI567686,64,8
PI567687,49,8
PI567689,50,8
PI567690,68,8
PI567691,60,8
PI567692,54,8
PI567693,51,8
PI567694,51,8
PI567695,72,8
PI567699,29,8
PI567700,40,8
PI567701,72,8
PI567703,57,8
PI567704,65,8
PI567705,64,8
PI567707,85,8
PI567708,55,8
PI567709,70,8
PI567710,91,8
PI567712,81,8
PI567714,92,8
PI567715,77,8
PI567718,65,8
PI567719,51,8
PI567721,45,8
PI567722,48,8
PI567723,39,8
PI567724,76,8
PI567725,36,8
PI567726,22,8
PI567728,88,8
PI567729,96,8
PI567730,77,8
PI567731,140,8
PI567732,138,8
PI567733,111,8
PI567734,86,8
PI567735,83,8
PI567737,59,8
PI567740,88,8
PI567741,30,8
PI567743,55,8
PI567746,92,8
PI567750,118,8
PI567752,81,8
PI567754,68,8
PI567756,102,8
PI103419B,44,9
PI123577B,57,9
PI157487B,46,9
PI159923B,86,9
PI339865A,68,9
PI407386D,62,9
PI424137B,17,9
PI458175B,20,9
PI458519A,22,9
PI464915B,18,9
PI495017C,49,9
PI506590E,62,9
PI506838A,76,9
PI506838B,86,9
PI507686B,55,9
PI507686C,5,9
PI507704A,43,9
PI507704B,63,9
PI512322A,38,9
PI512322D,27,9
PI522188A,68,9
PI522188B,56,9
PI522192B,64,9
PI532444A,28,9
PI532444B,42,9
PI538401A,85,9
PI538401B,56,9
PI567488A,46,9
PI567488B,23,9
PI567650C,27,9
PI567676A,5,9
PI567676B,57,9
PI567679A,61,9
PI567679B,27,9
PI567679C,33,9
PI567683A,89,9
PI567684A,54,9
PI567684B,51,9
PI567688B,54,9
PI567696A,76,9
PI567696B,45,9
PI567696C,60,9
PI567698B,67,9
PI567702A,57,9
PI567702B,48,9
PI567706A,80,9
PI567706B,97,9
PI567711A,76,9
PI567711B,72,9
PI567713A,122,9
PI567713B,104,9
PI567713C,85,9
PI567713D,50,9
PI567713E,145,9
PI567716A,82,9
PI567716B,90,9
PI567717A,65,9
PI567717B,87,9
PI567717C,73,9
PI567720A,53,9
PI567720B,57,9
PI567727A,45,9
PI567727B,53,9
PI567738A,94,9
PI567738B,85,9
PI567739A,92,9
PI567739B,74,9
PI567742A,84,9
PI567744A,67,9
PI567744B,73,9
PI567749A,87,9
PI567749B,78,9
PI567751A,118,9
PI567751B,131,9
PI567753A,115,9
PI567753B,99,9
PI567753C,103,9
PI567755A,86,9
PI567755B,118,9
PI407946-2,76,10
