acid,SCN5.491577,SCN5code.491577
PI417410,2,2.5
PI442020,2,2.5
PI424337-2,2,2.5
PI408269C,2,2
PI486335,4,3.5
PI417409,4,2.700000048
PI458228,4,3.400000095
PI429327,4,3.900000095
PI407771,4,2.599999905
PI408266,4,3.200000048
PI458198,4,3.5
PI438282B,4,3.299999952
PI423931,4,3.200000048
PI424375,4,2.599999905
PI416767,4,3.900000095
PI417408,4,3.5
PI458223,4,3.599999905
PI417358,4,3.200000048
PI438432,4,3.400000095
PI441352,4,3.700000048
PI458085B,4,3.900000095
PI417223,4,2.599999905
PI458168,4,3.599999905
PI476943,4,3.799999952
PI423852,5,5
PI417503,5,5
PI476927,5,4.300000191
PI416790,5,4.5
PI398998,5,5
PI408085,5,4.400000095
PI468972,5,4.599999905
PI423821,5,5
PI437667,5,5
PI476930,5,4.800000191
PI429329,5,4.099999905
PI398950,5,4.800000191
PI416809,5,4.800000191
PI486328,5,4.599999905
PI408184B,5,4.800000191
PI437730,5,5
PI476928,5,4.900000095
PI481686,5,4.800000191
PI481690,5,4
PI416895,5,4.5
PI416955,5,4.900000095
PI417197,5,5
PI417212,5,5
PI423930B,5,5
PI423964,5,5
PI471901,5,4.699999809
PI305074,5,5
PI408169C,5,4.599999905
PI424360,5,5
PI408044,5,5
PI423831,5,5
PI424304,5,5
PI458218,5,5
PI468969,5,4.599999905
PI471926,5,4.599999905
PI476900,5,4.199999809
PI486329,5,4.099999905
PI468966,5,4.800000191
PI423822,5,5
PI417561,5,5
PI476882,5,4.900000095
PI416951,5,5
PI407738,5,4.300000191
PI486332,5,4.400000095
PI398956,5,4.300000191
PI424361,5,5
PI482602,5,4.300000191
PI398952,5,5
PI407969,5,5
PI458212,5,5
PI458261,5,5
PI416781,5,4.400000095
PI416812,5,4.400000095
PI417097,5,4.599999905
PI417181,5,4.800000191
PI417407,5,5
PI417444,5,5
PI438428,5,4.599999905
PI445843,5,4.400000095
PI398973,5,4.800000191
PI398999,5,4.599999905
PI434976,5,4.599999905
PI476878,5,4.599999905
PI398827,5,4.800000191
PI399041,5,4.400000095
PI399047,5,4.199999809
PI438284,5,4.800000191
PI428691,5,4.599999905
PI442003B,5,4.800000191
PI445681,5,4.599999905
PI445842,5,4.699999809
PI445849,5,4.900000095
PI459072,5,5
PI481683,5,5
PI434975,5,5
PI398826,5,4.699999809
PI398850,5,4.300000191
PI398925,5,4.599999905
PI398945,5,4.800000191
PI399048,5,5
PI399049,5,4.300000191
PI399053,5,4.900000095
PI399102,5,4.400000095
PI399104,5,4.300000191
PI407743,5,5
PI407744,5,5
PI407945,5,4.800000191
PI408043,5,5
PI408061,5,4.5
PI408101,5,4.699999809
PI408191B,5,5
PI408240,5,5
PI408241,5,4.800000191
PI408253,5,5
PI408259B,5,4.800000191
PI408296B,5,5
PI408318B,5,4.900000095
PI408340,5,4.800000191
PI408342,5,5
PI417562,5,5
PI417563,5,5
PI423736B,5,4.900000095
PI423853,5,5
PI423859,5,4.800000191
PI424142,5,4.900000095
PI424157A,5,5
PI424161,5,5
PI424163,5,5
PI424172C,5,5
PI424178C,5,4.599999905
PI424391,5,4.900000095
PI424416,5,5
PI424437,5,5
PI424438,5,5
PI424447,5,5
PI424453,5,4.699999809
PI424473,5,5
PI424501,5,5
PI424502,5,5
PI424591,5,4.900000095
PI424594,5,4.900000095
PI430600C,5,5
PI434974,5,5
PI436567,5,5
PI437708,5,5
PI438438,5,5
PI438439,5,5
PI441358,5,4.300000191
PI445683,5,4.300000191
PI458155,5,5
PI458187,5,5
PI458206,5,5
PI458210,5,5
PI458211,5,4.300000191
PI458213,5,5
PI458220,5,5
PI458241,5,5
PI458242,5,5
PI458251,5,5
PI458257,5,5
PI464932,5,4.900000095
PI468964,5,4.300000191
PI468973,5,5
PI471925,5,4.599999905
PI471927,5,4.300000191
PI471928,5,4.5
PI471930,5,5
PI471940,5,4.599999905
PI476885,5,4.400000095
PI476907,5,4.099999905
PI476916,5,4.599999905
PI476918,5,4.300000191
PI476923,5,4
PI476925,5,4.900000095
PI476934,5,4.599999905
PI481679,5,5
PI243526,5,4.5
PI398896,5,4.300000191
PI398967,5,4.900000095
PI416754,5,4.400000095
PI416760,5,4.699999809
PI416766,5,5
PI416787,5,4.5
PI416794,5,4.800000191
PI416798,5,4.800000191
PI416885,5,4.099999905
PI416912,5,4.300000191
PI416924,5,4.800000191
PI416932,5,4.699999809
PI416937,5,4.699999809
PI416969,5,4.699999809
PI417083,5,4.900000095
PI417164,5,5
PI417188,5,4
PI417203,5,5
PI417204,5,5
PI417216,5,5
PI417221,5,4.900000095
PI417375,5,4.900000095
PI417406,5,4.5
PI417416,5,5
PI417422,5,5
PI417490,5,4.800000191
PI423878,5,4.800000191
