acid,PRR7,
PI079862,1,8
PI097081,1,8
PI103091,1,8
PI157432,1,8
PI157484,1,8
PI158751,1,8
PI165671,1,8
PI171442,5,8
PI172902,1,8
PI200474,1,8
PI200502,1,8
PI200505,1,8
PI200528,1,8
PI200543,1,8
PI200553,1,8
PI228065,1,8
PI230981,1,8
PI274205,5,8
PI274209,5,8
PI274212,1,8
PI274421,1,8
PI274423,1,8
PI274456,1,8
PI274508,1,8
PI281850,5,8
PI290136,5,8
PI290148,5,8
PI290151,5,8
PI291275,5,8
PI291277,5,8
PI291278,5,8
PI291327,5,8
PI291331,5,8
PI295947,5,8
PI297502,5,8
PI297536,5,8
PI297552,5,8
PI304218,1,8
PI319529,1,8
PI319530,1,8
PI319531,1,8
PI326579,5,8
PI339981,1,8
PI339995,5,8
PI340017,1,8
PI340029,1,8
PI340034,1,8
PI340035,1,8
PI340037,1,8
PI340046,1,8
PI340049,5,8
PI341264,1,8
PI342004,1,8
PI342005,5,8
PI342436,5,8
PI342438,5,8
PI347541,5,8
PI347551,5,8
PI358319,5,8
PI358322,5,8
PI358323,5,8
PI360836,5,8
PI360838,5,8
PI360841,1,8
PI360842,1,8
PI360844,1,8
PI360845,1,8
PI360846,5,8
PI360848,5,8
PI360850,5,8
PI360952,5,8
PI360953,5,8
PI360957,5,8
PI360959,5,8
PI360965,5,8
PI361078,5,8
PI361103,1,8
PI361116,5,8
PI361121,1,8
PI361122,1,8
PI378668,1,8
PI378679,5,8
PI379556,5,8
PI379560,5,8
PI379563,5,8
PI384467,5,8
PI391585,5,8
PI393537,1,8
PI393538,1,8
PI393540,1,8
PI398191,1,8
PI398198,1,8
PI398204,1,8
PI398206,5,8
PI398208,5,8
PI398214,5,8
PI398215,5,8
PI398223,1,8
PI398225,5,8
PI398227,5,8
PI398230,5,8
PI398242,5,8
PI398243,5,8
PI398244,5,8
PI398245,5,8
PI398248,1,8
PI398249,1,8
PI398250,5,8
PI398251,5,8
PI398272,5,8
PI398273,5,8
PI398275,1,8
PI398276,1,8
PI398282,1,8
PI398295,1,8
PI398297,5,8
PI398298,1,8
PI398299,1,8
PI398303,5,8
PI398305,1,8
PI398306,1,8
PI398311,1,8
PI398312,1,8
PI398317,1,8
PI398321,5,8
PI398349,5,8
PI398355,5,8
PI398359,5,8
PI398371,1,8
PI398375,5,8
PI398380,5,8
PI398386,1,8
PI398389,1,8
PI398395,1,8
PI398440,1,8
PI398451,1,8
PI398464,5,8
PI398494,1,8
PI398495,1,8
PI398540,1,8
PI398551,5,8
PI398565,1,8
PI398572,1,8
PI398609,1,8
PI398621,1,8
PI398631,1,8
PI398636,1,8
PI398640,1,8
PI398643,1,8
PI398656,5,8
PI398664,1,8
PI398666,1,8
PI398667,1,8
PI398674,1,8
PI398680,1,8
PI398681,5,8
PI398693,1,8
PI398694,1,8
PI398697,1,8
PI398700,5,8
PI398702,5,8
PI398706,1,8
PI398710,1,8
PI398717,1,8
PI398737,5,8
PI398741,1,8
PI398747,1,8
PI398748,1,8
PI398752,1,8
PI398755,1,8
PI398763,5,8
PI398764,1,8
PI398765,1,8
PI398772,1,8
PI398773,1,8
PI398774,1,8
PI398775,1,8
PI398776,1,8
PI398790,1,8
PI398791,1,8
PI398803,1,8
PI398804,5,8
PI398805,1,8
PI398806,5,8
PI398807,5,8
PI398808,1,8
PI398813,1,8
PI398814,5,8
PI398815,1,8
PI398816,5,8
PI398820,1,8
PI398830,5,8
PI398841,5,8
PI398843,5,8
PI398847,5,8
PI398854,1,8
PI398857,1,8
PI398867,1,8
PI398868,1,8
PI398875,5,8
PI398880,1,8
PI398884,5,8
PI398887,1,8
PI398919,5,8
PI398930,1,8
PI398935,5,8
PI398940,1,8
PI398941,5,8
PI398944,1,8
PI398946,1,8
PI398953,1,8
PI398955,1,8
PI398959,1,8
PI398970,1,8
PI398975,1,8
PI398982,1,8
PI398985,1,8
PI398987,1,8
PI398988,5,8
PI398996,1,8
PI399001,1,8
PI399004,1,8
PI399006,1,8
PI399008,1,8
PI399015,1,8
PI399016,1,8
PI399017,1,8
PI399018,1,8
PI399019,1,8
PI399020,1,8
PI399022,1,8
PI399023,5,8
PI399027,1,8
PI399028,5,8
PI399035,5,8
PI399036,1,8
PI399051,1,8
PI399066,5,8
PI399073,1,8
PI399074,5,8
PI399077,1,8
PI399079,1,8
PI399080,1,8
PI399092,5,8
PI399119,1,8
PI404159,1,8
PI404163,5,8
PI404182,1,8
PI404183,1,8
PI404185,1,8
PI404186,5,8
PI404197,5,8
PI405690,1,8
PI406708,5,8
PI407653,5,8
PI407701,5,8
PI407702,5,8
PI407705,5,8
PI407707,1,8
PI407709,1,8
PI407716,5,8
PI407718,5,8
PI407719,1,8
PI407720,1,8
PI407721,1,8
PI407723,1,8
PI407727,1,8
PI407770,1,8
PI407776,1,8
PI407783,1,8
PI407796,5,8
PI407812,1,8
PI407817,1,8
PI407820,1,8
PI407823,1,8
PI407827,1,8
PI407847,1,8
PI407848,1,8
PI407850,5,8
PI407862,1,8
PI407863,5,8
PI407873,5,8
PI407883,1,8
PI407895,5,8
PI407897,1,8
PI407900,1,8
PI407904,5,8
PI407906,1,8
PI407908,1,8
PI407917,5,8
PI407922,1,8
PI407924,1,8
PI407928,5,8
PI407933,5,8
PI407934,1,8
PI407947,5,8
PI407949,1,8
PI407977,1,8
PI407979,5,8
PI407985,1,8
PI407991,5,8
PI407992,5,8
PI407996,1,8
PI408008,5,8
PI408014,1,8
PI408015,1,8
PI408017,1,8
PI408021,5,8
PI408029,1,8
PI408036,1,8
PI408057,5,8
PI408058,5,8
PI408062,1,8
PI408064,1,8
PI408075,5,8
PI408089,5,8
PI408090,5,8
PI408097,1,8
PI408103,5,8
PI408108,1,8
PI408111,1,8
PI408114,5,8
PI408119,5,8
PI408132,1,8
PI408170,1,8
PI408172,5,8
PI408173,5,8
PI408178,5,8
PI408187,1,8
PI408189,5,8
PI408194,5,8
PI408198,5,8
PI408199,5,8
PI408210,1,8
PI408214,5,8
PI408227,5,8
PI408230,5,8
PI408231,1,8
PI408236,1,8
PI408245,1,8
PI408258,1,8
PI408275,1,8
PI408277,5,8
PI408280,1,8
PI408287,1,8
PI408288,1,8
PI408289,1,8
PI408292,1,8
PI408299,5,8
PI408300,1,8
PI408301,5,8
PI408302,5,8
PI408306,5,8
PI408309,5,8
PI408316,1,8
PI408320,1,8
PI408329,1,8
PI408333,1,8
PI408334,5,8
PI408338,5,8
PI415072,1,8
PI415074,1,8
PI416753,5,8
PI416757,1,8
PI416773,5,8
PI416776,5,8
PI416779,5,8
PI416784,5,8
PI416791,1,8
PI416801,5,8
PI416805,5,8
PI416823,1,8
PI416829,5,8
PI416830,1,8
PI416835,1,8
PI416839,1,8
PI416840,1,8
PI416841,1,8
PI416845,5,8
PI416856,1,8
PI416857,5,8
PI416859,5,8
PI416862,5,8
PI416863,5,8
PI416864,5,8
PI416866,5,8
PI416869,1,8
PI416872,5,8
PI416875,1,8
PI416878,1,8
PI416889,1,8
PI416890,1,8
PI416892,1,8
PI416896,5,8
PI416898,1,8
PI416910,1,8
PI416911,5,8
PI416913,5,8
PI416914,1,8
PI416915,1,8
PI416916,1,8
PI416918,1,8
PI416920,1,8
PI416923,5,8
PI416929,5,8
PI416930,5,8
PI416946,1,8
PI416950,5,8
PI416952,5,8
PI416953,1,8
PI416954,5,8
PI416958,5,8
PI416959,1,8
PI416963,1,8
PI416965,1,8
PI416967,5,8
PI416968,1,8
PI416976,1,8
PI416978,5,8
PI416983,1,8
PI416984,1,8
PI416985,1,8
PI416987,1,8
PI416988,5,8
PI416991,5,8
PI416992,5,8
PI416993,5,8
PI416997,1,8
PI417001,5,8
PI417002,5,8
PI417003,5,8
PI417004,1,8
PI417005,1,8
PI417010,5,8
PI417012,5,8
PI417015,1,8
PI417020,1,8
PI417022,1,8
PI417032,1,8
PI417035,5,8
PI417042,5,8
PI417050,1,8
PI417056,5,8
PI417062,5,8
PI417070,5,8
PI417071,5,8
PI417079,5,8
PI417082,5,8
PI417087,5,8
PI417092,1,8
PI417095,1,8
PI417101,1,8
PI417137,1,8
PI417138,5,8
PI417140,5,8
PI417142,1,8
PI417143,1,8
PI417151,5,8
PI417152,1,8
PI417154,5,8
PI417160,1,8
PI417161,1,8
PI417162,5,8
PI417173,1,8
PI417175,1,8
PI417176,1,8
PI417177,1,8
PI417178,5,8
PI417180,1,8
PI417185,1,8
PI417186,1,8
PI417187,1,8
PI417189,5,8
PI417191,5,8
PI417192,5,8
PI417198,5,8
PI417200,5,8
PI417202,1,8
PI417207,1,8
PI417210,5,8
PI417218,5,8
PI417226,5,8
PI417227,5,8
PI417228,5,8
PI417229,1,8
PI417230,5,8
PI417231,5,8
PI417233,1,8
PI417244,1,8
PI417245,1,8
PI417246,5,8
PI417254,1,8
PI417255,1,8
PI417268,1,8
PI417274,5,8
PI417279,5,8
PI417283,1,8
PI417296,1,8
PI417298,5,8
PI417300,5,8
PI417303,1,8
PI417315,1,8
PI417328,5,8
PI417336,1,8
PI417354,1,8
PI417364,5,8
PI417367,1,8
PI417368,1,8
PI417371,5,8
PI417380,1,8
PI417391,5,8
PI417393,5,8
PI417400,1,8
PI417412,1,8
PI417417,1,8
PI417424,1,8
PI417431,5,8
PI417448,1,8
PI417453,1,8
PI417455,5,8
PI417458,5,8
PI417459,5,8
PI417479,1,8
PI417480,1,8
PI417485,5,8
PI417487,5,8
PI417488,5,8
PI417514,5,8
PI417520,5,8
PI417526,5,8
PI417547,1,8
PI417552,5,8
PI417555,5,8
PI417560,5,8
PI417564,5,8
PI417565,5,8
PI419043,5,8
PI420338,5,8
PI423706,5,8
PI423707,1,8
PI423718,5,8
PI423734,5,8
PI423741,1,8
PI423784,5,8
PI423788,5,8
PI423789,1,8
PI423790,5,8
PI423791,5,8
PI423792,1,8
PI423802,5,8
PI423811,1,8
PI423818,1,8
PI423836,1,8
PI423842,1,8
PI423848,5,8
PI423850,1,8
PI423858,1,8
PI423864,5,8
PI423868,5,8
PI423870,5,8
PI423871,1,8
PI423872,5,8
PI423877,1,8
PI423881,1,8
PI423885,1,8
PI423889,5,8
PI423893,1,8
PI423896,5,8
PI423902,1,8
PI423910,1,8
PI423929,5,8
PI423932,5,8
PI423933,1,8
PI423939,1,8
PI423941,5,8
PI423946,5,8
PI423949,1,8
PI423951,1,8
PI423954,5,8
PI423974,1,8
PI423975,1,8
PI423977,5,8
PI423979,5,8
PI423983,5,8
PI424024,5,8
PI424078,1,8
PI424134,5,8
PI424135,1,8
PI424140,5,8
PI424143,1,8
PI424148,5,8
PI424149,1,8
PI424150,1,8
PI424151,1,8
PI424152,1,8
PI424153,5,8
PI424158,5,8
PI424160,1,8
PI424162,5,8
PI424165,5,8
PI424167,5,8
PI424173,5,8
PI424175,1,8
PI424177,5,8
PI424180,5,8
PI424181,5,8
PI424184,5,8
PI424189,5,8
PI424190,1,8
PI424206,5,8
PI424207,5,8
PI424238,1,8
PI424239,5,8
PI424244,5,8
PI424254,1,8
PI424264,5,8
PI424276,1,8
PI424292,5,8
PI424293,5,8
PI424297,5,8
PI424298,1,8
PI424305,1,8
PI424316,5,8
PI424317,1,8
PI424320,1,8
PI424338,5,8
PI424344,1,8
PI424345,5,8
PI424352,5,8
PI424354,1,8
PI424355,1,8
PI424358,1,8
PI424366,5,8
PI424367,1,8
PI424389,1,8
PI424396,1,8
PI424397,1,8
PI424400,1,8
PI424409,1,8
PI424412,1,8
PI424413,1,8
PI424414,1,8
PI424420,5,8
PI424426,5,8
PI424429,5,8
PI424430,1,8
PI424450,1,8
PI424452,5,8
PI424458,1,8
PI424468,1,8
PI424477,1,8
PI424479,1,8
PI424495,1,8
PI424498,1,8
PI424500,5,8
PI424503,1,8
PI424505,1,8
PI424506,1,8
PI424509,1,8
PI424511,5,8
PI424512,5,8
PI424513,5,8
PI424516,5,8
PI424518,5,8
PI424519,5,8
PI424520,5,8
PI424522,1,8
PI424524,5,8
PI424525,1,8
PI424527,1,8
PI424528,5,8
PI424529,1,8
PI424530,1,8
PI424531,1,8
PI424532,5,8
PI424533,1,8
PI424536,5,8
PI424537,5,8
PI424538,5,8
PI424539,5,8
PI424540,1,8
PI424541,5,8
PI424542,1,8
PI424543,5,8
PI424544,5,8
PI424545,5,8
PI424547,5,8
PI424548,5,8
PI424552,5,8
PI424554,5,8
PI424556,5,8
PI424557,1,8
PI424559,1,8
PI424561,1,8
PI424566,5,8
PI424567,1,8
PI424568,5,8
PI424570,5,8
PI424571,5,8
PI424572,5,8
PI424573,5,8
PI424574,5,8
PI424575,1,8
PI424579,5,8
PI424580,5,8
PI424581,5,8
PI424582,1,8
PI424583,1,8
PI424584,5,8
PI424587,5,8
PI424588,5,8
PI424592,1,8
PI424596,5,8
PI424597,1,8
PI424599,5,8
PI424600,5,8
PI424604,5,8
PI424607,1,8
PI424609,5,8
PI424610,1,8
PI424612,5,8
PI424613,5,8
PI424614,1,8
PI424615,1,8
PI424617,5,8
PI427099,5,8
PI427106,5,8
PI518670,1,8
PI547677,5,8
PI547788,5,8
PI547791,1,8
PI547834,1,8
PI547838,5,8
PI547842,1,8
PI547862,5,8
PI547890,1,8
PI548303,5,8
PI548304,5,8
PI548337,5,8
PI548353,5,8
PI548367,5,8
PI548430,5,8
PI548507,5,8
PI548508,5,8
PI548509,5,8
PI548510,5,8
PI548511,1,8
